DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 INPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,,,,,
02230,ALASKA                   ,SKAGWAY,"1,400",585,-79,604,-248,,,,,,,,,,,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS,"3,030","2,643","-1,474",410,431,,,,,,,,,,,
02250,ALASKA                   ,UPPER YUKON DIVISION,258,0,-115,0,0,,,,,,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,"3,735","11,193","6,761","4,627","-1,492",,,,,,,,,,,
02270,ALASKA                   ,WADE HAMPTON,"2,296",606,"1,205","1,038","-1,727",,,,,,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,"3,219","6,775","3,081","2,172","-1,908",,,,,,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,-106,"1,745",445,0,-96,,,,,,,,,,,
03000,ARIZONA                  ,APACHE,"11,458","-17,903","-3,993","-12,038","-23,039",,,,,,,,,,,
03010,ARIZONA                  ,COCHISE,"-73,399","-123,924","-102,634","-131,830","-224,117",,,,,,,,,,,
03020,ARIZONA                  ,COCONINO,"17,933","-2,626","-7,806","8,847","-7,524",,,,,,,,,,,
03030,ARIZONA                  ,GILA,"33,202","-2,839","-17,866","-15,240","-57,404",,,,,,,,,,,
03040,ARIZONA                  ,GRAHAM,"-14,345","-28,979","-17,804","-25,303","-50,857",,,,,,,,,,,
03050,ARIZONA                  ,GREENLEE,"-1,204","-5,841",-533,"-5,660","-12,627",,,,,,,,,,,
03055,ARIZONA                  ,LA PAZ,"12,315","-6,293",46,-967,"2,694",,,,,,,,,,,
03060,ARIZONA                  ,MARICOPA,"775,938","-546,532","-411,391","-266,705","-1,100,876",,,,,,,,,,,
03070,ARIZONA                  ,MOHAVE,"-66,753","-251,478","-206,239","-126,034","-29,820",,,,,,,,,,,
03080,ARIZONA                  ,NAVAJO,"10,778","-24,244","-23,660","-13,071","-32,425",,,,,,,,,,,
03090,ARIZONA                  ,PIMA,"-304,715","-757,616","-582,256","-836,682","-1,709,170",,,,,,,,,,,
03100,ARIZONA                  ,PINAL,"121,181","-18,871","-41,842","-6,045","-169,890",,,,,,,,,,,
03110,ARIZONA                  ,SANTA CRUZ,"-20,176","-26,686","-3,499","-20,570","-30,857",,,,,,,,,,,
03120,ARIZONA                  ,YAVAPAI,"82,502","54,602","-403,745","-280,046","-185,040",,,,,,,,,,,
03130,ARIZONA                  ,YUMA,"42,363","21,814","11,812","12,069","-15,878",,,,,,,,,,,
04000,ARKANSAS                 ,ARKANSAS,"-36,179","-25,121","-22,932","-26,165","-14,548",,,,,,,,,,,
04010,ARKANSAS                 ,ASHLEY,"-23,397","-23,780","-29,643","-18,836","-14,093",,,,,,,,,,,
04020,ARKANSAS                 ,BAXTER,"-20,219","-12,702","-3,596","-6,735","-11,461",,,,,,,,,,,
04030,ARKANSAS                 ,BENTON,"-98,420","14,645","22,557","-176,460","-187,274",,,,,,,,,,,
04040,ARKANSAS                 ,BOONE,"-21,789","-17,900","-23,846","-38,482","-27,124",,,,,,,,,,,
04050,ARKANSAS                 ,BRADLEY,"-27,563","-13,264","-16,576","-20,773","-11,835",,,,,,,,,,,
04060,ARKANSAS                 ,CALHOUN,"-2,981","-7,338","-7,521","-4,046","-3,504",,,,,,,,,,,
04070,ARKANSAS                 ,CARROLL,"-10,515",347,"-3,395","-34,267","-30,194",,,,,,,,,,,
04080,ARKANSAS                 ,CHICOT,"-13,920","-7,978","-11,089","-7,585","-7,838",,,,,,,,,,,
04090,ARKANSAS                 ,CLARK,"-32,879","-39,684","-32,285","-34,009","-13,473",,,,,,,,,,,
04100,ARKANSAS                 ,CLAY,"-19,237","-18,994","-14,154","-9,462","-2,814",,,,,,,,,,,
04110,ARKANSAS                 ,CLEBURNE,"-45,078","-32,786","-25,667","-39,485","-19,211",,,,,,,,,,,
04120,ARKANSAS                 ,CLEVELAND,"-7,723","-7,796","-5,372","-9,878","-4,742",,,,,,,,,,,
04130,ARKANSAS                 ,COLUMBIA,"-30,185","-28,609","-19,020","-21,504","-23,893",,,,,,,,,,,
04140,ARKANSAS                 ,CONWAY,"-35,984","-42,034","-31,872","-26,105","-24,300",,,,,,,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"-113,741","-120,637","-111,154","-36,511","8,794",,,,,,,,,,,
04160,ARKANSAS                 ,CRAWFORD,"28,650","-5,654","57,740","69,167","14,281",,,,,,,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-108,650","-100,458","-93,892","-64,570","-20,610",,,,,,,,,,,
04180,ARKANSAS                 ,CROSS,"-23,997","-23,085","-21,026","-16,245","-1,396",,,,,,,,,,,
04190,ARKANSAS                 ,DALLAS,"-15,432","-11,745","-10,018","-11,576","-6,070",,,,,,,,,,,
04200,ARKANSAS                 ,DESHA,"-29,134","-23,878","-20,808","-13,050","-10,958",,,,,,,,,,,
04210,ARKANSAS                 ,DREW,"-15,256","-19,538","-20,214","-12,124","-17,835",,,,,,,,,,,
04220,ARKANSAS                 ,FAULKNER,"-143,472","-112,287","-108,112","-117,944","-91,597",,,,,,,,,,,
04230,ARKANSAS                 ,FRANKLIN,"11,036","24,987","20,458","52,222","28,188",,,,,,,,,,,
04240,ARKANSAS                 ,FULTON,"-5,398","-5,281","-3,398","-22,164","-6,569",,,,,,,,,,,
04250,ARKANSAS                 ,GARLAND,"-305,007","-297,462","-347,863","-258,712","-111,231",,,,,,,,,,,
04260,ARKANSAS                 ,GRANT,"-40,920","-25,824","-21,336","-19,247","-15,136",,,,,,,,,,,
04270,ARKANSAS                 ,GREENE,"-90,142","-57,474","-36,461","-20,318","9,140",,,,,,,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-33,317","-21,305","-19,271","-11,673","-20,687",,,,,,,,,,,
04290,ARKANSAS                 ,HOT SPRING,"-98,646","-97,361","-118,758","-107,339","-40,038",,,,,,,,,,,
04300,ARKANSAS                 ,HOWARD,"-16,843","-16,911","-11,426","-15,046","-10,049",,,,,,,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"-34,023","-26,079","-22,104","-14,372","-15,392",,,,,,,,,,,
04320,ARKANSAS                 ,IZARD,"-6,580","-7,937","-6,494","-8,703","-7,537",,,,,,,,,,,
04330,ARKANSAS                 ,JACKSON,"-36,744","-36,024","-30,101","-15,814","-12,057",,,,,,,,,,,
04340,ARKANSAS                 ,JEFFERSON,"-60,012","-63,256","-52,750","-51,268","-47,347",,,,,,,,,,,
04350,ARKANSAS                 ,JOHNSON,"-12,743","-11,139","-11,759","-3,758","-13,257",,,,,,,,,,,
04360,ARKANSAS                 ,LAFAYETTE,"-5,725","-8,698","-5,469","-11,245","-5,047",,,,,,,,,,,
04370,ARKANSAS                 ,LAWRENCE,"-24,665","-31,249","-25,646","-13,532","-2,586",,,,,,,,,,,
04380,ARKANSAS                 ,LEE,"-12,048","-9,974","-13,128","-14,138","-4,054",,,,,,,,,,,
04390,ARKANSAS                 ,LINCOLN,"-3,662","-4,773","-6,501","-8,644","-5,514",,,,,,,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"-26,344","-14,532","-12,497","-18,862","-16,675",,,,,,,,,,,
04410,ARKANSAS                 ,LOGAN,"-6,824","7,063","27,470","37,589","14,963",,,,,,,,,,,
04420,ARKANSAS                 ,LONOKE,"-101,352","-93,136","-77,661","-79,774","-60,678",,,,,,,,,,,
04430,ARKANSAS                 ,MADISON,"-21,172",-930,"2,859","-34,683","-29,427",,,,,,,,,,,
04440,ARKANSAS                 ,MARION,"-11,654","-1,582","-3,222","-6,405","-6,515",,,,,,,,,,,
04450,ARKANSAS                 ,MILLER,"-66,448","-45,114","-27,425","-48,905","-43,552",,,,,,,,,,,
04460,ARKANSAS                 ,MISSISSIPPI,"-67,519","-68,371","-63,000","-26,952","3,050",,,,,,,,,,,
04470,ARKANSAS                 ,MONROE,"-15,884","-14,437","-11,360","-12,979","-10,159",,,,,,,,,,,
04480,ARKANSAS                 ,MONTGOMERY,"-23,228","-17,794","-23,408","-18,140","-6,881",,,,,,,,,,,
04490,ARKANSAS                 ,NEVADA,"-17,425","-15,799","-12,445","-10,180","-10,712",,,,,,,,,,,
04500,ARKANSAS                 ,NEWTON,"-6,287","-5,312","-1,564","-6,428","-1,948",,,,,,,,,,,
04510,ARKANSAS                 ,OUACHITA,"-33,900","-35,262","-23,510","-31,605","-19,684",,,,,,,,,,,
04520,ARKANSAS                 ,PERRY,"-24,188","-27,025","-23,161","-12,733","-9,685",,,,,,,,,,,
04530,ARKANSAS                 ,PHILLIPS,"-30,367","-27,466","-19,737","-25,074","-12,593",,,,,,,,,,,
04540,ARKANSAS                 ,PIKE,"-27,867","-25,245","-25,881","-21,365","-7,709",,,,,,,,,,,
04550,ARKANSAS                 ,POINSETT,"-49,953","-37,447","-27,744","-9,332","6,710",,,,,,,,,,,
04560,ARKANSAS                 ,POLK,"-14,295","-22,923","-33,271","-9,558","-2,706",,,,,,,,,,,
04570,ARKANSAS                 ,POPE,"-111,224","-81,380","-73,380","-83,022","-61,147",,,,,,,,,,,
04580,ARKANSAS                 ,PRAIRIE,"-22,720","-22,856","-10,202","-12,817","-5,852",,,,,,,,,,,
04590,ARKANSAS                 ,PULASKI,"-869,597","-744,041","-674,134","-672,785","-507,303",,,,,,,,,,,
