"IPPS and OPPS Wage Indices by Fiscal Year 
Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,
SSACD,State,County,CBSA 2015,IPPS Wage 2009,IPPS Wage 2010 A,IPPS Wage 2010 B,IPPS Wage 2011,IPPS Wage 2012,IPPS Wage 2013,IPPS Wage 2015
14460,IL,IROQUOIS,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14470,IL,JACKSON,16060,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14480,IL,JASPER,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14490,IL,JEFFERSON,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14500,IL,JERSEY,41180,0.8963,0.9043,0.9043,0.9014,0.9068,0.9240,0.9166
14510,IL,JO DAVIESS,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14520,IL,JOHNSON,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14530,IL,KANE,20994,1.0275,1.0385,1.0385,1.0489,1.0498,1.0416,1.0135
14540,IL,KANKAKEE,28100,1.0390,1.0095,1.0095,1.0518,0.9717,0.9985,0.9422
14550,IL,KENDALL,16974,1.0275,1.0385,1.0385,1.0489,1.0498,1.0416,1.0247
14560,IL,KNOX,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14570,IL,LAKE,29404,1.0357,1.0394,1.0394,1.0683,1.0450,1.0425,1.0329
14580,IL,LA SALLE,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14590,IL,LAWRENCE,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14600,IL,LEE,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14610,IL,LIVINGSTON,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14620,IL,LOGAN,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14630,IL,MC DONOUGH,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14640,IL,MC HENRY,16974,1.0275,1.0385,1.0385,1.0489,1.0498,1.0416,1.0247
14650,IL,MC LEAN,14010,0.9485,0.9475,0.9475,0.9519,0.9562,0.9342,0.9085
14660,IL,MACON,19500,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14670,IL,MACOUPIN,41180,0.8963,0.9043,0.9043,0.9014,0.9068,0.9240,0.9166
14680,IL,MADISON,41180,0.8963,0.9043,0.9043,0.9014,0.9068,0.9240,0.9166
14690,IL,MARION,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14700,IL,MARSHALL,37900,0.9121,0.9268,0.9268,0.9243,0.8922,0.8818,0.8595
14710,IL,MASON,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14720,IL,MASSAC,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14730,IL,MENARD,44100,0.9099,0.9323,0.9323,0.8903,0.8744,0.9041,0.8960
14740,IL,MERCER,19340,0.8570,0.8471,0.8471,0.8615,0.9149,0.9090,0.9642
14750,IL,MONROE,41180,0.8963,0.9043,0.9043,0.9014,0.9068,0.9240,0.9166
14760,IL,MONTGOMERY,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14770,IL,MORGAN,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14780,IL,MOULTRIE,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14790,IL,OGLE,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14800,IL,PEORIA,37900,0.9121,0.9268,0.9268,0.9243,0.8922,0.8818,0.8595
14810,IL,PERRY,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14820,IL,PIATT,16580,0.9386,1.0003,1.0003,1.0110,0.9763,0.9797,0.8960
14830,IL,PIKE,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14831,IL,POPE,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14850,IL,PULASKI,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14860,IL,PUTNAM,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14870,IL,RANDOLPH,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14880,IL,RICHLAND,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14890,IL,ROCK ISLAND,19340,0.8570,0.8471,0.8471,0.8615,0.9149,0.9090,0.9642
14900,IL,ST. CLAIR,41180,0.8963,0.9043,0.9043,0.9014,0.9068,0.9240,0.9166
14910,IL,SALINE,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14920,IL,SANGAMON,44100,0.9099,0.9323,0.9323,0.8903,0.8744,0.9041,0.8960
14921,IL,SCHUYLER,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14940,IL,SCOTT,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14950,IL,SHELBY,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14960,IL,STARK,37900,0.9121,0.9268,0.9268,0.9243,0.8922,0.8818,0.8595
14970,IL,STEPHENSON,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14980,IL,TAZEWELL,37900,0.9121,0.9268,0.9268,0.9243,0.8922,0.8818,0.8595
14981,IL,UNION,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14982,IL,VERMILION,19180,0.9675,0.8737,0.8737,0.9673,0.9815,1.0044,0.9795
14983,IL,WABASH,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14984,IL,WARREN,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14985,IL,WASHINGTON,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14986,IL,WAYNE,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14987,IL,WHITE,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14988,IL,WHITESIDE,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14989,IL,WILL,16974,1.0275,1.0385,1.0385,1.0489,1.0498,1.0416,1.0247
14990,IL,WILLIAMSON,16060,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
14991,IL,WINNEBAGO,40420,0.9825,1.0142,1.0142,1.0002,0.9911,0.9790,0.9713
14992,IL,WOODFORD,37900,0.9121,0.9268,0.9268,0.9243,0.8922,0.8818,0.8595
14999,IL,STATEWIDE,NA,0.8398,0.8322,0.8322,0.8338,0.8421,0.8394,0.8309
15000,IN,ADAMS,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15010,IN,ALLEN,23060,0.8975,0.8950,0.8950,0.9252,0.9280,0.9491,0.9324
15020,IN,BARTHOLOMEW,18020,0.9828,0.9546,0.9546,0.9429,0.9719,0.9565,0.9948
15030,IN,BENTON,29200,0.9020,0.9115,0.9115,0.9207,0.9426,0.9218,0.9510
15040,IN,BLACKFORD,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15050,IN,BOONE,26900,0.9783,0.9593,0.9593,0.9508,0.9489,0.9750,1.0009
15060,IN,BROWN,26900,0.9783,0.9593,0.9593,0.9508,0.9489,0.9750,1.0009
15070,IN,CARROLL,29200,0.9020,0.9115,0.9115,0.9207,0.9426,0.9218,0.9510
15080,IN,CASS,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15090,IN,CLARK,31140,0.9209,0.8900,0.8900,0.8817,0.8825,0.8742,0.8531
15100,IN,CLAY,45460,0.9103,0.9078,0.9078,0.9207,0.9213,0.9056,0.9134
15110,IN,CLINTON,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15120,IN,CRAWFORD,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15130,IN,DAVIESS,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15140,IN,DEARBORN,17140,0.9560,0.9397,0.9397,0.9589,0.9333,0.9319,0.9260
15150,IN,DECATUR,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15160,IN,DE KALB,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15170,IN,DELAWARE,34620,0.8465,0.8513,0.8513,0.8358,0.8584,0.8622,0.9034
15180,IN,DUBOIS,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15190,IN,ELKHART,21140,0.9525,0.9463,0.9463,0.9409,0.9467,0.9135,0.8914
15200,IN,FAYETTE,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15210,IN,FLOYD,31140,0.9210,0.8902,0.8902,0.8817,0.8825,0.8742,0.8531
15220,IN,FOUNTAIN,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15230,IN,FRANKLIN,NA,0.9561,0.9399,0.9399,0.9589,0.9333,0.9319,0.8265
15240,IN,FULTON,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15250,IN,GIBSON,NA,0.8498,0.8513,0.8513,0.8358,0.8597,0.8401,0.8265
15260,IN,GRANT,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15270,IN,GREENE,NA,0.9390,0.9311,0.9311,0.9241,0.8969,0.8878,0.8265
15280,IN,HAMILTON,26900,0.9783,0.9593,0.9593,0.9508,0.9489,0.9750,1.0009
15290,IN,HANCOCK,26900,0.9783,0.9593,0.9593,0.9508,0.9489,0.9750,1.0009
15300,IN,HARRISON,31140,0.9210,0.8902,0.8902,0.8817,0.8825,0.8742,0.8531
15310,IN,HENDRICKS,26900,0.9783,0.9593,0.9593,0.9508,0.9489,0.9750,1.0009
15320,IN,HENRY,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15330,IN,HOWARD,29020,0.9225,0.9710,0.9710,0.8975,0.9035,0.8598,0.8907
15340,IN,HUNTINGTON,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15350,IN,JACKSON,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15360,IN,JASPER,23844,0.9267,0.9168,0.9168,0.9088,0.9174,0.9283,0.9441
15370,IN,JAY,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15380,IN,JEFFERSON,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15390,IN,JENNINGS,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15400,IN,JOHNSON,26900,0.9783,0.9593,0.9593,0.9508,0.9489,0.9750,1.0009
15410,IN,KNOX,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15420,IN,KOSCIUSKO,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15430,IN,LAGRANGE,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15440,IN,LAKE,23844,0.9267,0.9168,0.9168,0.9088,0.9174,0.9283,0.9441
15450,IN,LA PORTE,33140,0.9027,0.9210,0.9210,0.9351,0.9242,0.9540,0.9302
15460,IN,LAWRENCE,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15470,IN,MADISON,26900,0.8894,0.9116,0.9116,0.9241,0.9296,0.9444,1.0009
15480,IN,MARION,26900,0.9783,0.9593,0.9593,0.9508,0.9489,0.9750,1.0009
15490,IN,MARSHALL,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15500,IN,MARTIN,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15510,IN,MIAMI,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15520,IN,MONROE,14020,0.9390,0.9311,0.9311,0.9241,0.8969,0.8878,0.9202
15530,IN,MONTGOMERY,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15540,IN,MORGAN,26900,0.9783,0.9593,0.9593,0.9508,0.9489,0.9750,1.0009
15550,IN,NEWTON,23844,0.9267,0.9168,0.9168,0.9088,0.9174,0.9283,0.9441
15560,IN,NOBLE,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15570,IN,OHIO,17140,0.9560,0.9395,0.9395,0.9589,0.9333,0.9319,0.9260
15580,IN,ORANGE,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15590,IN,OWEN,14020,0.9390,0.9311,0.9311,0.9241,0.8969,0.8878,0.9202
15600,IN,PARKE,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15610,IN,PERRY,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15620,IN,PIKE,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15630,IN,PORTER,23844,0.9267,0.9168,0.9168,0.9088,0.9174,0.9283,0.9441
15640,IN,POSEY,21780,0.8499,0.8456,0.8456,0.8353,0.8597,0.8401,0.8581
15650,IN,PULASKI,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15660,IN,PUTNAM,26900,0.9783,0.9593,0.9593,0.9508,0.9489,0.9750,1.0009
15670,IN,RANDOLPH,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15680,IN,RIPLEY,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15690,IN,RUSH,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15700,IN,ST. JOSEPH,43780,0.9783,0.9599,0.9599,0.9839,0.9335,0.9402,0.9025
15710,IN,SCOTT,31140,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8531
15720,IN,SHELBY,26900,0.9783,0.9593,0.9593,0.9508,0.9489,0.9750,1.0009
15730,IN,SPENCER,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15740,IN,STARKE,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15750,IN,STEUBEN,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15760,IN,SULLIVAN,45460,0.9103,0.9078,0.9078,0.9207,0.9213,0.9056,0.9134
15770,IN,SWITZERLAND,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15780,IN,TIPPECANOE,29200,0.9020,0.9115,0.9115,0.9207,0.9426,0.9218,0.9510
15790,IN,TIPTON,NA,0.9225,0.9710,0.9710,0.8975,0.9035,0.8598,0.8265
15800,IN,UNION,17140,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.9260
15810,IN,VANDERBURGH,21780,0.8499,0.8456,0.8456,0.8353,0.8597,0.8401,0.8581
15820,IN,VERMILLION,45460,0.9103,0.9078,0.9078,0.9207,0.9213,0.9056,0.9134
15830,IN,VIGO,45460,0.9103,0.9078,0.9078,0.9207,0.9213,0.9056,0.9134
15840,IN,WABASH,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15850,IN,WARREN,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15860,IN,WARRICK,21780,0.8499,0.8456,0.8456,0.8353,0.8597,0.8401,0.8581
15870,IN,WASHINGTON,31140,0.9210,0.8902,0.8902,0.8817,0.8825,0.8742,0.8531
15880,IN,WAYNE,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15890,IN,WELLS,23060,0.8975,0.8950,0.8950,0.9252,0.9280,0.9491,0.9324
15900,IN,WHITE,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
15910,IN,WHITLEY,23060,0.8975,0.8950,0.8950,0.9252,0.9280,0.9491,0.9324
15999,IN,STATEWIDE,NA,0.8465,0.8513,0.8513,0.8358,0.8584,0.8329,0.8265
16000,IA,ADAIR,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16010,IA,ADAMS,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16020,IA,ALLAMAKEE,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16030,IA,APPANOOSE,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16040,IA,AUDUBON,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16050,IA,BENTON,16300,0.8954,0.8908,0.8910,0.8759,0.8748,0.8728,0.8652
16060,IA,BLACK HAWK,47940,0.8954,0.8564,0.8565,0.8469,0.8541,0.8535,0.8612
16070,IA,BOONE,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16080,IA,BREMER,47940,0.8954,0.8564,0.8565,0.8469,0.8541,0.8535,0.8612
16090,IA,BUCHANAN,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16100,IA,BUENA VISTA,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16110,IA,BUTLER,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16120,IA,CALHOUN,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16130,IA,CARROLL,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16140,IA,CASS,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16150,IA,CEDAR,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16160,IA,CERRO GORDO,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16170,IA,CHEROKEE,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16180,IA,CHICKASAW,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16190,IA,CLARKE,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16200,IA,CLAY,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16210,IA,CLAYTON,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16220,IA,CLINTON,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16230,IA,CRAWFORD,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16240,IA,DALLAS,19780,0.9442,0.9521,0.9522,0.9481,0.9642,0.9436,0.9062
16250,IA,DAVIS,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16260,IA,DECATUR,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16270,IA,DELAWARE,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16280,IA,DES MOINES,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16290,IA,DICKINSON,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16300,IA,DUBUQUE,20220,0.8954,0.8626,0.8627,0.8523,0.8541,0.8410,0.8691
16310,IA,EMMET,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16320,IA,FAYETTE,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16330,IA,FLOYD,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16340,IA,FRANKLIN,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16350,IA,FREMONT,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16360,IA,GREENE,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16370,IA,GRUNDY,47940,0.8954,0.8564,0.8565,0.8469,0.8541,0.8535,0.8612
16380,IA,GUTHRIE,19780,0.9442,0.9521,0.9522,0.9481,0.9642,0.9436,0.9062
16390,IA,HAMILTON,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16400,IA,HANCOCK,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16410,IA,HARDIN,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16420,IA,HARRISON,36540,0.9329,0.9541,0.9542,0.9507,0.9786,0.9848,0.9555
16430,IA,HENRY,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16440,IA,HOWARD,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16450,IA,HUMBOLDT,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16460,IA,IDA,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16470,IA,IOWA,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16480,IA,JACKSON,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16490,IA,JASPER,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16500,IA,JEFFERSON,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16510,IA,JOHNSON,26980,0.9319,0.9407,0.9409,0.9507,0.9917,0.9885,0.9631
16520,IA,JONES,16300,0.8954,0.8908,0.8910,0.8759,0.8748,0.8728,0.8652
16530,IA,KEOKUK,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16540,IA,KOSSUTH,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16550,IA,LEE,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16560,IA,LINN,16300,0.8954,0.8908,0.8910,0.8759,0.8748,0.8728,0.8652
16570,IA,LOUISA,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16580,IA,LUCAS,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16590,IA,LYON,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16600,IA,MADISON,19780,0.9442,0.9521,0.9522,0.9481,0.9642,0.9436,0.9062
16610,IA,MAHASKA,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16620,IA,MARION,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16630,IA,MARSHALL,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16640,IA,MILLS,36540,0.9352,0.9547,0.9547,0.9507,0.9786,0.9848,0.9555
16650,IA,MITCHELL,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16660,IA,MONONA,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16670,IA,MONROE,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16680,IA,MONTGOMERY,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16690,IA,MUSCATINE,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16700,IA,OBRIEN,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16710,IA,OSCEOLA,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16720,IA,PAGE,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16730,IA,PALO ALTO,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16740,IA,PLYMOUTH,43580,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8818
16750,IA,POCAHONTAS,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16760,IA,POLK,19780,0.9442,0.9521,0.9522,0.9481,0.9642,0.9436,0.9062
16770,IA,POTTAWATTAMIE,36540,0.9352,0.9547,0.9547,0.9507,0.9786,0.9848,0.9555
16780,IA,POWESHIEK,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16790,IA,RINGGOLD,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16800,IA,SAC,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16810,IA,SCOTT,19340,0.8570,0.8471,0.8471,0.8615,0.9149,0.9090,0.9642
16820,IA,SHELBY,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16830,IA,SIOUX,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16840,IA,STORY,11180,0.9399,0.9533,0.9534,0.9999,1.0040,0.9593,0.9308
16850,IA,TAMA,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16860,IA,TAYLOR,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16870,IA,UNION,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16880,IA,VAN BUREN,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16890,IA,WAPELLO,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16900,IA,WARREN,19780,0.9442,0.9521,0.9522,0.9481,0.9642,0.9436,0.9062
16910,IA,WASHINGTON,26980,0.9319,0.9407,0.9409,0.9507,0.9917,0.9885,0.9631
16920,IA,WAYNE,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16930,IA,WEBSTER,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16940,IA,WINNEBAGO,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16950,IA,WINNESHIEK,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16960,IA,WOODBURY,43580,0.8954,0.8937,0.8939,0.8924,0.9363,0.8847,0.8821
16970,IA,WORTH,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16980,IA,WRIGHT,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
16999,IA,STATEWIDE,NA,0.8954,0.8564,0.8565,0.8469,0.8541,0.8207,0.8293
17000,KS,ALLEN,NA,0.8055,0.8183,0.8183,0.7987,0.8080,0.7935,0.7763
17010,KS,ANDERSON,NA,0.8055,0.8183,0.8183,0.7987,0.8080,0.7935,0.7763
17020,KS,ATCHISON,NA,0.8055,0.8183,0.8183,0.7987,0.8080,0.7935,0.7763
17030,KS,BARBER,NA,0.8055,0.8183,0.8183,0.7987,0.8080,0.7935,0.7763
17040,KS,BARTON,NA,0.8055,0.8183,0.8183,0.7987,0.8080,0.7935,0.7763
17050,KS,BOURBON,NA,0.8055,0.8183,0.8183,0.7987,0.8080,0.7935,0.7763
17060,KS,BROWN,NA,0.8055,0.8183,0.8183,0.7987,0.8080,0.7935,0.7763
17070,KS,BUTLER,48620,0.8947,0.8962,0.8961,0.8815,0.8569,0.8548,0.8316
17080,KS,CHASE,NA,0.8055,0.8183,0.8183,0.7987,0.8080,0.7935,0.7763
17090,KS,CHAUTAUQUA,NA,0.8055,0.8183,0.8183,0.7987,0.8080,0.7935,0.7763
17100,KS,CHEROKEE,NA,0.8055,0.8183,0.8183,0.7987,0.8080,0.7935,0.7763
17110,KS,CHEYENNE,NA,0.8055,0.8183,0.8183,0.7987,0.8080,0.7935,0.7763
17120,KS,CLARK,NA,0.8055,0.8183,0.8183,0.7987,0.8080,0.7935,0.7763
17130,KS,CLAY,NA,0.8055,0.8183,0.8183,0.7987,0.8080,0.7935,0.7763
17140,KS,CLOUD,NA,0.8055,0.8183,0.8183,0.7987,0.8080,0.7935,0.7763
