"DISABLED- HOSPICE - 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
02200,ALASKA,PRINCE OF WALES,59,"3,029",4,"3,029",4,0,0,0,53,0,0
02210,ALASKA,SEWARD,104,0,0,0,0,0,0,0,91,0,0
02220,ALASKA,SITKA BOROUGH,139,0,0,0,0,0,0,0,132,0,0
02230,ALASKA,SKAGWAY-YAKUTAT,43,0,0,0,0,0,0,0,38,0,0
02240,ALASKA,SOUTHEAST FAIRBANKS,70,0,0,0,0,0,0,0,63,0,0
02250,ALASKA,UPPER YUKON,22,0,0,0,0,0,0,0,21,0,0
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,155,0,0,0,0,0,0,0,141,0,0
02270,ALASKA,WADE HAMPTON,62,0,0,0,0,0,0,0,58,0,0
02280,ALASKA,WRANGELL-PETERSBURG CENSUS AREA,109,0,0,0,0,0,0,0,99,0,0
02290,ALASKA,YUKON-KOYUKUK,67,0,0,0,0,0,0,0,63,0,0
03000,ARIZONA,APACHE,"1,355","45,214",3,"45,214",3,0,0,0,"1,183",0,0
03010,ARIZONA,COCHISE,"2,231","263,462",10,"263,462",10,0,0,0,"1,855",0,0
03020,ARIZONA,COCONINO,"2,117","314,043",12,"314,043",12,0,0,0,"1,809",0,0
03030,ARIZONA,GILA,"1,727","366,178",18,"366,179",18,0,0,0,"1,550",0,0
03040,ARIZONA,GRAHAM,614,"13,276",2,"13,276",2,0,0,0,531,0,0
03050,ARIZONA,GREENLEE,134,"4,021",3,"4,021",3,0,0,0,117,0,0
03055,ARIZONA,LAPAZ,430,"87,631",17,"87,631",17,0,0,0,353,0,0
03060,ARIZONA,MARICOPA,"39,782","12,010,343",25,"12,010,342",25,0,0,0,"30,690",0,0
03070,ARIZONA,MOHAVE,"5,148","1,094,346",18,"1,094,346",18,0,0,0,"4,433",0,0
03080,ARIZONA,NAVAJO,"2,256","217,452",8,"217,451",8,0,0,0,"1,976",0,0
03090,ARIZONA,PIMA,"11,711","2,810,724",20,"2,810,724",20,0,0,0,"8,986",0,0
03100,ARIZONA,PINAL,"4,731","1,402,813",25,"1,402,813",25,0,0,0,"3,819",0,0
03110,ARIZONA,SANTA CRUZ,372,"7,673",2,"7,674",2,0,0,0,288,0,0
03120,ARIZONA,YAVAPAI,"5,250","1,259,660",20,"1,259,660",20,0,0,0,"4,349",0,0
03130,ARIZONA,YUMA,"2,278","528,140",19,"528,140",19,0,0,0,"1,972",0,0
04000,ARKANSAS,ARKANSAS,708,"278,950",33,"278,950",33,0,0,0,648,0,0
04010,ARKANSAS,ASHLEY,916,"84,476",8,"84,477",8,0,0,0,840,0,0
04020,ARKANSAS,BAXTER,"1,679","98,515",5,"98,515",5,0,0,0,"1,524",0,0
04030,ARKANSAS,BENTON,"3,579","326,445",8,"326,445",8,0,0,0,"3,027",0,0
04040,ARKANSAS,BOONE,"1,735","100,123",5,"100,122",5,0,0,0,"1,559",0,0
04050,ARKANSAS,BRADLEY,519,"15,485",2,"15,485",2,0,0,0,485,0,0
04060,ARKANSAS,CALHOUN,209,"5,865",2,"5,865",2,0,0,0,191,0,0
04070,ARKANSAS,CARROLL,782,"19,921",2,"19,921",2,0,0,0,677,0,0
04080,ARKANSAS,CHICOT,523,"1,366",0,"1,366",0,0,0,0,496,0,0
04090,ARKANSAS,CLARK,679,"43,068",5,"43,068",5,0,0,0,615,0,0
04100,ARKANSAS,CLAY,752,"15,843",2,"15,843",2,0,0,0,683,0,0
04110,ARKANSAS,CLEBURNE,"1,073","121,521",9,"121,521",9,0,0,0,977,0,0
04120,ARKANSAS,CLEVELAND,324,807,0,807,0,0,0,0,302,0,0
04130,ARKANSAS,COLUMBIA,"1,024","21,683",2,"21,683",2,0,0,0,961,0,0
04140,ARKANSAS,CONWAY,961,"32,282",3,"32,283",3,0,0,0,867,0,0
04150,ARKANSAS,CRAIGHEAD,"3,699","220,764",5,"220,764",5,0,0,0,"3,396",0,0
04160,ARKANSAS,CRAWFORD,"1,911","212,489",9,"212,488",9,0,0,0,"1,644",0,0
04170,ARKANSAS,CRITTENDEN,"1,807","213,140",10,"213,140",10,0,0,0,"1,627",0,0
04180,ARKANSAS,CROSS,611,"84,416",12,"84,416",12,0,0,0,554,0,0
