"AGED -- 2013 REIMBURSEMENT FOR COST CONTRACTS 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
04710,ARKANSAS,WASHINGTON,"137,843","133,014","22,012",,,,,,
04720,ARKANSAS,WHITE,"70,722","68,615","117,001",,,,,,
04730,ARKANSAS,WOODRUFF,0,0,0,,,,,,
04740,ARKANSAS,YELL,"37,688","36,072","36,504",,,,,,
05000,CALIFORNIA,ALAMEDA,"2,613,498","2,236,046","769,841",,,,,,
05010,CALIFORNIA,ALPINE,0,0,0,,,,,,
05020,CALIFORNIA,AMADOR,"7,933","6,907","10,489",,,,,,
05030,CALIFORNIA,BUTTE,"797,262","721,462","273,518",,,,,,
05040,CALIFORNIA,CALAVERAS,"8,344","7,957","32,514",,,,,,
05050,CALIFORNIA,COLUSA,0,0,"1,286",,,,,,
05060,CALIFORNIA,CONTRA COSTA,"4,974,379","4,575,710","1,567,817",,,,,,
05070,CALIFORNIA,DEL NORTE,0,0,0,,,,,,
05080,CALIFORNIA,EL DORADO,"143,671","142,507","58,399",,,,,,
05090,CALIFORNIA,FRESNO,"204,866","190,282","168,158",,,,,,
05100,CALIFORNIA,GLENN,0,0,"26,842",,,,,,
05110,CALIFORNIA,HUMBOLDT,0,0,"10,861",,,,,,
05120,CALIFORNIA,IMPERIAL,"12,572","11,674","17,030",,,,,,
05130,CALIFORNIA,INYO,0,0,"2,977",,,,,,
05140,CALIFORNIA,KERN,"400,172","355,822","263,154",,,,,,
05150,CALIFORNIA,KINGS,0,0,"1,995",,,,,,
05160,CALIFORNIA,LAKE,"195,068","191,783","24,023",,,,,,
05170,CALIFORNIA,LASSEN,0,0,"7,749",,,,,,
05200,CALIFORNIA,LOS ANGELES,"2,806,766","2,536,938","950,347",,,,,,
05300,CALIFORNIA,MADERA,"23,120","23,120","14,991",,,,,,
05310,CALIFORNIA,MARIN,"618,592","599,981","153,528",,,,,,
05320,CALIFORNIA,MARIPOSA,0,0,478,,,,,,
05330,CALIFORNIA,MENDOCINO,"104,711","101,519","16,839",,,,,,
05340,CALIFORNIA,MERCED,"184,813","153,455","28,960",,,,,,
05350,CALIFORNIA,MODOC,0,0,"1,661",,,,,,
05360,CALIFORNIA,MONO,0,0,0,,,,,,
05370,CALIFORNIA,MONTEREY,"59,313","56,601","40,942",,,,,,
05380,CALIFORNIA,NAPA,"237,821","232,998","93,793",,,,,,
05390,CALIFORNIA,NEVADA,"48,261","46,138","48,858",,,,,,
05400,CALIFORNIA,ORANGE,"425,082","393,663","258,234",,,,,,
05410,CALIFORNIA,PLACER,"250,424","244,613","106,605",,,,,,
05420,CALIFORNIA,PLUMAS,"235,650","228,971","193,558",,,,,,
05430,CALIFORNIA,RIVERSIDE,"214,800","197,585","160,075",,,,,,
05440,CALIFORNIA,SACRAMENTO,"851,658","769,417","420,250",,,,,,
05450,CALIFORNIA,SAN BENITO,0,0,0,,,,,,
05460,CALIFORNIA,SAN BERNARDINO,"741,066","650,801","535,473",,,,,,
05470,CALIFORNIA,SAN DIEGO,"595,382","552,840","265,221",,,,,,
05480,CALIFORNIA,SAN FRANCISCO,"859,117","695,723","308,098",,,,,,
05490,CALIFORNIA,SAN JOAQUIN,"590,889","532,693","437,413",,,,,,
05500,CALIFORNIA,SAN LUIS OBISPO,"27,224","24,271","34,099",,,,,,
