"AGED -- 2013 REIMBURSEMENT FOR COST CONTRACTS 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,
CODE,STATE,COUNTY,PART A TOTAL REIMBURSEMENT,PART A REIMBURSEMENT W/O IME/DSH/GME,PART B TOTAL REIMBURSEMENT,,,,,,
16280,IOWA,DES MOINES,0,0,"1,532",,,,,,
16290,IOWA,DICKINSON,"16,762","16,762","13,449",,,,,,
16300,IOWA,DUBUQUE,"19,206,153","18,473,716","7,481,968",,,,,,
16310,IOWA,EMMET,0,0,0,,,,,,
16320,IOWA,FAYETTE,0,0,393,,,,,,
16330,IOWA,FLOYD,"34,732","30,480","6,434",,,,,,
16340,IOWA,FRANKLIN,0,0,"7,804",,,,,,
16350,IOWA,FREMONT,"7,009","6,652","38,917",,,,,,
16360,IOWA,GREENE,0,0,0,,,,,,
16370,IOWA,GRUNDY,0,0,0,,,,,,
16380,IOWA,GUTHRIE,0,0,0,,,,,,
16390,IOWA,HAMILTON,0,0,0,,,,,,
16400,IOWA,HANCOCK,0,0,"9,636",,,,,,
16410,IOWA,HARDIN,0,0,0,,,,,,
16420,IOWA,HARRISON,"6,330","5,825","145,058",,,,,,
16430,IOWA,HENRY,"8,155","5,215","4,199",,,,,,
16440,IOWA,HOWARD,0,0,0,,,,,,
16450,IOWA,HUMBOLDT,0,0,0,,,,,,
16460,IOWA,IDA,0,0,0,,,,,,
16470,IOWA,IOWA,0,0,0,,,,,,
16480,IOWA,JACKSON,"2,331,761","2,241,746","927,103",,,,,,
16490,IOWA,JASPER,"17,005","17,005","9,294",,,,,,
16500,IOWA,JEFFERSON,0,0,0,,,,,,
16510,IOWA,JOHNSON,"20,435","20,418","20,121",,,,,,
16520,IOWA,JONES,"60,884","60,884","28,871",,,,,,
16530,IOWA,KEOKUK,0,0,0,,,,,,
16540,IOWA,KOSSUTH,0,0,0,,,,,,
16550,IOWA,LEE,"196,279","185,797","209,847",,,,,,
16560,IOWA,LINN,"157,039","147,202","47,869",,,,,,
16570,IOWA,LOUISA,0,0,0,,,,,,
16580,IOWA,LUCAS,0,0,0,,,,,,
16590,IOWA,LYON,0,0,0,,,,,,
16600,IOWA,MADISON,0,0,0,,,,,,
16610,IOWA,MAHASKA,0,0,0,,,,,,
16620,IOWA,MARION,0,0,0,,,,,,
16630,IOWA,MARSHALL,0,0,"6,809",,,,,,
16640,IOWA,MILLS,"17,044","17,044","22,276",,,,,,
16650,IOWA,MITCHELL,0,0,0,,,,,,
16660,IOWA,MONONA,0,0,"6,965",,,,,,
16670,IOWA,MONROE,0,0,0,,,,,,
16680,IOWA,MONTGOMERY,0,0,0,,,,,,
16690,IOWA,MUSCATINE,"37,804","31,120","2,691",,,,,,
16700,IOWA,OBRIEN,0,0,0,,,,,,
16710,IOWA,OSCEOLA,0,0,0,,,,,,
16720,IOWA,PAGE,0,0,0,,,,,,
16730,IOWA,PALO ALTO,"35,177","35,177","6,102",,,,,,
16740,IOWA,PLYMOUTH,0,0,0,,,,,,
16750,IOWA,POCAHONTAS,0,0,0,,,,,,
16760,IOWA,POLK,"17,783","16,658","74,287",,,,,,
16770,IOWA,POTTAWATTAMIE,"1,373,801","1,254,325","1,122,609",,,,,,
16780,IOWA,POWESHIEK,0,0,0,,,,,,
16790,IOWA,RINGGOLD,0,0,322,,,,,,
16800,IOWA,SAC,0,0,"2,132",,,,,,
16810,IOWA,SCOTT,"32,916","32,198","12,554",,,,,,
16820,IOWA,SHELBY,0,0,0,,,,,,
16830,IOWA,SIOUX,"11,413","9,703","7,561",,,,,,
16840,IOWA,STORY,0,0,628,,,,,,
16850,IOWA,TAMA,0,0,"2,313",,,,,,
16860,IOWA,TAYLOR,0,0,865,,,,,,
16870,IOWA,UNION,0,0,0,,,,,,
16880,IOWA,VAN BUREN,"5,337","5,233",32,,,,,,
16890,IOWA,WAPELLO,0,0,876,,,,,,
16900,IOWA,WARREN,0,0,0,,,,,,
16910,IOWA,WASHINGTON,0,0,0,,,,,,
16920,IOWA,WAYNE,0,0,0,,,,,,
16930,IOWA,WEBSTER,0,0,"3,057",,,,,,
16940,IOWA,WINNEBAGO,0,0,0,,,,,,
16950,IOWA,WINNESHIEK,0,0,0,,,,,,
16960,IOWA,WOODBURY,0,0,"20,650",,,,,,
16970,IOWA,WORTH,0,0,580,,,,,,
16980,IOWA,WRIGHT,0,0,0,,,,,,
17000,KANSAS,ALLEN,"56,614","56,614","26,410",,,,,,
17010,KANSAS,ANDERSON,"42,417","38,926","6,068",,,,,,
17020,KANSAS,ATCHISON,"42,912","42,494","52,120",,,,,,
17030,KANSAS,BARBER,"26,322","23,069","23,598",,,,,,
17040,KANSAS,BARTON,"131,507","129,136","66,094",,,,,,
17050,KANSAS,BOURBON,0,0,"20,286",,,,,,
17060,KANSAS,BROWN,"13,177","13,177","6,766",,,,,,
17070,KANSAS,BUTLER,"53,224","50,190","39,704",,,,,,
17080,KANSAS,CHASE,"22,375","22,375","6,981",,,,,,
17090,KANSAS,CHAUTAUQUA,0,0,0,,,,,,
17100,KANSAS,CHEROKEE,"5,491","4,645","19,985",,,,,,
17110,KANSAS,CHEYENNE,0,0,0,,,,,,
17120,KANSAS,CLARK,0,0,0,,,,,,
17130,KANSAS,CLAY,0,0,"6,483",,,,,,
17140,KANSAS,CLOUD,"27,342","27,342","6,181",,,,,,
17150,KANSAS,COFFEY,"8,990","8,990","13,570",,,,,,
17160,KANSAS,COMANCHE,0,0,"1,304",,,,,,
17170,KANSAS,COWLEY,"366,315","341,981","195,160",,,,,,
17180,KANSAS,CRAWFORD,"212,908","192,633","122,525",,,,,,
17190,KANSAS,DECATUR,0,0,0,,,,,,
17200,KANSAS,DICKINSON,"176,521","174,259","129,078",,,,,,
17210,KANSAS,DONIPHAN,0,0,0,,,,,,
17220,KANSAS,DOUGLAS,"93,930","91,907","106,584",,,,,,
17230,KANSAS,EDWARDS,"72,182","72,182","8,071",,,,,,
17240,KANSAS,ELK,0,0,"3,537",,,,,,
17250,KANSAS,ELLIS,"56,965","56,965","27,808",,,,,,
17260,KANSAS,ELLSWORTH,0,0,"10,163",,,,,,
17270,KANSAS,FINNEY,0,0,"2,394",,,,,,
17280,KANSAS,FORD,"60,352","58,989","33,746",,,,,,
17290,KANSAS,FRANKLIN,"104,470","102,854","83,121",,,,,,
17300,KANSAS,GEARY,0,0,"9,882",,,,,,
17310,KANSAS,GOVE,0,0,715,,,,,,
17320,KANSAS,GRAHAM,"4,271","4,271","13,906",,,,,,
17330,KANSAS,GRANT,0,0,0,,,,,,
17340,KANSAS,GRAY,0,0,"4,966",,,,,,
17350,KANSAS,GREELEY,0,0,0,,,,,,
17360,KANSAS,GREENWOOD,"17,937","13,321","16,173",,,,,,
17370,KANSAS,HAMILTON,"15,058","15,058","4,413",,,,,,
17380,KANSAS,HARPER,"98,592","98,592","54,397",,,,,,
17390,KANSAS,HARVEY,"300,210","285,011","320,039",,,,,,
17391,KANSAS,HASKELL,0,0,0,,,,,,
17410,KANSAS,HODGEMAN,0,0,"5,394",,,,,,
17420,KANSAS,JACKSON,"94,988","88,088","74,525",,,,,,
17430,KANSAS,JEFFERSON,"118,112","113,496","68,295",,,,,,
17440,KANSAS,JEWELL,"19,304","19,304","5,321",,,,,,
17450,KANSAS,JOHNSON,"874,054","832,832","945,716",,,,,,
17451,KANSAS,KEARNY,0,0,0,,,,,,
17470,KANSAS,KINGMAN,"12,613","12,613","4,156",,,,,,
17480,KANSAS,KIOWA,0,0,0,,,,,,
17490,KANSAS,LABETTE,"30,619","29,177","32,745",,,,,,
17500,KANSAS,LANE,0,0,0,,,,,,
17510,KANSAS,LEAVENWORTH,"120,096","116,289","86,666",,,,,,
17520,KANSAS,LINCOLN,0,0,"26,696",,,,,,
17530,KANSAS,LINN,0,0,"21,960",,,,,,
17540,KANSAS,LOGAN,"12,207","11,982","15,563",,,,,,
17550,KANSAS,LYON,"457,904","433,763","319,371",,,,,,
17560,KANSAS,MCPHERSON,0,0,"11,974",,,,,,
17570,KANSAS,MARION,0,0,"19,151",,,,,,
17580,KANSAS,MARSHALL,"251,356","235,788","379,227",,,,,,
17590,KANSAS,MEADE,0,0,0,,,,,,
17600,KANSAS,MIAMI,"138,586","138,370","195,347",,,,,,
17610,KANSAS,MITCHELL,"5,758","5,758","14,889",,,,,,
17620,KANSAS,MONTGOMERY,"45,921","44,405","91,621",,,,,,
17630,KANSAS,MORRIS,"26,857","26,699","38,012",,,,,,
17640,KANSAS,MORTON,0,0,0,,,,,,
17650,KANSAS,NEMAHA,"54,882","54,048","18,591",,,,,,
17660,KANSAS,NEOSHO,"90,071","88,458","118,970",,,,,,
17670,KANSAS,NESS,0,0,"8,289",,,,,,
17680,KANSAS,NORTON,0,0,0,,,,,,
17690,KANSAS,OSAGE,"340,312","321,768","256,512",,,,,,
17700,KANSAS,OSBORNE,0,0,0,,,,,,
17710,KANSAS,OTTAWA,0,0,756,,,,,,
17720,KANSAS,PAWNEE,0,0,0,,,,,,
17730,KANSAS,PHILLIPS,0,0,0,,,,,,
17740,KANSAS,POTTAWATOMIE,"31,763","27,615","47,061",,,,,,
17750,KANSAS,PRATT,0,0,"2,332",,,,,,
17760,KANSAS,RAWLINS,0,0,812,,,,,,
17770,KANSAS,RENO,"260,125","258,066","202,893",,,,,,
17780,KANSAS,REPUBLIC,0,0,0,,,,,,
17790,KANSAS,RICE,0,0,"1,429",,,,,,
17800,KANSAS,RILEY,"76,173","71,955","30,939",,,,,,
17810,KANSAS,ROOKS,0,0,0,,,,,,
17820,KANSAS,RUSH,0,0,"8,308",,,,,,
17830,KANSAS,RUSSELL,"10,580","10,090","7,288",,,,,,
17840,KANSAS,SALINE,"293,557","280,532","202,700",,,,,,
17841,KANSAS,SCOTT,"18,471","18,471","11,543",,,,,,
17860,KANSAS,SEDGWICK,"239,803","224,025","283,234",,,,,,
17870,KANSAS,SEWARD,"5,676","5,676",0,,,,,,
17880,KANSAS,SHAWNEE,"2,480,261","2,361,566","1,852,475",,,,,,
17890,KANSAS,SHERIDAN,0,0,0,,,,,,
17900,KANSAS,SHERMAN,0,0,0,,,,,,
17910,KANSAS,SMITH,0,0,"5,293",,,,,,
17920,KANSAS,STAFFORD,0,0,0,,,,,,
17921,KANSAS,STANTON,0,0,0,,,,,,
17940,KANSAS,STEVENS,0,0,0,,,,,,
17950,KANSAS,SUMNER,"157,587","140,722","131,796",,,,,,
17960,KANSAS,THOMAS,0,0,"12,824",,,,,,
17970,KANSAS,TREGO,0,0,"10,183",,,,,,
17980,KANSAS,WABAUNSEE,"16,045","15,805","6,742",,,,,,
17981,KANSAS,WALLACE,"79,145","79,145","70,648",,,,,,
17982,KANSAS,WASHINGTON,0,0,"17,380",,,,,,
17983,KANSAS,WICHITA,0,0,"2,452",,,,,,
17984,KANSAS,WILSON,0,0,"6,029",,,,,,
17985,KANSAS,WOODSON,0,0,"4,704",,,,,,
17986,KANSAS,WYANDOTTE,"1,203,038","1,150,431","771,155",,,,,,
18000,KENTUCKY,ADAIR,0,0,"5,884",,,,,,
18010,KENTUCKY,ALLEN,0,0,0,,,,,,
18020,KENTUCKY,ANDERSON,0,0,"7,315",,,,,,
18030,KENTUCKY,BALLARD,0,0,0,,,,,,
18040,KENTUCKY,BARREN,0,0,265,,,,,,
18050,KENTUCKY,BATH,"54,369","50,501","20,969",,,,,,
18060,KENTUCKY,BELL,"482,635","454,672","127,615",,,,,,
18070,KENTUCKY,BOONE,"174,576","166,914","46,551",,,,,,
18080,KENTUCKY,BOURBON,"54,481","51,975",267,,,,,,
18090,KENTUCKY,BOYD,"706,777","635,146","468,281",,,,,,
18100,KENTUCKY,BOYLE,0,0,"1,592",,,,,,
18110,KENTUCKY,BRACKEN,0,0,"7,717",,,,,,
18120,KENTUCKY,BREATHITT,0,0,"3,220",,,,,,
18130,KENTUCKY,BRECKINRIDGE,0,0,0,,,,,,
18140,KENTUCKY,BULLITT,"6,399","4,744","5,151",,,,,,
18150,KENTUCKY,BUTLER,0,0,874,,,,,,
18160,KENTUCKY,CALDWELL,"26,500","24,081","12,087",,,,,,
18170,KENTUCKY,CALLOWAY,0,0,"2,647",,,,,,
18180,KENTUCKY,CAMPBELL,"289,837","269,082","147,499",,,,,,
18190,KENTUCKY,CARLISLE,0,0,"8,426",,,,,,
18191,KENTUCKY,CARROLL,0,0,0,,,,,,
18210,KENTUCKY,CARTER,"78,139","72,846","90,920",,,,,,
18220,KENTUCKY,CASEY,"16,404","16,404","9,267",,,,,,
18230,KENTUCKY,CHRISTIAN,"36,891","33,539","15,715",,,,,,
18240,KENTUCKY,CLARK,"73,665","68,123","34,708",,,,,,
18250,KENTUCKY,CLAY,"25,484","21,176","4,558",,,,,,
18260,KENTUCKY,CLINTON,0,0,0,,,,,,
18270,KENTUCKY,CRITTENDEN,"4,848","4,108","1,063",,,,,,
18271,KENTUCKY,CUMBERLAND,0,0,0,,,,,,
18290,KENTUCKY,DAVIESS,"8,571","8,025","15,965",,,,,,
18291,KENTUCKY,EDMONSON,0,0,0,,,,,,
18310,KENTUCKY,ELLIOTT,0,0,879,,,,,,
18320,KENTUCKY,ESTILL,"33,215","33,215","3,662",,,,,,
18330,KENTUCKY,FAYETTE,"357,915","330,933","114,546",,,,,,
18340,KENTUCKY,FLEMING,"2,754","2,440","4,855",,,,,,
18350,KENTUCKY,FLOYD,"3,752,936","3,456,496","1,587,688",,,,,,
18360,KENTUCKY,FRANKLIN,"41,932","35,152","15,331",,,,,,
18361,KENTUCKY,FULTON,"5,698","5,593",833,,,,,,
18362,KENTUCKY,GALLATIN,0,0,0,,,,,,
18390,KENTUCKY,GARRARD,0,0,860,,,,,,
18400,KENTUCKY,GRANT,0,0,0,,,,,,
18410,KENTUCKY,GRAVES,"66,159","66,159","5,229",,,,,,
18420,KENTUCKY,GRAYSON,0,0,0,,,,,,
18421,KENTUCKY,GREEN,0,0,0,,,,,,
18440,KENTUCKY,GREENUP,"3,074,785","2,813,639","2,638,677",,,,,,
18450,KENTUCKY,HANCOCK,0,0,0,,,,,,
18460,KENTUCKY,HARDIN,"29,981","28,865","21,962",,,,,,
18470,KENTUCKY,HARLAN,"1,285,115","1,119,738","299,223",,,,,,
18480,KENTUCKY,HARRISON,0,0,"3,192",,,,,,
18490,KENTUCKY,HART,0,0,0,,,,,,
18500,KENTUCKY,HENDERSON,"70,114","62,897","9,115",,,,,,
18510,KENTUCKY,HENRY,0,0,0,,,,,,
18511,KENTUCKY,HICKMAN,0,0,"1,938",,,,,,
18530,KENTUCKY,HOPKINS,"1,008,810","928,705","281,948",,,,,,
18540,KENTUCKY,JACKSON,0,0,0,,,,,,
18550,KENTUCKY,JEFFERSON,"161,664","141,526","64,248",,,,,,
18560,KENTUCKY,JESSAMINE,"132,923","127,262","14,538",,,,,,
18570,KENTUCKY,JOHNSON,"824,853","738,215","220,763",,,,,,
18580,KENTUCKY,KENTON,"130,938","126,107","42,119",,,,,,
18590,KENTUCKY,KNOTT,"320,116","277,138","177,906",,,,,,
18600,KENTUCKY,KNOX,"16,536","15,637","10,995",,,,,,
18610,KENTUCKY,LARUE,0,0,0,,,,,,
18620,KENTUCKY,LAUREL,"210,315","181,756","77,006",,,,,,
18630,KENTUCKY,LAWRENCE,"179,625","154,309","75,853",,,,,,
18640,KENTUCKY,LEE,0,0,"2,062",,,,,,
18650,KENTUCKY,LESLIE,"224,861","208,706","40,493",,,,,,
18660,KENTUCKY,LETCHER,"1,726,103","1,588,755","716,282",,,,,,
18670,KENTUCKY,LEWIS,"25,632","22,847","33,625",,,,,,
18680,KENTUCKY,LINCOLN,"84,679","82,226","21,321",,,,,,
18690,KENTUCKY,LIVINGSTON,"8,826","8,826","10,759",,,,,,
18700,KENTUCKY,LOGAN,0,0,822,,,,,,
18710,KENTUCKY,LYON,0,0,"14,739",,,,,,
18720,KENTUCKY,MC CRACKEN,0,0,"5,110",,,,,,
18730,KENTUCKY,MC CREARY,"96,460","85,891","16,237",,,,,,
18740,KENTUCKY,MC LEAN,"81,923","76,791","9,167",,,,,,
18750,KENTUCKY,MADISON,"71,231","61,121","40,838",,,,,,
18760,KENTUCKY,MAGOFFIN,"88,669","80,816","49,898",,,,,,
18770,KENTUCKY,MARION,0,0,0,,,,,,
18780,KENTUCKY,MARSHALL,"44,545","44,108","15,947",,,,,,
18790,KENTUCKY,MARTIN,"489,003","433,326","152,738",,,,,,
18800,KENTUCKY,MASON,0,0,"3,425",,,,,,
18801,KENTUCKY,MEADE,"12,307","12,045","1,547",,,,,,
18802,KENTUCKY,MENIFEE,"21,285","19,676","19,920",,,,,,
18830,KENTUCKY,MERCER,"9,508","8,339",604,,,,,,
18831,KENTUCKY,METCALFE,0,0,0,,,,,,
18850,KENTUCKY,MONROE,0,0,0,,,,,,
18860,KENTUCKY,MONTGOMERY,"33,291","31,054","19,701",,,,,,
18861,KENTUCKY,MORGAN,"33,245","25,090","8,395",,,,,,
18880,KENTUCKY,MUHLENBERG,"804,434","755,000","236,718",,,,,,
18890,KENTUCKY,NELSON,0,0,369,,,,,,
18900,KENTUCKY,NICHOLAS,0,0,163,,,,,,
18910,KENTUCKY,OHIO,"222,439","192,769","33,145",,,,,,
18920,KENTUCKY,OLDHAM,0,0,"5,726",,,,,,
18930,KENTUCKY,OWEN,"4,017","4,017","1,148",,,,,,
18931,KENTUCKY,OWSLEY,0,0,0,,,,,,
18932,KENTUCKY,PENDLETON,"5,195","4,862","6,269",,,,,,
18960,KENTUCKY,PERRY,"784,307","691,037","244,187",,,,,,
18970,KENTUCKY,PIKE,"4,499,918","4,093,377","1,559,982",,,,,,
18971,KENTUCKY,POWELL,"114,158","109,632","11,627",,,,,,
18972,KENTUCKY,PULASKI,"190,739","175,730","119,200",,,,,,
18973,KENTUCKY,ROBERTSON,0,0,0,,,,,,
18974,KENTUCKY,ROCKCASTLE,"35,815","34,314","10,584",,,,,,
18975,KENTUCKY,ROWAN,"164,837","146,857","24,201",,,,,,
18976,KENTUCKY,RUSSELL,0,0,0,,,,,,
18977,KENTUCKY,SCOTT,"39,104","38,838","4,198",,,,,,
18978,KENTUCKY,SHELBY,"17,249","13,418","3,254",,,,,,
18979,KENTUCKY,SIMPSON,"8,344","5,048","4,112",,,,,,
18980,KENTUCKY,SPENCER,"19,666","18,418","3,714",,,,,,
18981,KENTUCKY,TAYLOR,0,0,0,,,,,,
18982,KENTUCKY,TODD,0,0,"4,082",,,,,,
18983,KENTUCKY,TRIGG,"4,323","4,323","31,434",,,,,,
18984,KENTUCKY,TRIMBLE,0,0,0,,,,,,
18985,KENTUCKY,UNION,"108,095","104,288","37,498",,,,,,
18986,KENTUCKY,WARREN,"37,232","32,241","4,505",,,,,,
18987,KENTUCKY,WASHINGTON,0,0,0,,,,,,
18988,KENTUCKY,WAYNE,0,0,"17,062",,,,,,
18989,KENTUCKY,WEBSTER,"135,530","126,609","55,945",,,,,,
18990,KENTUCKY,WHITLEY,"216,730","193,244","90,034",,,,,,
18991,KENTUCKY,WOLFE,"3,358","2,866","2,553",,,,,,
18992,KENTUCKY,WOODFORD,"26,789","26,383","3,780",,,,,,
19000,LOUISIANA,ACADIA,0,0,"3,208",,,,,,
19010,LOUISIANA,ALLEN,0,0,"12,679",,,,,,
19020,LOUISIANA,ASCENSION,"2,917","2,553","17,178",,,,,,
19030,LOUISIANA,ASSUMPTION,"28,142","27,089","4,213",,,,,,
19040,LOUISIANA,AVOYELLES,0,0,"11,667",,,,,,
19050,LOUISIANA,BEAUREGARD,0,0,"11,691",,,,,,
19060,LOUISIANA,BIENVILLE,0,0,0,,,,,,
19070,LOUISIANA,BOSSIER,"50,463","50,463","14,498",,,,,,
19080,LOUISIANA,CADDO,"31,934","27,866","109,835",,,,,,
19090,LOUISIANA,CALCASIEU,"73,916","71,633","49,234",,,,,,
19100,LOUISIANA,CALDWELL,"20,613","18,325","19,895",,,,,,
19110,LOUISIANA,CAMERON,0,0,0,,,,,,
19120,LOUISIANA,CATAHOULA,0,0,0,,,,,,
19130,LOUISIANA,CLAIBORNE,"7,458","6,658","14,839",,,,,,
19140,LOUISIANA,CONCORDIA,"33,816","33,816","13,998",,,,,,
19150,LOUISIANA,DE SOTO,"3,785","2,843","2,599",,,,,,
19160,LOUISIANA,E. BATON ROUGE,0,0,0,,,,,,
19170,LOUISIANA,EAST CARROLL,0,0,0,,,,,,
19180,LOUISIANA,EAST FELICIANA,0,0,0,,,,,,
19190,LOUISIANA,EVANGELINE,0,0,"11,394",,,,,,
19200,LOUISIANA,FRANKLIN,0,0,"15,091",,,,,,
19210,LOUISIANA,GRANT,0,0,"18,651",,,,,,
19220,LOUISIANA,IBERIA,0,0,0,,,,,,
19230,LOUISIANA,IBERVILLE,0,0,"2,642",,,,,,
19240,LOUISIANA,JACKSON,0,0,292,,,,,,
19250,LOUISIANA,JEFFERSON,0,0,19,,,,,,
19260,LOUISIANA,JEFFRSON DAVIS,0,0,206,,,,,,
19270,LOUISIANA,LAFAYETTE,0,0,"8,647",,,,,,
19280,LOUISIANA,LAFOURCHE,0,0,0,,,,,,
19290,LOUISIANA,LA SALLE,0,0,0,,,,,,
19300,LOUISIANA,LINCOLN,"4,975","4,975","13,633",,,,,,
19310,LOUISIANA,LIVINGSTON,0,0,0,,,,,,
19320,LOUISIANA,MADISON,0,0,0,,,,,,
19330,LOUISIANA,MOREHOUSE,0,0,"8,585",,,,,,
19340,LOUISIANA,NATCHITOCHES,"2,805","2,722","19,884",,,,,,
19350,LOUISIANA,ORLEANS,0,0,0,,,,,,
19360,LOUISIANA,OUACHITA,"138,926","123,456","71,159",,,,,,
19370,LOUISIANA,PLAQUEMINES,0,0,0,,,,,,
19380,LOUISIANA,POINTE COUPEE,0,0,0,,,,,,
19390,LOUISIANA,RAPIDES,"17,052","15,605","78,519",,,,,,
19400,LOUISIANA,RED RIVER,0,0,0,,,,,,
19410,LOUISIANA,RICHLAND,0,0,0,,,,,,
19420,LOUISIANA,SABINE,"8,135","8,135","8,491",,,,,,
19430,LOUISIANA,ST. BERNARD,0,0,0,,,,,,
19440,LOUISIANA,ST. CHARLES,0,0,0,,,,,,
19450,LOUISIANA,ST. HELENA,0,0,0,,,,,,
19460,LOUISIANA,ST. JAMES,0,0,0,,,,,,
19470,LOUISIANA,ST. JOHN BAPTIST,0,0,0,,,,,,
19480,LOUISIANA,ST. LANDRY,"50,404","47,077","38,804",,,,,,
19490,LOUISIANA,ST. MARTIN,0,0,0,,,,,,
19500,LOUISIANA,ST. MARY,0,0,0,,,,,,
19510,LOUISIANA,ST. TAMMANY,"28,247","26,426","12,067",,,,,,
19520,LOUISIANA,TANGIPAHOA,0,0,0,,,,,,
19530,LOUISIANA,TENSAS,0,0,0,,,,,,
19540,LOUISIANA,TERREBONNE,0,0,0,,,,,,
19550,LOUISIANA,UNION,"4,124","3,917","26,593",,,,,,
19560,LOUISIANA,VERMILION,0,0,0,,,,,,
19570,LOUISIANA,VERNON,0,0,0,,,,,,
19580,LOUISIANA,WASHINGTON,0,0,0,,,,,,
19590,LOUISIANA,WEBSTER,0,0,"1,356",,,,,,
19600,LOUISIANA,W. BATON ROUGE,"11,070","10,685","15,153",,,,,,
19610,LOUISIANA,WEST CARROLL,"8,376","8,376","8,461",,,,,,
19620,LOUISIANA,WEST FELICIANA,0,0,0,,,,,,
19630,LOUISIANA,WINN,0,0,0,,,,,,
20000,MAINE,ANDROSCOGGIN,0,0,0,,,,,,
20010,MAINE,AROOSTOOK,0,0,0,,,,,,
20020,MAINE,CUMBERLAND,"1,372","1,261","8,094",,,,,,
20030,MAINE,FRANKLIN,0,0,0,,,,,,
20040,MAINE,HANCOCK,0,0,0,,,,,,
20050,MAINE,KENNEBEC,0,0,95,,,,,,
20060,MAINE,KNOX,0,0,0,,,,,,
20070,MAINE,LINCOLN,0,0,0,,,,,,
20080,MAINE,OXFORD,0,0,0,,,,,,
20090,MAINE,PENOBSCOT,0,0,0,,,,,,
20100,MAINE,PISCATAQUIS,0,0,0,,,,,,
20110,MAINE,SAGADAHOC,0,0,"4,102",,,,,,
20120,MAINE,SOMERSET,0,0,0,,,,,,
20130,MAINE,WALDO,0,0,0,,,,,,
20140,MAINE,WASHINGTON,0,0,0,,,,,,
20150,MAINE,YORK,0,0,0,,,,,,
21000,MARYLAND,ALLEGANY,"24,618","23,990","10,120",,,,,,
21010,MARYLAND,ANNE ARUNDEL,"4,869,931","4,739,646","2,428,967",,,,,,
21020,MARYLAND,BALTIMORE,"13,364,944","13,188,363","7,444,860",,,,,,
21030,MARYLAND,BALTIMORE CITY,"6,245,640","6,147,313","3,373,905",,,,,,
21040,MARYLAND,CALVERT,"491,308","457,010","292,708",,,,,,
21050,MARYLAND,CAROLINE,0,0,0,,,,,,
21060,MARYLAND,CARROLL,"1,019,795","1,001,762","659,211",,,,,,
21070,MARYLAND,CECIL,"60,380","60,269","9,860",,,,,,
21080,MARYLAND,CHARLES,"1,761,568","1,630,188","599,765",,,,,,
21090,MARYLAND,DORCHESTER,0,0,"11,910",,,,,,
21100,MARYLAND,FREDERICK,"1,643,959","1,601,648","816,390",,,,,,
21110,MARYLAND,GARRETT,"51,669","47,378","16,736",,,,,,
21120,MARYLAND,HARFORD,"2,268,861","2,195,513","1,622,932",,,,,,
21130,MARYLAND,HOWARD,"1,799,042","1,755,070","1,105,763",,,,,,
21140,MARYLAND,KENT,0,0,0,,,,,,
21150,MARYLAND,MONTGOMERY,"18,699,986","17,855,335","9,915,358",,,,,,
21160,MARYLAND,PRINCE GEORGES,"24,306,363","21,932,836","9,752,960",,,,,,
21170,MARYLAND,QUEEN ANNES,0,0,0,,,,,,
21180,MARYLAND,ST. MARYS,"118,756","109,817","26,310",,,,,,
21190,MARYLAND,SOMERSET,0,0,"11,445",,,,,,
21200,MARYLAND,TALBOT,0,0,170,,,,,,
21210,MARYLAND,WASHINGTON,"98,247","94,771","16,003",,,,,,
21220,MARYLAND,WICOMICO,0,0,"21,230",,,,,,
21230,MARYLAND,WORCESTER,"255,717","253,665","31,720",,,,,,
22000,MASSACHUSETTS,BARNSTABLE,0,0,"4,142",,,,,,
22010,MASSACHUSETTS,BERKSHIRE,"5,093","5,093","5,971",,,,,,
22020,MASSACHUSETTS,BRISTOL,"29,949","29,949","7,214",,,,,,
22030,MASSACHUSETTS,DUKES,"50,711","50,595","2,248",,,,,,
22040,MASSACHUSETTS,ESSEX,0,0,717,,,,,,
22060,MASSACHUSETTS,FRANKLIN,0,0,0,,,,,,
22070,MASSACHUSETTS,HAMPDEN,0,0,0,,,,,,
22080,MASSACHUSETTS,HAMPSHIRE,0,0,"1,344",,,,,,
22090,MASSACHUSETTS,MIDDLESEX,"53,810","53,335","39,699",,,,,,
22120,MASSACHUSETTS,NANTUCKET,0,0,0,,,,,,
22130,MASSACHUSETTS,NORFOLK,0,0,"3,647",,,,,,
22150,MASSACHUSETTS,PLYMOUTH,0,0,773,,,,,,
22160,MASSACHUSETTS,SUFFOLK,"39,525","28,410","5,251",,,,,,
22170,MASSACHUSETTS,WORCESTER,"3,463","3,463","1,031",,,,,,
23000,MICHIGAN,ALCONA,0,0,858,,,,,,
23010,MICHIGAN,ALGER,"19,341","17,885","21,875",,,,,,
23020,MICHIGAN,ALLEGAN,0,0,0,,,,,,
23030,MICHIGAN,ALPENA,0,0,0,,,,,,
23040,MICHIGAN,ANTRIM,0,0,0,,,,,,
23050,MICHIGAN,ARENAC,0,0,0,,,,,,
23060,MICHIGAN,BARAGA,0,0,0,,,,,,
23070,MICHIGAN,BARRY,0,0,0,,,,,,
23080,MICHIGAN,BAY,0,0,"8,647",,,,,,
23090,MICHIGAN,BENZIE,0,0,0,,,,,,
