SSA Code,State,County,Provider Number,CBSA 2015,IPPS Provider  2009,IPPS Provider  2010 A,IPPS Provider  2010 B,IPPS Provider  2011,IPPS Provider  2012,IPPS Provider  2013,IPPS Provider  2015
04160,AR,CRAWFORD,040018,22900,0.7814,0.7994,0.7994,0.7713,0.7451,0.7923,0.767
04170,AR,CRITTENDEN,040042,32820,0.9294,0.9265,0.9265,0.9244,0.9202,0.8967,0.8924
04210,AR,DREW,040051,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04220,AR,FAULKNER,040029,30780,0.8766,0.8683,0.8683,0.865,0.8651,0.8566,0.8362
04250,AR,GARLAND,040026,26300,0.9112,0.9115,0.9115,0.9249,0.9172,0.885,0.8586
04250,AR,GARLAND,040078,26300,0.9112,0.9115,0.9115,0.9249,0.9172,0.885,0.8586
04270,AR,GREENE,040039,NA,0.8415,0.8164,0.8164,0.8119,0.8088,0.7929,0.7996
04290,AR,HOT SPRING,040076,NA,0.8766,0.8972,0.8972,0.9026,0.9061,0.8732,0.8424
04310,AR,INDEPENDENCE,040119,NA,0.8766,0.8455,0.8455,0.8461,0.8494,0.8413,0.8245
04330,AR,JACKSON,040080,NA,0.8423,0.7796,0.7796,0.7794,0.7695,0.8125,0.7402
04340,AR,JEFFERSON,040071,38220,0.8766,0.8455,0.8455,0.8461,0.8494,0.8413,0.8245
04350,AR,JOHNSON,040002,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04460,AR,MISSISSIPPI,040069,NA,0.8876,0.8936,0.8936,0.8119,0.8088,0.7929,0.7402
04510,AR,OUACHITA,040050,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04530,AR,PHILLIPS,040085,NA,0.8876,0.8936,0.8936,0.892,0.8788,0.8592,0.8607
04560,AR,POLK,040015,NA,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7402
04570,AR,POPE,040041,NA,0.8766,0.8455,0.8455,0.8461,0.8494,0.8413,0.8245
04590,AR,PULASKI,040036,30780,0.8766,0.8683,0.8683,0.865,0.8651,0.8566,0.8362
04590,AR,PULASKI,040147,30780,0.8766,0.8683,0.8683,0.865,0.8651,0.8566,0.8362
04590,AR,PULASKI,040134,30780,0.8766,0.8683,0.8683,0.865,0.8651,0.8566,0.8362
04590,AR,PULASKI,040074,30780,0.8766,0.8683,0.8683,0.865,0.8651,0.8566,0.8362
04590,AR,PULASKI,040016,30780,0.8766,0.8683,0.8683,0.865,0.8651,0.8566,0.8362
04590,AR,PULASKI,040007,30780,0.8766,0.8683,0.8683,0.865,0.8651,0.8566,0.8362
04590,AR,PULASKI,040114,30780,0.8766,0.8683,0.8683,0.865,0.8651,0.8566,0.8362
04590,AR,PULASKI,040137,30780,0.8766,0.8683,0.8683,0.865,0.8651,0.8566,0.8362
04600,AR,RANDOLPH,040047,NA,0.7762,0.7676,0.7676,0.7516,0.7488,0.7538,0.7471
04610,AR,ST. FRANCIS,040019,NA,0.8876,0.8936,0.8936,0.7732,0.7704,0.7754,0.7623
04620,AR,SALINE,040084,30780,0.8766,0.8683,0.8683,0.865,0.8651,0.8566,0.8362
04650,AR,SEBASTIAN,040062,22900,0.7814,0.7994,0.7994,0.7713,0.7451,0.7923,0.8808
04650,AR,SEBASTIAN,040055,22900,0.7814,0.7994,0.7994,0.7713,0.7451,0.7923,0.767
