"ESRD -- 2013 PEURTO RICO ENROLLMENT, REIMBURSEMENT, 
PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE 
BY STATE AND COUNTY OF RESIDENCE 
BENEFICIARIES ENROLLED IN PARTS A AND/OR B 
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
40620,PUERTO RICO,SALINAS,38,"663,378",1454.78,"595,051","1,304.94","17,453","29,659","21,215",30,"965,361",2681.56
40630,PUERTO RICO,SAN GERMAN,53,"488,185",767.59,"448,474",705.15,"11,729","11,503","16,479",40,"1,422,677",2963.91
40640,PUERTO RICO,SAN JUAN,330,"2,719,459",686.73,"2,648,030",668.69,"16,765","41,278","13,386",279,"7,815,465",2334.37
40650,PUERTO RICO,SAN LORENZO,31,"332,839",894.73,"329,562",885.92,622,"2,411",244,29,"798,696",2295.1
40660,PUERTO RICO,SAN SEBASTIAN,34,"508,684",1246.77,"466,477","1,143.33","9,944","24,258","8,005",29,"1,345,037",3865.05
40670,PUERTO RICO,SANTA ISABEL,14,"219,222",1304.89,"181,987","1,083.26","10,029","12,999","14,207",9,"388,628",3598.41
40680,PUERTO RICO,TOA ALTA,59,"408,201",576.56,"395,328",558.37,"5,863","4,734","2,276",47,"1,141,541",2024.01
40690,PUERTO RICO,TOA BAJA,23,"303,614",1100.05,"298,207","1,080.46","1,581","2,690","1,136",20,"607,234",2530.14
40700,PUERTO RICO,TRUJILLO ALTO,40,"271,171",564.94,"271,042",564.67,0,129,0,35,"942,389",2243.78
40710,PUERTO RICO,UTUADO,8,"105,965",1103.8,"103,314","1,076.19",169,"2,476",6,6,"174,317",2421.07
40720,PUERTO RICO,VEGA ALTA,22,"273,463",1035.84,"253,713",961.03,"5,818","12,118","1,814",18,"628,982",2911.95
40730,PUERTO RICO,VEGA BAJA,35,"366,674",873.03,"347,159",826.57,"4,040","15,232",243,31,"1,012,038",2720.53
40740,PUERTO RICO,VIEQUES,42,"277,031",549.66,"274,942",545.52,597,428,"1,064",34,"829,264",2032.51
40750,PUERTO RICO,VILLALBA,23,"532,042",1927.69,"451,792","1,636.93","22,916","28,819","28,515",19,"736,789",3231.53
40760,PUERTO RICO,YABUCOA,29,"247,042",709.89,"231,910",666.41,"6,602","5,509","3,021",26,"826,736",2649.79
40770,PUERTO RICO,YAUCO,34,"427,565",1047.95,"383,648",940.31,"12,149","17,332","14,436",31,"1,123,463",3020.06
