DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,
03010,ARIZONA                  ,COCHISE,"6,935","-7,586","-6,989","-21,450","-71,572"
03020,ARIZONA                  ,COCONINO,"3,021","-16,473","-22,691","-18,757","-9,926"
03030,ARIZONA                  ,GILA,"-20,009","-44,884","-46,598","-54,587","-42,759"
03040,ARIZONA                  ,GRAHAM,"5,928","4,264",244,"-3,250","-23,684"
03050,ARIZONA                  ,GREENLEE,101,717,2,302,"-4,152"
03055,ARIZONA                  ,LA PAZ,"6,175","8,673","2,853",-539,"-14,766"
03060,ARIZONA                  ,MARICOPA,"113,192","-118,742","-88,062","-82,937","-270,797"
03070,ARIZONA                  ,MOHAVE,"51,358","-20,321","-20,331","-69,751","-48,884"
03080,ARIZONA                  ,NAVAJO,"16,558","9,155","2,127","-7,123","-57,802"
03090,ARIZONA                  ,PIMA,"-44,343","-131,653","-130,760","-206,679","-415,715"
03100,ARIZONA                  ,PINAL,"13,310","-15,553","-12,302","-3,726","-33,091"
03110,ARIZONA                  ,SANTA CRUZ,"-1,511","-4,125","-3,052","-2,983","-11,876"
03120,ARIZONA                  ,YAVAPAI,"51,939","-28,177","-183,872","-172,820","-90,714"
03130,ARIZONA                  ,YUMA,"28,339","53,756","51,519","25,906","-40,105"
04000,ARKANSAS                 ,ARKANSAS,"-9,690","-6,863","-6,963","-5,632","-6,812"
04010,ARKANSAS                 ,ASHLEY,"-9,672","-11,290","-10,815","-7,522","-6,813"
04020,ARKANSAS                 ,BAXTER,"-16,053","-17,714","-13,085","-15,503","-9,923"
04030,ARKANSAS                 ,BENTON,"-24,723","8,884","7,987","-72,932","-66,468"
04040,ARKANSAS                 ,BOONE,"-18,128","5,546","-17,321","-46,244","-41,302"
04050,ARKANSAS                 ,BRADLEY,"-3,530","-3,732","-5,185","-4,994","-3,361"
04060,ARKANSAS                 ,CALHOUN,"-1,629","-1,631","-4,220","-2,953","-2,520"
04070,ARKANSAS                 ,CARROLL,"-4,336",544,-862,"-10,685","-8,606"
04080,ARKANSAS                 ,CHICOT,"-3,949","-2,131","-4,173","-4,417","-3,659"
04090,ARKANSAS                 ,CLARK,"-11,708","-9,039","-11,510","-9,589","-4,597"
04100,ARKANSAS                 ,CLAY,"-8,095","-6,743","-4,994","-2,534",-88
04110,ARKANSAS                 ,CLEBURNE,"-15,967","-12,258","-10,991","-13,117","-10,019"
04120,ARKANSAS                 ,CLEVELAND,"-5,972","-3,293","-3,878","-3,916","-3,456"
04130,ARKANSAS                 ,COLUMBIA,"-8,945","-9,914","-9,192","-8,608","-5,472"
04140,ARKANSAS                 ,CONWAY,"-10,863","-8,868","-7,842","-10,986","-5,942"
