HHA Wage Indices by Fiscal Year,,,,,,,,,,,
SSACD,State,County,CBSA Code,Wage 2009,Wage 2010,Wage 2011,Wage 2012,Wage 2013,Wage 2014,Wage 2015,
04530,AR,PHILLIPS,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04540,AR,PIKE,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04560,AR,POLK,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04570,AR,POPE,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04580,AR,PRAIRIE,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04600,AR,RANDOLPH,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04610,AR,ST. FRANCIS,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04630,AR,SCOTT,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04640,AR,SEARCY,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04660,AR,SEVIER,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04670,AR,SHARP,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04680,AR,STONE,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04690,AR,UNION,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04700,AR,VAN BUREN,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04720,AR,WHITE,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04730,AR,WOODRUFF,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
04740,AR,YELL,04,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374,0.7311,
05010,CA,ALPINE,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05020,CA,AMADOR,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05040,CA,CALAVERAS,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05050,CA,COLUSA,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05070,CA,DEL NORTE,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05100,CA,GLENN,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05110,CA,HUMBOLDT,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05130,CA,INYO,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05160,CA,LAKE,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05170,CA,LASSEN,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05320,CA,MARIPOSA,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05330,CA,MENDOCINO,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05350,CA,MODOC,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05360,CA,MONO,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05390,CA,NEVADA,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05420,CA,PLUMAS,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05560,CA,SIERRA,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05570,CA,SISKIYOU,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05620,CA,TEHAMA,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05630,CA,TRINITY,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
05650,CA,TUOLUMNE,05,1.2275,1.2051,1.2056,1.2194,1.2585,1.2697,1.3215,
06010,CO,ALAMOSA,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06030,CO,ARCHULETA,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06040,CO,BACA,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06050,CO,BENT,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06070,CO,CHAFFEE,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06080,CO,CHEYENNE,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06100,CO,CONEJOS,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06110,CO,COSTILLA,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06120,CO,CROWLEY,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06130,CO,CUSTER,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06140,CO,DELTA,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06160,CO,DOLORES,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06180,CO,EAGLE,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06210,CO,FREMONT,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06220,CO,GARFIELD,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06240,CO,GRAND,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06250,CO,GUNNISON,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06260,CO,HINSDALE,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06270,CO,HUERFANO,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06280,CO,JACKSON,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06300,CO,KIOWA,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06310,CO,KIT CARSON,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06320,CO,LAKE,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06330,CO,LA PLATA,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06350,CO,LAS ANIMAS,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06360,CO,LINCOLN,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06370,CO,LOGAN,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06390,CO,MINERAL,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06400,CO,MOFFAT,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06410,CO,MONTEZUMA,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06420,CO,MONTROSE,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06430,CO,MORGAN,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06440,CO,OTERO,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
06450,CO,OURAY,06,0.957,0.9929,0.9933,1.0126,1.0228,0.9844,0.9646,
