"AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. 
",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
26050,MISSOURI                 ,BARTON,"-221,288","-162,488","-111,452","-126,373","-74,498","-57,134",,,,,,
26060,MISSOURI                 ,BATES,"13,241","17,090","8,767","-6,151","-42,343","-258,568",,,,,,
26070,MISSOURI                 ,BENTON,"-146,426","-225,062","-137,969","-183,976","-316,776","-556,933",,,,,,
26080,MISSOURI                 ,BOLLINGER,"-112,817","-132,173","-162,475","-128,668","-108,455","-59,569",,,,,,
26090,MISSOURI                 ,BOONE,"-365,864","-333,669","-387,699","-662,517","-604,815","-24,249",,,,,,
26100,MISSOURI                 ,BUCHANAN,"-65,807","-82,782","-67,492","-106,354","-78,384","-1,595",,,,,,
26110,MISSOURI                 ,BUTLER,"-1,357,245","-1,512,665","-1,401,552","-1,250,463","-1,024,363","-41,287",,,,,,
26120,MISSOURI                 ,CALDWELL,"4,005","-6,315","-2,698","-19,801","-12,036","-155,739",,,,,,
26130,MISSOURI                 ,CALLAWAY,"-178,073","-190,470","-143,301","-178,524","-266,957","-13,929",,,,,,
26140,MISSOURI                 ,CAMDEN,"-522,163","-478,738","-643,169","-698,788","-519,135","-14,730",,,,,,
26150,MISSOURI                 ,CAPE GIRARDEAU,"-654,558","-798,128","-799,037","-727,943","-601,227","-12,730",,,,,,
26160,MISSOURI                 ,CARROLL,"-17,126","-28,167","-32,134","-10,376","-50,825","-77,463",,,,,,
26170,MISSOURI                 ,CARTER,"-185,200","-232,596","-245,758","-160,601","-121,276","-22,418",,,,,,
26180,MISSOURI                 ,CASS,"133,767","145,937","72,176","49,103","-75,135","-38,348",,,,,,
26190,MISSOURI                 ,CEDAR,"-91,016","-172,475","-154,273","-134,963","-65,304","-35,014",,,,,,
26200,MISSOURI                 ,CHARITON,"-43,702","-46,058","-40,511","-26,533","-29,760","-187,899",,,,,,
26210,MISSOURI                 ,CHRISTIAN,"-331,068","-352,656","-427,608","-529,777","-299,429","-30,239",,,,,,
26220,MISSOURI                 ,CLARK,"-50,043","-54,237","-62,612","-48,573","-50,880","-34,112",,,,,,
26230,MISSOURI                 ,CLAY,"-230,019","-241,153","-275,043","-278,981","-262,229","-184,180",,,,,,
26240,MISSOURI                 ,CLINTON,"-3,312","-8,816","-21,158","-27,110","-15,790","-116,133",,,,,,
26250,MISSOURI                 ,COLE,"152,320","165,081","72,789","-114,728","-229,772","-51,979",,,,,,
26260,MISSOURI                 ,COOPER,"-69,213","-111,431","-77,082","-95,773","-96,993","-1,652",,,,,,
26270,MISSOURI                 ,CRAWFORD,"-149,688","-155,388","-139,770","-107,535","-31,589","-132,714",,,,,,
26280,MISSOURI                 ,DADE,"-69,948","-70,259","-104,008","-71,508","-66,105","-136,597",,,,,,
26290,MISSOURI                 ,DALLAS,"-79,366","-77,939","-78,546","-89,235","-79,915","-15,260",,,,,,
26300,MISSOURI                 ,DAVIESS,"7,606","-30,013","-21,195","-26,442","-15,567","-52,692",,,,,,
26310,MISSOURI                 ,DEKALB,"8,230",205,"-12,612","-13,798","-3,547","-87,358",,,,,,
26320,MISSOURI                 ,DENT,"-72,298","-41,562","-48,250","-68,798","-59,241","-35,534",,,,,,
26330,MISSOURI                 ,DOUGLAS,"-85,437","-58,473","-100,875","-74,523","-53,352","-47,603",,,,,,
26340,MISSOURI                 ,DUNKLIN,"-406,851","-401,569","-283,788","-223,129","-108,785","-64,879",,,,,,
26350,MISSOURI                 ,FRANKLIN,"-43,810","-18,730","-228,524","-244,578","-236,508","-23,477",,,,,,
26360,MISSOURI                 ,GASCONADE,439,"-30,171","-32,899","-93,214","-91,360","-4,374",,,,,,
26370,MISSOURI                 ,GENTRY,"-5,648","-14,345","-2,860","-16,209","-3,127","-52,344",,,,,,
26380,MISSOURI                 ,GREENE,"-1,387,229","-1,345,236","-1,569,928","-1,655,849","-1,149,976","-97,126",,,,,,
26390,MISSOURI                 ,GRUNDY,"-51,035","-63,786","-35,573","-66,614","-87,079","-15,958",,,,,,
26400,MISSOURI                 ,HARRISON,"-1,143","-7,453","-16,893","-10,234","-18,047","-47,135",,,,,,
26410,MISSOURI                 ,HENRY,"-90,019","-262,516","-300,172","-308,826","-436,586","-54,589",,,,,,
26411,MISSOURI                 ,HICKORY,"-84,417","-45,645","-78,281","-81,751","-92,325","-56,338",,,,,,
26412,MISSOURI                 ,HOLT,"-7,869","-11,573","-8,812","-19,953","-8,881","-9,916",,,,,,
26440,MISSOURI                 ,HOWARD,"-25,143","-51,882","-47,192","-47,828","-73,293","-209,088",,,,,,
26450,MISSOURI                 ,HOWELL,"-649,238","-811,360","-1,011,657","-880,821","-580,287","-60,391",,,,,,
26460,MISSOURI                 ,IRON,"-65,357","-94,629","-83,875","-96,905","-75,867","-16,589",,,,,,
26470,MISSOURI                 ,JACKSON,"1,477,079","1,057,766","658,560","387,534","-114,074","-61,558",,,,,,
26480,MISSOURI                 ,JASPER,"-2,445,448","-2,268,960","-1,792,180","-1,568,321","-946,395","-32,902",,,,,,
26490,MISSOURI                 ,JEFFERSON,"-176,505","-114,560","-123,761","-190,355","-216,138","-22,595",,,,,,
26500,MISSOURI                 ,JOHNSON,"-40,568","-68,798","-57,701","-102,883","-170,139","-86,107",,,,,,
26510,MISSOURI                 ,KNOX,835,"-7,321","-2,213","-20,051","-16,870","-24,352",,,,,,
26520,MISSOURI                 ,LACLEDE,"-168,474","-188,358","-169,200","-200,454","-141,747","-35,169",,,,,,
26530,MISSOURI                 ,LAFAYETTE,"-5,617","-12,771","-53,652","-63,197","-70,248","-49,648",,,,,,
26540,MISSOURI                 ,LAWRENCE,"-246,694","-266,443","-293,619","-383,698","-167,955","-44,910",,,,,,
26541,MISSOURI                 ,LEWIS,"-27,595","-24,249","-25,840","-52,350","-41,006","-11,916",,,,,,
26560,MISSOURI                 ,LINCOLN,"-36,992","-113,728","-99,938","-102,416","-101,709","-86,466",,,,,,
26570,MISSOURI                 ,LINN,"-58,597","-73,623","-35,339","-52,817","-50,511","-18,108",,,,,,
26580,MISSOURI                 ,LIVINGSTON,"-27,117","-44,769","-50,578","-74,477","-57,432","-126,198",,,,,,
26590,MISSOURI                 ,MCDONALD,"-245,046","-192,935","-191,438","-172,672","-102,380","-154,246",,,,,,
26600,MISSOURI                 ,MACON,"-54,134","-49,352","-53,831","-63,168","-71,776","-25,077",,,,,,
26601,MISSOURI                 ,MADISON,"-99,539","-95,276","-136,529","-115,841","-72,514","-21,461",,,,,,
26620,MISSOURI                 ,MARIES,-521,"6,310","-28,196","-43,379","-13,490","-13,361",,,,,,
26630,MISSOURI                 ,MARION,"-63,202","-81,023","-114,364","-114,572","-109,127","-27,681",,,,,,
26631,MISSOURI                 ,MERCER,-215,"-20,137","-8,932","-24,174","-8,948","-25,321",,,,,,
26650,MISSOURI                 ,MILLER,"-133,549","-128,045","-256,470","-240,682","-201,136","-54,143",,,,,,
26660,MISSOURI                 ,MISSISSIPPI,"-115,763","-139,338","-129,084","-142,641","-96,266",-842,,,,,,
26670,MISSOURI                 ,MONITEAU,"41,999","30,295","-11,065","-11,547","-54,831","-15,255",,,,,,
26680,MISSOURI                 ,MONROE,"-12,226","-41,840","-59,768","-37,900","-28,159","-1,940",,,,,,
26690,MISSOURI                 ,MONTGOMERY,"-57,597","-38,708","-30,059","-61,266","-46,336","-5,285",,,,,,
26700,MISSOURI                 ,MORGAN,"-107,396","-101,927","-205,400","-156,954","-212,114","-11,988",,,,,,
26710,MISSOURI                 ,NEW MADRID,"-149,501","-200,839","-193,646","-125,474","-108,955","-53,844",,,,,,
26720,MISSOURI                 ,NEWTON,"-693,895","-578,709","-561,392","-501,773","-291,041","-2,808",,,,,,
26730,MISSOURI                 ,NODAWAY,"-52,160","-37,484","-42,173","-46,040","-27,515","-8,154",,,,,,
26740,MISSOURI                 ,OREGON,"-184,573","-202,981","-219,598","-283,759","-146,272","-39,486",,,,,,
26750,MISSOURI                 ,OSAGE,"50,642","39,799","12,529","-25,168","-52,823","-16,470",,,,,,
26751,MISSOURI                 ,OZARK,"-96,228","-105,451","-130,960","-144,633","-102,426","-161,758",,,,,,
26770,MISSOURI                 ,PEMISCOT,"-108,731","-53,320","-2,922","49,500","48,564","-23,317",,,,,,
26780,MISSOURI                 ,PERRY,"-117,766","-134,704","-135,846","-181,930","-111,061","-106,920",,,,,,
26790,MISSOURI                 ,PETTIS,"-84,904","-106,951","-133,604","-172,903","-111,654","-3,053",,,,,,
26800,MISSOURI                 ,PHELPS,"-248,529","-239,765","-220,273","-292,328","-190,677","-35,516",,,,,,
26810,MISSOURI                 ,PIKE,"-46,685","-40,759","-39,971","-49,967","-82,290","-36,858",,,,,,
26820,MISSOURI                 ,PLATTE,"-123,767","-183,136","-142,148","-201,361","-102,609","-92,793",,,,,,
26821,MISSOURI                 ,POLK,"-145,841","-124,124","-193,076","-178,828","-136,354","-7,950",,,,,,
26840,MISSOURI                 ,PULASKI,"-140,420","-194,014","-224,591","-287,068","-183,860","-16,155",,,,,,
26850,MISSOURI                 ,PUTNAM,"1,473","-23,443","-61,665","-27,262","-34,355","-54,098",,,,,,
26860,MISSOURI                 ,RALLS,"-34,674","-37,609","-26,688","-23,950","-47,088","-18,690",,,,,,
26870,MISSOURI                 ,RANDOLPH,"-95,425","-97,519","-94,836","-193,133","-99,327","-4,677",,,,,,
26880,MISSOURI                 ,RAY,"-7,868",-708,"-37,544","-25,609","-20,590","-142,908",,,,,,
26881,MISSOURI                 ,REYNOLDS,"-70,155","-81,655","-69,210","-74,841","-55,596","-8,747",,,,,,
26900,MISSOURI                 ,RIPLEY,"-517,336","-492,454","-487,363","-460,420","-285,689","-86,905",,,,,,
26910,MISSOURI                 ,ST. CHARLES,"115,652","-224,745","-445,511","-440,764","-379,042","-13,197",,,,,,
26911,MISSOURI                 ,ST. CLAIR,"-24,574","-26,367","-67,434","-79,143","-94,478","29,895",,,,,,
26930,MISSOURI                 ,ST. FRANCOIS,"-374,310","-416,909","-592,594","-637,955","-548,952","-12,907",,,,,,
26940,MISSOURI                 ,ST. LOUIS,"-137,515","-41,922","-208,107","141,934","-456,025","-12,943",,,,,,
26950,MISSOURI                 ,ST. LOUIS CITY,"84,011","95,866","-88,002","-22,378","2,415","-19,947",,,,,,
26960,MISSOURI                 ,STE. GENEVIEVE,"-64,127","-76,642","-71,199","-54,605","-59,493","-29,313",,,,,,
26970,MISSOURI                 ,SALINE,"-64,643","-300,385","-282,556","-317,877","-64,256","-4,053",,,,,,
26980,MISSOURI                 ,SCHUYLER,"-27,283","-12,692","-24,167","-33,075","-32,531","-2,239",,,,,,
26981,MISSOURI                 ,SCOTLAND,"-8,679","-13,848","-6,762","-22,768","-11,757","-11,388",,,,,,
26982,MISSOURI                 ,SCOTT,"-357,210","-398,023","-459,730","-377,888","-292,124","-24,459",,,,,,
26983,MISSOURI                 ,SHANNON,"-73,834","-115,258","-101,282","-108,527","-83,955","-57,974",,,,,,
26984,MISSOURI                 ,SHELBY,"-13,926","-12,333","-16,843","-52,736","-38,167","-102,774",,,,,,
26985,MISSOURI                 ,STODDARD,"-487,192","-563,246","-456,943","-392,351","-372,417","-22,512",,,,,,
26986,MISSOURI                 ,STONE,"-197,636","-241,003","-224,577","-318,903","-225,796","-1,848",,,,,,
26987,MISSOURI                 ,SULLIVAN,"-5,864","-18,770","-41,510","-13,304","-32,701","-541,244",,,,,,
26988,MISSOURI                 ,TANEY,"-241,818","-210,039","-262,678","-315,141","-268,851","-6,072",,,,,,
26989,MISSOURI                 ,TEXAS,"-213,827","-269,976","-260,072","-278,110","-173,146","-2,809",,,,,,
26990,MISSOURI                 ,VERNON,"-274,729","-390,083","-241,149","-185,036","-142,493","-15,813",,,,,,
26991,MISSOURI                 ,WARREN,"-3,659","-18,670","-49,517","-66,460","-49,731","-16,062",,,,,,
26992,MISSOURI                 ,WASHINGTON,"-45,522","-41,904","-68,733","-95,323","-51,877","-1,569",,,,,,
26993,MISSOURI                 ,WAYNE,"-480,931","-631,111","-554,613","-437,038","-367,801","-17,188",,,,,,
26994,MISSOURI                 ,WEBSTER,"-215,261","-173,681","-268,874","-214,893","-167,115","-47,630",,,,,,
26995,MISSOURI                 ,WORTH,"1,012","-16,155","-10,102","-2,735","-10,690","-5,199",,,,,,
26996,MISSOURI                 ,WRIGHT,"-166,113","-165,149","-190,657","-179,944","-127,021","-694,122",,,,,,
27000,MONTANA                  ,BEAVERHEAD,"-14,684","-13,781","-9,014","-15,857","-10,884","-28,834",,,,,,
27010,MONTANA                  ,BIG HORN,"-25,125","-57,856","-64,988","-96,576","-66,659","-34,972",,,,,,
27020,MONTANA                  ,BLAINE,"-24,178","-14,670","-12,028","-5,239","-9,398","-8,348",,,,,,
27030,MONTANA                  ,BROADWATER,"-16,071","-16,104","-12,187","-3,381","-38,104","-2,783",,,,,,
27040,MONTANA                  ,CARBON,"-37,726","-51,653","-64,540","-82,992","-67,012","-36,204",,,,,,
27050,MONTANA                  ,CARTER,"-1,957","-8,140","-4,586","-3,762","-7,302","-21,696",,,,,,
27060,MONTANA                  ,CASCADE,"-37,596","-47,477","-35,954","-50,938","-42,109","-63,733",,,,,,
27070,MONTANA                  ,CHOUTEAU,"-6,231","-5,116","-5,175","-4,970","-4,840","-4,437",,,,,,
27080,MONTANA                  ,CUSTER,"-39,364","-42,904","-64,394","-67,011","-45,088","-43,685",,,,,,
27090,MONTANA                  ,DANIELS,"-4,689","-16,382","-20,962","-15,697","-13,132","-12,165",,,,,,
27100,MONTANA                  ,DAWSON,"-22,814","-43,775","-41,341","-73,288","-47,016","-11,536",,,,,,
27110,MONTANA                  ,DEER LODGE,"-31,340","-26,912","-26,902","-23,830","-24,613","-6,609",,,,,,
27120,MONTANA                  ,FALLON,"-4,904","-8,715","-14,297","-11,503","-12,342","-11,528",,,,,,
27130,MONTANA                  ,FERGUS,"-27,425","-53,855","-56,010","-72,934","-79,157","-7,919",,,,,,
27140,MONTANA                  ,FLATHEAD,"77,852","-134,825","-290,211","-363,051","-413,447","5,348",,,,,,
27150,MONTANA                  ,GALLATIN,"-79,667","-108,570","-108,625","-121,619","-131,889","-10,405",,,,,,
27160,MONTANA                  ,GARFIELD,"-4,392","-4,364","-4,924","-8,505","-17,102","-1,533",,,,,,
27170,MONTANA                  ,GLACIER,"-1,306","-8,659","-14,788","-17,434","16,181","-3,741",,,,,,
27180,MONTANA                  ,GOLDEN VALLEY,"-4,865","-6,054","-18,034","-4,345","-11,098","-13,287",,,,,,
27190,MONTANA                  ,GRANITE,"-5,547","-6,750","-21,520","-17,149","-5,860","-1,060",,,,,,
27200,MONTANA                  ,HILL,"-57,833","-29,520","18,004","-17,496","-21,380","-4,979",,,,,,
27210,MONTANA                  ,JEFFERSON,"-1,364","-11,220","-15,810","-21,960","-37,540","-11,211",,,,,,
27220,MONTANA                  ,JUDITH BASIN,"-1,694","-12,162","-9,584","-3,332","-1,153","4,394",,,,,,
27230,MONTANA                  ,LAKE,"-83,432","-78,282","-163,245","-134,008","-74,828","-16,320",,,,,,
27240,MONTANA                  ,LEWIS AND CLARK,"-38,172","-45,209","-71,358","-100,431","-99,411","-17,317",,,,,,
27250,MONTANA                  ,LIBERTY,253,"-2,625","-8,821","-3,708","1,171","-8,223",,,,,,
27260,MONTANA                  ,LINCOLN,"-76,232","-81,418","-91,472","-112,438","-121,343","-12,341",,,,,,
27270,MONTANA                  ,MCCONE,"-5,470","-4,276","-3,304","-4,837","-8,718",-179,,,,,,
27280,MONTANA                  ,MADISON,"-25,364","-17,885","-20,434","-20,618","-36,735","2,585",,,,,,
27290,MONTANA                  ,MEAGHER,"-2,916","-5,609","-5,158","-4,278","-4,943","-9,816",,,,,,
27300,MONTANA                  ,MINERAL,"-23,119","-15,541","-25,664","-59,319","-28,809","-11,935",,,,,,
27310,MONTANA                  ,MISSOULA,"-398,733","-323,978","-663,830","-484,563","-270,288","-14,584",,,,,,
27320,MONTANA                  ,MUSSELSHELL,"-20,851","-35,343","-24,469","-38,963","-42,539","-18,382",,,,,,
27330,MONTANA                  ,PARK,"-61,921","-42,077","-55,148","-61,729","-52,535",-65,,,,,,
27340,MONTANA                  ,PETROLEUM,-153,"-2,035","-3,112","-2,024",-961,"-24,829",,,,,,
27350,MONTANA                  ,PHILLIPS,"-22,046","-23,206","-25,432","-33,817","-18,123","-12,643",,,,,,
27360,MONTANA                  ,PONDERA,"-2,055","-5,361",-969,"2,044","-3,813","-48,559",,,,,,
27370,MONTANA                  ,POWDER RIVER,"-2,420","-5,648","-12,573","-8,070","-6,461","-34,679",,,,,,
27380,MONTANA                  ,POWELL,"-25,993","-21,568","-29,237","-24,531","-11,092","-39,857",,,,,,
27390,MONTANA                  ,PRAIRIE,"-5,264","-5,525","-11,905","-15,300","-6,524","-7,673",,,,,,
27400,MONTANA                  ,RAVALLI,"-172,455","-191,550","-342,627","-298,268","-152,405","-5,568",,,,,,
27410,MONTANA                  ,RICHLAND,"-8,447","-33,712","-60,195","-57,443","-26,667","-22,224",,,,,,
27420,MONTANA                  ,ROOSEVELT,"-31,012","-60,076","-50,227","-65,808","-36,537","-9,869",,,,,,
27430,MONTANA                  ,ROSEBUD,"-25,091","-46,175","-51,304","-62,933","-63,909","-7,027",,,,,,
27440,MONTANA                  ,SANDERS,"-67,546","-38,349","-93,829","-72,146","-49,552","-30,657",,,,,,
27450,MONTANA                  ,SHERIDAN,"-24,010","-25,396","-15,900","-43,076","-71,400","-312,302",,,,,,
27460,MONTANA                  ,SILVER BOW,"-29,286","-19,322","-60,950","-55,391","-51,048","-12,685",,,,,,
27470,MONTANA                  ,STILLWATER,"-31,187","-73,100","-73,803","-76,696","-59,462",75,,,,,,
27480,MONTANA                  ,SWEET GRASS,"-7,693","-36,137","-26,751","-31,445","-28,642","-28,903",,,,,,
27490,MONTANA                  ,TETON,"-5,857","-3,395","-4,340","-4,834","-10,030","-1,009,634",,,,,,
27500,MONTANA                  ,TOOLE,-621,"-1,077",627,"-3,453","-1,627","-346,095",,,,,,
27510,MONTANA                  ,TREASURE,"-4,600","-2,329","-7,084","-11,008","-9,031","-4,262",,,,,,
27520,MONTANA                  ,VALLEY,"-31,732","-66,024","-76,181","-52,124","-62,347","-17,517",,,,,,
27530,MONTANA                  ,WHEATLAND,"-3,998","-10,429","-11,173","-16,331","-25,299","-2,442",,,,,,
27540,MONTANA                  ,WIBAUX,"-4,036","-6,520","-15,045","-5,842","-4,066","-5,022",,,,,,
27550,MONTANA                  ,YELLOWSTONE,"-294,798","-708,719","-699,333","-917,926","-903,929","-46,323",,,,,,
28000,NEBRASKA                 ,ADAMS,"-36,250","10,031","1,462","25,959","79,487","-14,143",,,,,,
28010,NEBRASKA                 ,ANTELOPE,"-15,346","-32,071","-14,852","-17,608","-11,932","-4,170",,,,,,
28020,NEBRASKA                 ,ARTHUR,"-2,157","-13,080",-842,-917,395,"-39,879",,,,,,
28030,NEBRASKA                 ,BANNER,-430,-200,-610,0,-92,"-56,588",,,,,,
28040,NEBRASKA                 ,BLAINE,"-2,888","-3,993","-6,908",-566,"-1,261","-3,574",,,,,,
28050,NEBRASKA                 ,BOONE,"-40,579","-36,437","-38,069","-37,204","-25,321","-57,606",,,,,,
28060,NEBRASKA                 ,BOX BUTTE,"-3,921","-13,033","-1,989","-18,468","-5,768","-34,421",,,,,,
28070,NEBRASKA                 ,BOYD,"-11,460","-14,850","-8,259","-4,689","-3,728","-6,219",,,,,,
28080,NEBRASKA                 ,BROWN,"-24,110","-29,791","-18,547","-4,004","-4,897","-25,629",,,,,,
28090,NEBRASKA                 ,BUFFALO,"-244,375","-287,615","-20,244","-23,169","-23,564","-5,195",,,,,,
28100,NEBRASKA                 ,BURT,"-41,272","-45,937","-59,220","-50,928","-51,881","-42,447",,,,,,
28110,NEBRASKA                 ,BUTLER,"-26,620","-51,421","-55,033","-49,910","-25,909","-64,823",,,,,,
28120,NEBRASKA                 ,CASS,"-98,059","-120,969","-109,307","-71,221","-99,651",-475,,,,,,
28130,NEBRASKA                 ,CEDAR,"-7,637","-2,696","-7,719","-17,337","-16,196","-48,375",,,,,,
28140,NEBRASKA                 ,CHASE,"-9,723","-17,763","-7,482","4,480","-3,665","-3,713",,,,,,
28150,NEBRASKA                 ,CHERRY,"-28,739","-27,597","-28,127","-30,486","-21,715","-4,744",,,,,,
28160,NEBRASKA                 ,CHEYENNE,"-25,569","-9,530","-5,566","-14,738","-10,205","-15,257",,,,,,
28170,NEBRASKA                 ,CLAY,"-30,732","-12,689","-7,268","-21,848","3,871","-2,749",,,,,,
28180,NEBRASKA                 ,COLFAX,"-90,967","-111,618","-54,430","-54,461","-43,372","-2,154",,,,,,
28190,NEBRASKA                 ,CUMING,"-44,499","-40,116","-41,918","-47,217","-56,967","-10,578",,,,,,
28200,NEBRASKA                 ,CUSTER,"-65,078","-80,548","-47,298","-40,628","-16,270",-646,,,,,,
28210,NEBRASKA                 ,DAKOTA,"-17,897","1,381","-9,912","-65,473","-29,757","-7,302",,,,,,
28220,NEBRASKA                 ,DAWES,"-3,467","-3,178","-4,399","1,997","-5,100",-250,,,,,,
28230,NEBRASKA                 ,DAWSON,"-97,003","-95,976","-41,174","-36,893","-38,800","-6,155",,,,,,
28240,NEBRASKA                 ,DEUEL,-315,"-9,397","-10,065","-7,303","-10,106",-925,,,,,,
28250,NEBRASKA                 ,DIXON,"-7,954","-6,329","-4,857","-22,726","-8,156","-5,417",,,,,,
28260,NEBRASKA                 ,DODGE,"-217,049","-144,063","-128,040","-258,188","-380,483","-2,758",,,,,,
28270,NEBRASKA                 ,DOUGLAS,"-697,649","-1,335,641","-737,684","-1,240,059","-1,396,994",-580,,,,,,
28280,NEBRASKA                 ,DUNDY,"-8,249","-17,197","-4,990","-2,554","-2,220","-9,195",,,,,,
28290,NEBRASKA                 ,FILLMORE,"-41,152","-51,164","-52,384","-36,760","-22,730","-78,476",,,,,,
28300,NEBRASKA                 ,FRANKLIN,"-17,152","-16,729","-1,767","-3,707",850,"-15,411",,,,,,
28310,NEBRASKA                 ,FRONTIER,"-6,698","-10,538","-16,422","-8,909","-12,344","-1,355",,,,,,
28320,NEBRASKA                 ,FURNAS,"-31,430","-28,419","-16,568","-11,289","-31,504","15,619",,,,,,
28330,NEBRASKA                 ,GAGE,"-142,304","-170,112","-207,270","-140,681","-107,052","-1,178",,,,,,
28340,NEBRASKA                 ,GARDEN,"-1,139","-15,042","-5,717","-3,032","-5,033","-1,226",,,,,,
28350,NEBRASKA                 ,GARFIELD,"-13,468","-39,782","-6,693","-11,725","-4,001","-15,633",,,,,,
28360,NEBRASKA                 ,GOSPER,"-13,356","-23,353","-6,113","-2,820","-2,954","-4,837",,,,,,
28370,NEBRASKA                 ,GRANT,651,-431,104,"-3,114",0,-260,,,,,,
28380,NEBRASKA                 ,GREELEY,"-26,625","-32,834","-8,814","-19,330","-16,715","-18,404",,,,,,
28390,NEBRASKA                 ,HALL,"-206,507","-117,742","-118,663","-124,101","-117,751","-10,545",,,,,,
28400,NEBRASKA                 ,HAMILTON,"-51,837","-37,444","-45,794","-25,858","-13,983","-12,964",,,,,,
28410,NEBRASKA                 ,HARLAN,"-21,973","-21,269","-21,087","-2,832",686,"-1,787",,,,,,
28420,NEBRASKA                 ,HAYES,"-1,445","-1,893",-309,203,-163,"-3,451",,,,,,
28430,NEBRASKA                 ,HITCHCOCK,"-25,250","-24,344","-17,383","-19,520","-16,043",-393,,,,,,
28440,NEBRASKA                 ,HOLT,"-42,175","-44,079","-43,493","-60,051","-44,814","-6,090",,,,,,
28450,NEBRASKA                 ,HOOKER,"-3,650",-530,-209,"-1,961","-3,234","-67,274",,,,,,
28460,NEBRASKA                 ,HOWARD,"-28,170","-39,804","-23,202","-25,387","-24,607","-4,269",,,,,,
28470,NEBRASKA                 ,JEFFERSON,"-51,283","-48,922","-77,400","-61,649","-37,478","-6,613",,,,,,
28480,NEBRASKA                 ,JOHNSON,"-25,366","-35,013","-35,991","-36,025","-19,392","-1,102",,,,,,
28490,NEBRASKA                 ,KEARNEY,"-26,516","-34,635","-7,948","-8,832","-7,260","-1,888",,,,,,
28500,NEBRASKA                 ,KEITH,"-32,813","-42,196","-7,323","-22,661","-40,005","1,046",,,,,,
28510,NEBRASKA                 ,KEYA PAHA,"-7,493","-10,145","-1,102","-2,633","-7,540",-393,,,,,,
28520,NEBRASKA                 ,KIMBALL,"-9,107","-6,800","-13,131","-12,758","-5,516","-1,791",,,,,,
28530,NEBRASKA                 ,KNOX,"-4,444","-7,588","-13,189","-10,199","-32,452","-1,178",,,,,,
28540,NEBRASKA                 ,LANCASTER,"-885,493","-1,214,625","-1,767,152","-996,086","-706,338","-37,598",,,,,,
28550,NEBRASKA                 ,LINCOLN,"-33,436","-85,302","-91,616","-74,216","-84,801","-5,085",,,,,,
28560,NEBRASKA                 ,LOGAN,"-1,227",-432,"-1,204",-334,"-4,521","-6,617",,,,,,
28570,NEBRASKA                 ,LOUP,"-4,152","-2,656",-760,-570,"-1,810","-8,148",,,,,,
28580,NEBRASKA                 ,MCPHERSON,"-4,173",-777,-583,"-1,371",-95,"-7,642",,,,,,
28590,NEBRASKA                 ,MADISON,"-97,407","-104,097","-94,872","-58,519","-53,195","-2,741",,,,,,
28600,NEBRASKA                 ,MERRICK,"-51,887","-44,624","-52,669","-37,178","-18,035","-6,776",,,,,,
28610,NEBRASKA                 ,MORRILL,281,"-9,933","-6,682","-6,311",-672,"-9,555",,,,,,
28620,NEBRASKA                 ,NANCE,"-28,982","-25,407","-20,598","-29,030","-11,912","-5,441",,,,,,
28630,NEBRASKA                 ,NEMAHA,"-41,755","-40,788","-72,677","-62,827","-27,926",-14,,,,,,
28640,NEBRASKA                 ,NUCKOLLS,"-21,545","-17,153","-24,257","-15,847","-13,800",-333,,,,,,
28650,NEBRASKA                 ,OTOE,"-105,926","-125,130","-134,234","-86,215","-58,848","-1,964",,,,,,
28660,NEBRASKA                 ,PAWNEE,"-22,377","-38,738","-35,971","-30,886","-16,947","-7,478",,,,,,
28670,NEBRASKA                 ,PERKINS,"-9,659","-4,536","-7,587","-4,002","-3,602","-2,610",,,,,,
28680,NEBRASKA                 ,PHELPS,"-50,501","-43,539","-38,836","-19,151","-21,627",-900,,,,,,
28690,NEBRASKA                 ,PIERCE,"-11,477","-10,332","-29,919","-14,019","-22,495","-209,683",,,,,,
28700,NEBRASKA                 ,PLATTE,"-122,084","-117,753","-112,532","-143,406","-73,737",-431,,,,,,
28710,NEBRASKA                 ,POLK,"-35,291","-27,389","-57,054","-34,033","-18,475","-11,384",,,,,,
28720,NEBRASKA                 ,RED WILLOW,"-47,627","-38,945","-36,688","-33,350","-37,707","-1,267",,,,,,
28730,NEBRASKA                 ,RICHARDSON,"-67,539","-72,124","-96,372","-63,943","-29,708",-928,,,,,,
28740,NEBRASKA                 ,ROCK,"-3,478","-10,515","-4,640","-4,695",-699,-177,,,,,,
28750,NEBRASKA                 ,SALINE,"-97,078","-115,517","-133,321","-90,282","-40,800","-1,135",,,,,,
28760,NEBRASKA                 ,SARPY,"-185,139","-245,932","-197,450","-370,309","-385,257",-431,,,,,,
