"AGED - HOSPICE - 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
02080,ALASKA,CORDOVA-MC CARTHY,258,"4,534",1,"4,534",1,0,0,0,233,0,0
02090,ALASKA,FAIRBANKS NORTH STAR,"6,654","889,212",11,"889,212",11,0,0,0,"5,956",0,0
02100,ALASKA,HAINES,415,"3,613",1,"3,613",1,0,0,0,382,0,0
02110,ALASKA,JUNEAU,"3,555","392,043",9,"392,044",9,0,0,0,"3,199",0,0
02120,ALASKA,KENAI-COOK INLET DIVISION,"6,725","202,860",3,"202,859",3,0,0,0,"6,159",0,0
02130,ALASKA,KETCHIKAN GATEWAY,"1,691","151,406",7,"151,406",7,0,0,0,"1,538",0,0
02140,ALASKA,KOBUK,422,"6,806",1,"6,806",1,0,0,0,330,0,0
02150,ALASKA,KODIAK ISLAND BOROUGH,721,"2,240",0,"2,240",0,0,0,0,624,0,0
02160,ALASKA,KUSKOKWIN,202,0,0,0,0,0,0,0,147,0,0
02170,ALASKA,MATANUSKA-SUSITNA,"7,405","1,133,532",13,"1,133,533",13,0,0,0,"6,687",0,0
02180,ALASKA,NOME,623,"11,251",2,"11,250",2,0,0,0,489,0,0
02190,ALASKA,OUTER KETCHIKAN DIVISION,209,"2,073",1,"2,073",1,0,0,0,169,0,0
02200,ALASKA,PRINCE OF WALES,348,"8,691",2,"8,691",2,0,0,0,305,0,0
02210,ALASKA,SEWARD,584,"15,875",2,"15,874",2,0,0,0,529,0,0
02220,ALASKA,SITKA BOROUGH,"1,034","94,690",8,"94,691",8,0,0,0,914,0,0
02230,ALASKA,SKAGWAY-YAKUTAT,435,"2,939",1,"2,939",1,0,0,0,397,0,0
02240,ALASKA,SOUTHEAST FAIRBANKS,536,"2,392",0,"2,392",0,0,0,0,490,0,0
02250,ALASKA,UPPER YUKON,185,"17,800",8,"17,800",8,0,0,0,162,0,0
02260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,952,"22,894",2,"22,894",2,0,0,0,818,0,0
02270,ALASKA,WADE HAMPTON,408,0,0,0,0,0,0,0,349,0,0
02280,ALASKA,WRANGELL-PETERSBURG CENSUS AREA,869,"35,901",3,"35,901",3,0,0,0,808,0,0
02290,ALASKA,YUKON-KOYUKUK,522,"23,777",4,"23,777",4,0,0,0,457,0,0
03000,ARIZONA,APACHE,"6,855","1,058,655",13,"1,058,655",13,0,0,0,"6,325",0,0
03010,ARIZONA,COCHISE,"16,360","5,304,103",27,"5,304,104",27,0,0,0,"14,865",0,0
03020,ARIZONA,COCONINO,"14,748","8,609,500",49,"8,609,501",49,0,0,0,"13,597",0,0
03030,ARIZONA,GILA,"11,025","7,373,040",56,"7,373,040",56,0,0,0,"10,395",0,0
03040,ARIZONA,GRAHAM,"2,929","579,794",16,"579,794",16,0,0,0,"2,743",0,0
03050,ARIZONA,GREENLEE,795,"84,820",9,"84,820",9,0,0,0,743,0,0
03055,ARIZONA,LAPAZ,"3,704","1,163,717",26,"1,163,717",26,0,0,0,"3,384",0,0
03060,ARIZONA,MARICOPA,"280,419","284,722,418",85,"284,722,417",85,0,0,0,"249,330",0,0
03070,ARIZONA,MOHAVE,"34,962","15,050,750",36,"15,050,751",36,0,0,0,"32,692",0,0
03080,ARIZONA,NAVAJO,"12,313","4,407,299",30,"4,407,299",30,0,0,0,"11,509",0,0
03090,ARIZONA,PIMA,"89,479","55,041,315",51,"55,041,315",51,0,0,0,"79,070",0,0
03100,ARIZONA,PINAL,"26,318","20,160,334",64,"20,160,334",64,0,0,0,"23,672",0,0
03110,ARIZONA,SANTA CRUZ,"3,637","2,007,769",46,"2,007,768",46,0,0,0,"3,152",0,0
03120,ARIZONA,YAVAPAI,"39,597","26,385,751",56,"26,385,752",56,0,0,0,"36,391",0,0
03130,ARIZONA,YUMA,"20,208","11,349,509",47,"11,349,510",47,0,0,0,"18,798",0,0
04000,ARKANSAS,ARKANSAS,"2,874","543,647",16,"543,646",16,0,0,0,"2,684",0,0
04010,ARKANSAS,ASHLEY,"3,309","789,245",20,"789,246",20,0,0,0,"3,163",0,0
04020,ARKANSAS,BAXTER,"8,957","2,277,836",21,"2,277,836",21,0,0,0,"8,577",0,0
04030,ARKANSAS,BENTON,"19,302","6,219,521",27,"6,219,521",27,0,0,0,"17,381",0,0
04040,ARKANSAS,BOONE,"6,146","1,213,076",16,"1,213,076",16,0,0,0,"5,786",0,0
04050,ARKANSAS,BRADLEY,"1,707","460,862",22,"460,862",22,0,0,0,"1,639",0,0
04060,ARKANSAS,CALHOUN,671,"190,520",24,"190,520",24,0,0,0,632,0,0
04070,ARKANSAS,CARROLL,"3,753","644,343",14,"644,344",14,0,0,0,"3,418",0,0
04080,ARKANSAS,CHICOT,"1,889","554,389",24,"554,390",24,0,0,0,"1,774",0,0
04090,ARKANSAS,CLARK,"3,028","489,851",13,"489,851",13,0,0,0,"2,819",0,0
04100,ARKANSAS,CLAY,"2,779","424,741",13,"424,741",13,0,0,0,"2,625",0,0
04110,ARKANSAS,CLEBURNE,"5,209","1,328,181",21,"1,328,181",21,0,0,0,"5,011",0,0
04120,ARKANSAS,CLEVELAND,"1,215","392,125",27,"392,125",27,0,0,0,"1,155",0,0
04130,ARKANSAS,COLUMBIA,"3,394","925,137",23,"925,137",23,0,0,0,"3,236",0,0
04140,ARKANSAS,CONWAY,"3,156","830,989",22,"830,989",22,0,0,0,"2,958",0,0
04150,ARKANSAS,CRAIGHEAD,"11,293","2,497,090",18,"2,497,089",18,0,0,0,"10,601",0,0
04160,ARKANSAS,CRAWFORD,"5,568","2,386,101",36,"2,386,100",36,0,0,0,"5,092",0,0
04170,ARKANSAS,CRITTENDEN,"4,788","1,398,809",24,"1,398,810",24,0,0,0,"4,377",0,0
04180,ARKANSAS,CROSS,"2,368","510,984",18,"510,984",18,0,0,0,"2,237",0,0
04190,ARKANSAS,DALLAS,"1,121","220,754",16,"220,754",16,0,0,0,"1,070",0,0
04200,ARKANSAS,DESHA,"1,808","437,112",20,"437,112",20,0,0,0,"1,709",0,0
04210,ARKANSAS,DREW,"2,340","897,804",32,"897,804",32,0,0,0,"2,211",0,0
04220,ARKANSAS,FAULKNER,"11,682","4,870,561",35,"4,870,561",35,0,0,0,"10,775",0,0
04230,ARKANSAS,FRANKLIN,"2,215","588,152",22,"588,152",22,0,0,0,"2,077",0,0
04240,ARKANSAS,FULTON,"2,080","513,506",21,"513,506",21,0,0,0,"1,975",0,0
04250,ARKANSAS,GARLAND,"20,660","9,335,937",38,"9,335,937",38,0,0,0,"19,498",0,0
04260,ARKANSAS,GRANT,"2,211","755,978",28,"755,978",28,0,0,0,"2,082",0,0
04270,ARKANSAS,GREENE,"4,962","914,946",15,"914,946",15,0,0,0,"4,692",0,0
04280,ARKANSAS,HEMPSTEAD,"2,444","1,368,809",47,"1,368,808",47,0,0,0,"2,286",0,0
04290,ARKANSAS,HOT SPRING,"4,362","1,399,780",27,"1,399,780",27,0,0,0,"4,113",0,0
04300,ARKANSAS,HOWARD,"2,007","655,971",27,"655,971",27,0,0,0,"1,869",0,0
04310,ARKANSAS,INDEPENDENCE,"5,520","876,663",13,"876,663",13,0,0,0,"5,228",0,0
04320,ARKANSAS,IZARD,"2,406","646,831",22,"646,831",22,0,0,0,"2,278",0,0
04330,ARKANSAS,JACKSON,"2,580","581,700",19,"581,699",19,0,0,0,"2,469",0,0
04340,ARKANSAS,JEFFERSON,"8,805","3,754,788",36,"3,754,787",36,0,0,0,"8,005",0,0
04350,ARKANSAS,JOHNSON,"2,763","625,946",19,"625,947",19,0,0,0,"2,552",0,0
04360,ARKANSAS,LAFAYETTE,"1,060","550,035",43,"550,035",43,0,0,0,"1,007",0,0
04370,ARKANSAS,LAWRENCE,"2,988","854,554",24,"854,554",24,0,0,0,"2,841",0,0
04380,ARKANSAS,LEE,"1,049","375,706",30,"375,706",30,0,0,0,982,0,0
04390,ARKANSAS,LINCOLN,"1,346","697,054",43,"697,054",43,0,0,0,"1,254",0,0
04400,ARKANSAS,LITTLE RIVER,"1,992","1,547,166",65,"1,547,166",65,0,0,0,"1,857",0,0
04410,ARKANSAS,LOGAN,"3,105","746,856",20,"746,855",20,0,0,0,"2,917",0,0
04420,ARKANSAS,LONOKE,"7,166","2,043,807",24,"2,043,808",24,0,0,0,"6,642",0,0
04430,ARKANSAS,MADISON,"2,277","821,736",30,"821,736",30,0,0,0,"2,008",0,0
