"DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
04250,ARKANSAS                 ,GARLAND,"-288,990","-184,455","-283,597","-211,391","-149,681","-19,547",,,,,,
04260,ARKANSAS                 ,GRANT,"-36,293","-28,548","-21,437","-14,486","-21,964","-30,092",,,,,,
04270,ARKANSAS                 ,GREENE,"-186,266","-221,810","-182,624","-197,486","-101,229","-3,583",,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-39,664","-29,923","-37,381","-13,060","-43,635","-5,596",,,,,,
04290,ARKANSAS                 ,HOT SPRING,"-95,561","-57,427","-128,199","-78,851","-50,100","-3,103",,,,,,
04300,ARKANSAS                 ,HOWARD,"-11,521","-22,496","-35,178","-35,866","-20,737","-4,193",,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"-219,450","-360,491","-310,186","-187,614","-235,128","-39,742",,,,,,
04320,ARKANSAS                 ,IZARD,"-40,620","-51,675","-51,837","-50,170","-33,466","-9,390",,,,,,
04330,ARKANSAS                 ,JACKSON,"-116,415","-104,710","-121,176","-74,204","-28,645","-6,888",,,,,,
04340,ARKANSAS                 ,JEFFERSON,"-58,756","-94,956","-71,239","-43,109","-85,589","-35,743",,,,,,
04350,ARKANSAS                 ,JOHNSON,"-70,050","-56,810","-60,796","-48,348","-23,551","-7,031",,,,,,
04360,ARKANSAS                 ,LAFAYETTE,"-4,650","-13,105","-29,165","-16,188","-10,387","-16,824",,,,,,
04370,ARKANSAS                 ,LAWRENCE,"-96,315","-120,594","-84,298","-98,053","-55,495","-6,613",,,,,,
04380,ARKANSAS                 ,LEE,"-2,678","-2,398","-1,878","-25,310","-8,147","-9,695",,,,,,
04390,ARKANSAS                 ,LINCOLN,"4,065",483,"-5,208","-8,553","-2,871","-1,677",,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"-28,475","-24,431","-54,667","-46,459","-24,402","-39,285",,,,,,
04410,ARKANSAS                 ,LOGAN,"-54,185","-53,663","-39,769","-23,407","-22,356","-6,819",,,,,,
04420,ARKANSAS                 ,LONOKE,"-102,940","-109,435","-59,530","-108,464","-64,009","-4,856",,,,,,
