"DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT RULES 
NOTE 1:  For the months of January to September in 2013, 75% of disproportionate share (DSH)  reimbursements have been repriced to FY 2015 Uncompensated Care (UCP) rules. 
NOTE 2:  For the months of October to December in 2013, the UCP reimbursements (which were made in place of 75% DSH)  have been repriced to FY 2015 UCP rules. ",,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,
,,,,,,,January to September,October to December,,,,,,
26601,MISSOURI                 ,MADISON,"-14,991","-6,815","-16,526","-40,375","-47,204","-7,716",,,,,,
26620,MISSOURI                 ,MARIES,"5,169","-1,959","-9,496","-6,922","-20,816","-3,952",,,,,,
26630,MISSOURI                 ,MARION,"-19,863","-41,407","-17,262","-35,575","-48,089","-7,484",,,,,,
26631,MISSOURI                 ,MERCER,"-1,123","-4,737","-4,027","-3,463","-1,034","-8,060",,,,,,
26650,MISSOURI                 ,MILLER,"-24,881","-6,967","-59,102","-62,952","-57,730","-24,827",,,,,,
26660,MISSOURI                 ,MISSISSIPPI,"-36,186","-38,249","-52,842","-28,014","-41,192",-212,,,,,,
26670,MISSOURI                 ,MONITEAU,"3,770","-11,023","-1,591","-15,120","-7,334","-3,021",,,,,,
26680,MISSOURI                 ,MONROE,"-13,093","-9,714","-2,298","-31,276","-30,727",-848,,,,,,
26690,MISSOURI                 ,MONTGOMERY,"-5,993","-14,683","-11,428","-18,328","-11,000",-800,,,,,,
26700,MISSOURI                 ,MORGAN,"-6,675","-21,278","-25,964","-33,304","-53,386","-7,971",,,,,,
26710,MISSOURI                 ,NEW MADRID,"-42,710","-56,899","-80,099","-38,786","-37,888","-10,926",,,,,,
26720,MISSOURI                 ,NEWTON,"-129,916","-86,329","-107,720","-99,536","-88,332","-2,739",,,,,,
26730,MISSOURI                 ,NODAWAY,"-10,987","-1,913","-1,109","-5,388","-1,235","-4,536",,,,,,
26740,MISSOURI                 ,OREGON,"-51,015","-64,198","-74,734","-65,430","-30,257","-8,080",,,,,,
26750,MISSOURI                 ,OSAGE,"3,251","-1,897","-6,328","-1,545","-40,995","-5,347",,,,,,
26751,MISSOURI                 ,OZARK,"-29,019","-54,788","-35,453","-39,383","-8,399","-88,575",,,,,,
26770,MISSOURI                 ,PEMISCOT,"20,359","58,941","60,276","54,309","11,878","-11,636",,,,,,
26780,MISSOURI                 ,PERRY,"-31,179","-13,062","-29,508","-24,904","-23,310","-50,796",,,,,,
26790,MISSOURI                 ,PETTIS,"-32,673","-47,854","-57,795","-83,239","-99,464","-2,022",,,,,,
26800,MISSOURI                 ,PHELPS,"-66,096","-54,642","-67,952","-73,768","-56,838","-25,711",,,,,,
26810,MISSOURI                 ,PIKE,"-29,789","-25,177","-23,807","-18,674","-23,196","-6,781",,,,,,
26820,MISSOURI                 ,PLATTE,"-18,249","-30,745","-8,499","-24,636","-28,391","-27,066",,,,,,
26821,MISSOURI                 ,POLK,"-44,993","-36,298","-76,462","-62,649","-44,848","-1,383",,,,,,
26840,MISSOURI                 ,PULASKI,"-62,608","-54,003","-79,685","-109,949","-51,598","-4,435",,,,,,
26850,MISSOURI                 ,PUTNAM,"-6,422","-4,482","-8,361","-4,718","-8,616","-12,349",,,,,,
26860,MISSOURI                 ,RALLS,"-8,907","-1,474","-3,111","-2,889","-2,770","-6,565",,,,,,
26870,MISSOURI                 ,RANDOLPH,"-44,983","-48,267","-27,932","-99,557","-83,366","-2,824",,,,,,
26880,MISSOURI                 ,RAY,"-1,204","-9,717","3,426","-5,468","1,035","-25,939",,,,,,
26881,MISSOURI                 ,REYNOLDS,"-21,617","-15,436","-14,340","-3,991","-8,014","-1,806",,,,,,
26900,MISSOURI                 ,RIPLEY,"-130,770","-214,088","-198,190","-126,079","-107,740","-53,291",,,,,,
26910,MISSOURI                 ,ST. CHARLES,"56,647","-7,603","-71,898","-44,580","-151,897","-6,763",,,,,,
26911,MISSOURI                 ,ST. CLAIR,"-19,782","-16,020","-11,329","-24,441","-20,557","-6,974",,,,,,
26930,MISSOURI                 ,ST. FRANCOIS,"-84,313","-68,859","-199,008","-246,263","-201,193","-12,991",,,,,,
26940,MISSOURI                 ,ST. LOUIS,"152,166","-4,542","-106,637","68,375","4,064","-5,573",,,,,,
26950,MISSOURI                 ,ST. LOUIS CITY,"159,449","404,639","373,565","112,454","106,306","-3,172",,,,,,
26960,MISSOURI                 ,STE. GENEVIEVE,"-7,180",-972,"-42,907","-17,913","-25,761","-7,705",,,,,,
26970,MISSOURI                 ,SALINE,"-75,539","-58,951","-73,878","-87,542","-33,954","-1,173",,,,,,
26980,MISSOURI                 ,SCHUYLER,"-11,484","-1,471","-9,350","-11,649","-3,160",-634,,,,,,
26981,MISSOURI                 ,SCOTLAND,54,"-1,387","-10,637","-35,609","-19,954","-4,649",,,,,,
26982,MISSOURI                 ,SCOTT,"-120,738","-123,313","-82,332","-134,760","-82,594","-7,841",,,,,,
26983,MISSOURI                 ,SHANNON,"-24,929","-40,662","-41,586","-40,806","-26,621","-27,980",,,,,,
26984,MISSOURI                 ,SHELBY,"-14,580","-8,849","-10,351","-14,268","-3,919","-33,387",,,,,,
26985,MISSOURI                 ,STODDARD,"-166,306","-166,234","-172,643","-133,285","-98,671","-3,044",,,,,,
26986,MISSOURI                 ,STONE,"-40,612","-50,635","-33,315","-43,820","-52,823",-500,,,,,,
26987,MISSOURI                 ,SULLIVAN,"-15,596","-6,511","-2,954","-7,112","-8,339","-212,798",,,,,,
26988,MISSOURI                 ,TANEY,"-47,610","-41,075","-83,148","-95,220","-58,117","-1,252",,,,,,
26989,MISSOURI                 ,TEXAS,"-49,001","-68,237","-76,747","-63,711","-47,469","-1,790",,,,,,
26990,MISSOURI                 ,VERNON,"-73,569","-124,435","-82,420","-37,032","-43,472","-5,751",,,,,,
26991,MISSOURI                 ,WARREN,"9,858","-3,528","-4,074","-8,571","-12,399","-4,913",,,,,,
26992,MISSOURI                 ,WASHINGTON,"-16,885","-6,468","-54,594","-51,750","-24,020","-1,042",,,,,,
26993,MISSOURI                 ,WAYNE,"-125,058","-136,133","-175,774","-151,554","-143,378","-6,409",,,,,,
26994,MISSOURI                 ,WEBSTER,"-52,717","-75,500","-55,447","-55,638","-57,222","-17,664",,,,,,
26995,MISSOURI                 ,WORTH,65,75,0,0,388,"-4,071",,,,,,
26996,MISSOURI                 ,WRIGHT,"-24,035","-52,388","-45,555","-65,073","-51,445","-630,888",,,,,,
27000,MONTANA                  ,BEAVERHEAD,-603,"-2,750",-477,-290,"-1,932","-6,955",,,,,,
27010,MONTANA                  ,BIG HORN,"-15,046","-10,038","-15,290","-21,971","-16,018","-21,268",,,,,,
27020,MONTANA                  ,BLAINE,"-1,515","-2,066","-5,026","-4,701",-822,"-10,753",,,,,,
27030,MONTANA                  ,BROADWATER,-233,-907,-124,-204,349,0,,,,,,
27040,MONTANA                  ,CARBON,-365,"-3,517","-11,366","-11,276","-3,524","-17,617",,,,,,
27050,MONTANA                  ,CARTER,-32,0,0,-238,76,"-10,523",,,,,,
27060,MONTANA                  ,CASCADE,"-9,734",-978,"-6,043","-18,464","-5,085","-19,378",,,,,,
27070,MONTANA                  ,CHOUTEAU,"-2,366",-57,0,235,251,"-1,862",,,,,,
27080,MONTANA                  ,CUSTER,"-3,188","-6,578","-5,730","-5,612","-16,728","-25,113",,,,,,
27090,MONTANA                  ,DANIELS,"-1,362",0,456,-14,0,"-4,318",,,,,,
27100,MONTANA                  ,DAWSON,"-7,762","-1,941","-4,828","-4,843","-2,006","-2,584",,,,,,
27110,MONTANA                  ,DEER LODGE,"-4,127","-1,194","-11,278","-9,259","-1,118","-1,638",,,,,,
27120,MONTANA                  ,FALLON,-87,-838,0,-603,-138,"-7,664",,,,,,
27130,MONTANA                  ,FERGUS,"-3,413","-1,557","-4,020","-6,863","-4,602","-2,852",,,,,,
27140,MONTANA                  ,FLATHEAD,"14,832","1,409","-27,546","-53,672","-56,577","-1,855",,,,,,
27150,MONTANA                  ,GALLATIN,"-4,120","-6,374","-7,812","-4,026","-15,728","-4,733",,,,,,
27160,MONTANA                  ,GARFIELD,-196,0,"-1,556",-975,0,-891,,,,,,
27170,MONTANA                  ,GLACIER,"-12,622","-7,854",-692,"6,271","-5,771","-4,523",,,,,,
27180,MONTANA                  ,GOLDEN VALLEY,"-2,595","-1,450","-1,663","-6,174","-1,151","-5,177",,,,,,
27190,MONTANA                  ,GRANITE,"-1,512","-3,209","-6,903",441,0,"-3,170",,,,,,
27200,MONTANA                  ,HILL,"-7,475","-8,708","-2,011",-767,"1,247","-5,516",,,,,,
27210,MONTANA                  ,JEFFERSON,-487,"-1,376","-1,556","-1,484",169,"-4,143",,,,,,
27220,MONTANA                  ,JUDITH BASIN,392,"-2,961","-3,047",6,0,"-5,991",,,,,,
27230,MONTANA                  ,LAKE,"-19,813","-18,340","-31,614","-49,568","-7,594","-4,357",,,,,,
27240,MONTANA                  ,LEWIS AND CLARK,"-11,731","-40,723","-14,384","7,677","-8,254","-7,066",,,,,,
27250,MONTANA                  ,LIBERTY,450,214,0,"1,769",-405,-306,,,,,,
27260,MONTANA                  ,LINCOLN,"-5,834","-26,157","-23,563","-29,060","-29,570","-4,613",,,,,,
27270,MONTANA                  ,MCCONE,0,"-5,439",-336,0,0,0,,,,,,
27280,MONTANA                  ,MADISON,"-1,263",-405,"2,828","-3,334",605,"-1,630",,,,,,
27290,MONTANA                  ,MEAGHER,"-1,700",243,"-20,048","-4,157",-333,"-4,057",,,,,,
27300,MONTANA                  ,MINERAL,"-2,451","-1,654","-7,014","-7,559",153,"-5,932",,,,,,
27310,MONTANA                  ,MISSOULA,"-81,917","-70,031","-136,956","-168,491","-50,366","-3,697",,,,,,
27320,MONTANA                  ,MUSSELSHELL,"-3,775","-2,274","-5,839","-7,305","-3,688","-21,914",,,,,,
27330,MONTANA                  ,PARK,"-16,898",-849,"-1,185",-960,"-2,468",0,,,,,,
27340,MONTANA                  ,PETROLEUM,182,"-1,127",106,442,-346,"-5,838",,,,,,
27350,MONTANA                  ,PHILLIPS,-315,"-1,182","-2,410","-7,887","-1,593","-5,043",,,,,,
27360,MONTANA                  ,PONDERA,0,185,222,59,0,"-17,801",,,,,,
27370,MONTANA                  ,POWDER RIVER,-32,0,116,-801,0,"-20,052",,,,,,
27380,MONTANA                  ,POWELL,"-4,199","-4,464","-2,575",-968,"-1,961","-5,602",,,,,,
27390,MONTANA                  ,PRAIRIE,-931,"-6,293","-1,604",0,"-1,813",-432,,,,,,
27400,MONTANA                  ,RAVALLI,"-43,921","-31,887","-58,543","-37,721","-40,507",-693,,,,,,
27410,MONTANA                  ,RICHLAND,"-1,563","-4,221",-408,"-4,780","-22,982","-17,998",,,,,,
27420,MONTANA                  ,ROOSEVELT,"-8,071","-15,212","-12,548","-11,724","-11,710","-3,102",,,,,,
27430,MONTANA                  ,ROSEBUD,"-5,386","-7,670","-19,475","-7,609","-5,626","-1,278",,,,,,
27440,MONTANA                  ,SANDERS,"-7,503","-4,811","-10,888","-4,790",-738,"-14,189",,,,,,
27450,MONTANA                  ,SHERIDAN,84,0,-613,"-2,621","-3,329","-63,770",,,,,,
27460,MONTANA                  ,SILVER BOW,"1,055","-12,597","-37,162","-16,885","-14,999","-3,810",,,,,,
27470,MONTANA                  ,STILLWATER,"-3,020","-1,468",80,"-4,776","-1,002",0,,,,,,
27480,MONTANA                  ,SWEET GRASS,-32,"-2,059","-1,058",-838,31,"-13,493",,,,,,
27490,MONTANA                  ,TETON,-752,"-1,007",0,"-1,150","-1,761","-273,125",,,,,,
27500,MONTANA                  ,TOOLE,0,-547,0,-524,-803,"-148,969",,,,,,
27510,MONTANA                  ,TREASURE,-113,"-1,478",0,-438,286,"-1,632",,,,,,
27520,MONTANA                  ,VALLEY,"-3,990","-4,834","-3,401","-25,836","-4,906","-7,038",,,,,,
27530,MONTANA                  ,WHEATLAND,-242,"-1,389",363,"-4,153",-160,"-3,040",,,,,,
27540,MONTANA                  ,WIBAUX,-3,0,-233,-576,418,"-3,246",,,,,,
27550,MONTANA                  ,YELLOWSTONE,"-47,529","-91,341","-90,090","-137,408","-134,374","-17,824",,,,,,
28000,NEBRASKA                 ,ADAMS,"-9,885","-16,142","3,455","1,255","10,066","-2,161",,,,,,
28010,NEBRASKA                 ,ANTELOPE,"-2,796","-2,668","-2,682","-2,713","-1,229","-1,047",,,,,,
28020,NEBRASKA                 ,ARTHUR,0,"-7,419",0,0,-439,"-13,959",,,,,,
28030,NEBRASKA                 ,BANNER,0,0,0,0,0,"-16,480",,,,,,
28040,NEBRASKA                 ,BLAINE,0,0,0,0,-360,"-3,916",,,,,,
28050,NEBRASKA                 ,BOONE,-660,"-1,297","-1,239","-5,855","-10,094","-14,942",,,,,,
28060,NEBRASKA                 ,BOX BUTTE,-835,"1,401",-725,-484,"-1,387","-9,758",,,,,,
28070,NEBRASKA                 ,BOYD,"-2,281","-1,588",-345,-947,-211,-157,,,,,,
28080,NEBRASKA                 ,BROWN,145,862,-430,"-6,037","-8,356","-8,610",,,,,,
28090,NEBRASKA                 ,BUFFALO,"-28,649","-32,330","-22,325","-4,014","-6,025","-5,013",,,,,,
28100,NEBRASKA                 ,BURT,"-3,800","-3,909",420,"1,165","-2,891","-14,921",,,,,,
28110,NEBRASKA                 ,BUTLER,"-3,467","-1,672","-5,207",-130,"-1,593","-19,822",,,,,,
28120,NEBRASKA                 ,CASS,"3,331","-44,448","-31,412",-158,"-8,017",0,,,,,,
28130,NEBRASKA                 ,CEDAR,"-1,075","-1,338","-7,514","-2,098","-13,229","-13,656",,,,,,
28140,NEBRASKA                 ,CHASE,"-4,138","-2,940",39,"-2,249","-3,551",0,,,,,,
28150,NEBRASKA                 ,CHERRY,"-2,027",604,"-5,421","-2,041","1,931","-1,448",,,,,,
28160,NEBRASKA                 ,CHEYENNE,-946,"-3,948",-332,288,"-2,578","-3,395",,,,,,
28170,NEBRASKA                 ,CLAY,231,"-9,468","-1,707","-15,807","-14,324",-427,,,,,,
28180,NEBRASKA                 ,COLFAX,"-1,156","-4,747","2,415","-16,185","-16,685",-409,,,,,,
28190,NEBRASKA                 ,CUMING,"-5,649",678,-2,-650,"-4,640","-2,520",,,,,,
28200,NEBRASKA                 ,CUSTER,"-6,906","-18,673","-5,508",-749,"-7,738",0,,,,,,
28210,NEBRASKA                 ,DAKOTA,"-5,405","-11,600","-7,459","-9,428","-2,870","-1,606",,,,,,
28220,NEBRASKA                 ,DAWES,"-10,016",149,-370,-907,312,0,,,,,,
28230,NEBRASKA                 ,DAWSON,"-27,466","-17,924","-3,803","-4,141","-7,871","-1,318",,,,,,
28240,NEBRASKA                 ,DEUEL,-299,"-2,885",621,-295,-195,0,,,,,,
28250,NEBRASKA                 ,DIXON,928,937,"-2,796","-8,279",595,-570,,,,,,
28260,NEBRASKA                 ,DODGE,"-25,407","-6,703","-13,330","-50,360","-56,010",0,,,,,,
28270,NEBRASKA                 ,DOUGLAS,"-267,575","-318,605","-166,508","-262,970","-275,495",-215,,,,,,
28280,NEBRASKA                 ,DUNDY,"-1,970","-2,340",-52,-444,0,-859,,,,,,
28290,NEBRASKA                 ,FILLMORE,"-4,175","-11,670","-1,009","-5,718",-985,"-15,925",,,,,,
28300,NEBRASKA                 ,FRANKLIN,"-2,654",-542,"-2,202","-1,726",544,"-2,318",,,,,,
28310,NEBRASKA                 ,FRONTIER,"-2,207",-476,"-1,397",37,-267,520,,,,,,
28320,NEBRASKA                 ,FURNAS,"-3,660","-3,887","-1,734","-2,292",-204,"3,720",,,,,,
28330,NEBRASKA                 ,GAGE,"-23,567","-28,671","-28,930","-15,333","-9,823",-177,,,,,,
28340,NEBRASKA                 ,GARDEN,0,0,0,-539,0,0,,,,,,
28350,NEBRASKA                 ,GARFIELD,-915,92,"-1,132",-685,143,"-1,625",,,,,,
28360,NEBRASKA                 ,GOSPER,"-1,838",-827,443,"-4,133",139,"-1,589",,,,,,
28370,NEBRASKA                 ,GRANT,0,0,0,0,0,0,,,,,,
28380,NEBRASKA                 ,GREELEY,"-2,282","-5,891",-419,"-1,703",-993,"-4,235",,,,,,
28390,NEBRASKA                 ,HALL,"-38,690","-23,318","-19,423","-61,563","-15,609",-570,,,,,,
28400,NEBRASKA                 ,HAMILTON,"-1,746","-5,446","-7,055","-5,030","-16,229","-2,864",,,,,,
28410,NEBRASKA                 ,HARLAN,"-1,818","-2,720",0,-782,16,0,,,,,,
28420,NEBRASKA                 ,HAYES,0,0,0,0,0,0,,,,,,
28430,NEBRASKA                 ,HITCHCOCK,-441,-452,626,-484,"-2,387",0,,,,,,
28440,NEBRASKA                 ,HOLT,"-4,570","-6,309","-9,126","-10,339","-6,881",0,,,,,,
28450,NEBRASKA                 ,HOOKER,0,0,0,0,0,"-17,353",,,,,,
28460,NEBRASKA                 ,HOWARD,"-2,272","-3,321",-442,"-2,325","-1,409","-1,748",,,,,,
28470,NEBRASKA                 ,JEFFERSON,"-7,273","-25,643","-9,598","-3,409","-8,066","-2,305",,,,,,
28480,NEBRASKA                 ,JOHNSON,"-1,181","-2,824","-3,508","-3,412","-1,235",-177,,,,,,
28490,NEBRASKA                 ,KEARNEY,"-3,033","-3,732","-12,284","-5,500",-485,-963,,,,,,
28500,NEBRASKA                 ,KEITH,"2,907","-3,483","-2,397","-2,408","-1,251","1,525",,,,,,
28510,NEBRASKA                 ,KEYA PAHA,0,0,0,0,"-1,563",-215,,,,,,
28520,NEBRASKA                 ,KIMBALL,"1,827",311,"-2,758","-2,874",-414,"-1,497",,,,,,
28530,NEBRASKA                 ,KNOX,"-1,916","-1,089","-6,902","-8,382",333,0,,,,,,
28540,NEBRASKA                 ,LANCASTER,"-165,279","-208,902","-289,953","-228,946","-130,429","-7,386",,,,,,
28550,NEBRASKA                 ,LINCOLN,"-20,611","-20,384","-17,543","-28,431","-13,218",-700,,,,,,
28560,NEBRASKA                 ,LOGAN,0,0,"-2,765",0,-541,-887,,,,,,
28570,NEBRASKA                 ,LOUP,0,"-1,647",0,0,0,-570,,,,,,
28580,NEBRASKA                 ,MCPHERSON,0,0,0,0,0,"-2,405",,,,,,
28590,NEBRASKA                 ,MADISON,"1,446","-16,523","-13,656","-13,040","-9,104",0,,,,,,
28600,NEBRASKA                 ,MERRICK,"-9,363","-2,817","-2,491","-1,253","-1,814",-804,,,,,,
28610,NEBRASKA                 ,MORRILL,"2,964",307,-318,149,"-1,201","-2,095",,,,,,
28620,NEBRASKA                 ,NANCE,"-2,601","-3,647","-3,555","-2,856",208,-215,,,,,,
28630,NEBRASKA                 ,NEMAHA,"-5,260","-7,146","1,478","-6,946","-1,066",0,,,,,,
28640,NEBRASKA                 ,NUCKOLLS,"-6,442","-5,792","-2,114","-2,040",613,0,,,,,,
28650,NEBRASKA                 ,OTOE,"-12,231","-10,382","-15,470","-8,452","-15,490",-355,,,,,,
28660,NEBRASKA                 ,PAWNEE,"-1,268","-1,676",-870,"-1,943",-382,"-1,999",,,,,,
28670,NEBRASKA                 ,PERKINS,178,0,-779,"-1,122","-1,575",-608,,,,,,
28680,NEBRASKA                 ,PHELPS,"-3,934","-7,889",-622,97,"1,460",0,,,,,,
28690,NEBRASKA                 ,PIERCE,"-1,513","-2,035",-284,"-1,808","-2,098","-50,380",,,,,,
28700,NEBRASKA                 ,PLATTE,"-10,627","-6,710","-31,600","-11,008","-13,418",0,,,,,,
28710,NEBRASKA                 ,POLK,"-1,062","-5,160","-5,379","-7,651","-3,814","-2,701",,,,,,
28720,NEBRASKA                 ,RED WILLOW,"-10,120","-4,619","-11,585","-1,888","-3,537","-1,232",,,,,,
28730,NEBRASKA                 ,RICHARDSON,"-4,979","-3,595","-25,432","-4,363","-4,615",0,,,,,,
28740,NEBRASKA                 ,ROCK,0,217,"-1,088",0,0,0,,,,,,
28750,NEBRASKA                 ,SALINE,"-1,992","-7,844","-8,060","-8,074","-19,162","-1,068",,,,,,
28760,NEBRASKA                 ,SARPY,"-21,648","-81,046","-43,941","-29,274","-108,127",-453,,,,,,
28770,NEBRASKA                 ,SAUNDERS,"-13,289","-16,958","-13,520","-11,053","-4,589",0,,,,,,
28780,NEBRASKA                 ,SCOTTS BLUFF,"-1,688","4,650","2,996","-11,571","5,259",0,,,,,,
28790,NEBRASKA                 ,SEWARD,"-5,050","-11,067","-30,385","-8,105","-9,148","-1,098",,,,,,
28800,NEBRASKA                 ,SHERIDAN,-433,-403,"1,239",-592,"1,687",-745,,,,,,
28810,NEBRASKA                 ,SHERMAN,-937,"-2,308",-353,-660,-940,-190,,,,,,
28820,NEBRASKA                 ,SIOUX,0,0,-702,0,0,"-4,461",,,,,,
28830,NEBRASKA                 ,STANTON,0,0,390,0,-475,-233,,,,,,
28840,NEBRASKA                 ,THAYER,"-3,646","-7,078","-1,188","-1,884","-3,014",0,,,,,,
28850,NEBRASKA                 ,THOMAS,-71,0,0,0,0,-95,,,,,,
28860,NEBRASKA                 ,THURSTON,"-15,357","-5,879",227,"7,776","-13,366",-303,,,,,,
28870,NEBRASKA                 ,VALLEY,-616,"-1,633",-915,"-1,978",227,-181,,,,,,
28880,NEBRASKA                 ,WASHINGTON,"-7,076","-14,105","-8,920","-9,590",-203,0,,,,,,
28890,NEBRASKA                 ,WAYNE,-41,"-3,677",743,318,133,-745,,,,,,
28900,NEBRASKA                 ,WEBSTER,55,222,482,458,-942,-372,,,,,,
28910,NEBRASKA                 ,WHEELER,-94,0,0,0,0,"-6,951",,,,,,
28920,NEBRASKA                 ,YORK,"-7,332","-8,423","-6,892","-23,490","-10,692",0,,,,,,
29000,NEVADA                   ,CHURCHILL,-3,"-49,018","-21,691","-11,469","-11,781","-1,266",,,,,,
29010,NEVADA                   ,CLARK,"120,709","-562,190","-149,358","287,873","28,363",0,,,,,,
29020,NEVADA                   ,DOUGLAS,"-25,399","-10,423","-13,564","-20,141","-3,239","-1,033",,,,,,
29030,NEVADA                   ,ELKO,"-37,386","4,849","-8,606","-24,684","-13,664","-4,572",,,,,,
29040,NEVADA                   ,ESMERALDA,126,"-1,400",36,"-1,097","1,808","-171,789",,,,,,
29050,NEVADA                   ,EUREKA,-514,398,-199,538,-592,0,,,,,,
29060,NEVADA                   ,HUMBOLDT,"-1,579","-28,508","-8,633","-12,225","-5,045",-190,,,,,,
29070,NEVADA                   ,LANDER,"-4,158","-4,070","-1,952",-487,472,-750,,,,,,
29080,NEVADA                   ,LINCOLN,-863,"-1,462","-8,705","3,734","-21,073",0,,,,,,
29090,NEVADA                   ,LYON,"-22,468","-23,750","-36,379","-32,304","-23,167",0,,,,,,
29100,NEVADA                   ,MINERAL,"-3,342",300,"-17,381","-5,993",829,"-6,008",,,,,,
29110,NEVADA                   ,NYE,"-28,617","-37,806","-17,709","-48,980","-33,118",0,,,,,,
29120,NEVADA                   ,CARSON CITY,"-17,199","1,774","3,012","-60,997","-22,875",-74,,,,,,
29130,NEVADA                   ,PERSHING,"-5,894","-1,739","-5,010","-12,364","-2,418",-95,,,,,,
29140,NEVADA                   ,STOREY,250,"-3,665",230,"-5,688",631,0,,,,,,
29150,NEVADA                   ,WASHOE,"-103,729","-205,446","-295,792","-232,888","-135,272","-10,906",,,,,,
29160,NEVADA                   ,WHITE PINE,"3,874","-12,927","-11,334","6,611",719,"-2,546",,,,,,
30000,NEW HAMPSHIRE            ,BELKNAP,"-65,513","-12,749","-32,296","-30,213","-30,923",0,,,,,,
30010,NEW HAMPSHIRE            ,CARROLL,"-13,347","-17,030","-36,061","-50,471","-32,753",-710,,,,,,
30020,NEW HAMPSHIRE            ,CHESHIRE,"-59,689","-55,301","-45,691","-39,911","-83,117",0,,,,,,
30030,NEW HAMPSHIRE            ,COOS,"-15,150","-20,743","-57,865","-43,048","-36,868",-287,,,,,,
30040,NEW HAMPSHIRE            ,GRAFTON,"-42,950","-48,948","-65,663","-60,529","-106,147",-221,,,,,,
30050,NEW HAMPSHIRE            ,HILLSBOROUGH,"7,628","73,660","-48,511","-97,645","-111,523",-95,,,,,,
30060,NEW HAMPSHIRE            ,MERRIMACK,"-45,647","-40,835","-57,565","-59,060","-59,666",-658,,,,,,
30070,NEW HAMPSHIRE            ,ROCKINGHAM,"-84,143","-96,924","-170,629","-220,544","-194,980",0,,,,,,
30080,NEW HAMPSHIRE            ,STRAFFORD,"30,573","-17,914","-86,377","-74,115","-64,883","-1,009",,,,,,
30090,NEW HAMPSHIRE            ,SULLIVAN,"-40,966","-16,284","-46,369","-48,884","-37,836","-1,495",,,,,,
31000,NEW JERSEY               ,ATLANTIC,"-447,326","-177,432","66,264","-100,824","-228,910",-763,,,,,,
31100,NEW JERSEY               ,BERGEN,"359,058","457,005","372,889","394,228","307,657","-41,269",,,,,,
31150,NEW JERSEY               ,BURLINGTON,"-10,258","17,820","-4,252","-61,200","-43,933","-3,518",,,,,,
31160,NEW JERSEY               ,CAMDEN,"-425,695","-288,323","-186,742","-424,790","-585,267",-372,,,,,,
31180,NEW JERSEY               ,CAPE MAY,"-135,401","-76,550","-66,062","-123,114","-153,013",0,,,,,,
31190,NEW JERSEY               ,CUMBERLAND,"-469,280","-569,899","-520,891","-652,698","-364,649","-4,994",,,,,,
31200,NEW JERSEY               ,ESSEX,"-1,328,844","-884,604","-86,475","689,605","532,710",-294,,,,,,
31220,NEW JERSEY               ,GLOUCESTER,"-148,390","-99,507","-67,433","-226,597","-230,168",0,,,,,,
31230,NEW JERSEY               ,HUDSON,"-1,422,969","-997,975","-634,237","-745,724","-646,259",-291,,,,,,
31250,NEW JERSEY               ,HUNTERDON,"-32,988","-68,932","-4,867","-61,021","-11,587",-190,,,,,,
31260,NEW JERSEY               ,MERCER,"-244,470","-227,766","-107,556","-305,571","-183,484",-534,,,,,,
31270,NEW JERSEY               ,MIDDLESEX,"-347,705","-473,154","148,415","14,476","-61,845","-4,142",,,,,,
31290,NEW JERSEY               ,MONMOUTH,"-163,644","-119,025","97,660","-53,715","-55,972",-544,,,,,,
31300,NEW JERSEY               ,MORRIS,"-86,318","24,546","-61,697","-9,095","50,535",0,,,,,,
31310,NEW JERSEY               ,OCEAN,"-301,391","-234,195","-68,651","-43,758","-11,012",-372,,,,,,
31320,NEW JERSEY               ,PASSAIC,"-700,469","-816,140","-484,939","-691,759","-349,190",0,,,,,,
31340,NEW JERSEY               ,SALEM,"-152,114","-193,649","-157,936","-170,166","-167,354","-2,903",,,,,,
31350,NEW JERSEY               ,SOMERSET,"4,175","-75,926","12,750","13,760","-3,410",-391,,,,,,
31360,NEW JERSEY               ,SUSSEX,"-114,816","-44,384","-82,132","-10,783","-12,048","-1,121",,,,,,
31370,NEW JERSEY               ,UNION,"-625,237","-433,474","-418,417","-61,823","-242,127","-1,881",,,,,,
31390,NEW JERSEY               ,WARREN,"-19,214","9,623","-5,075","4,426","-7,633",0,,,,,,
32000,NEW MEXICO               ,BERNALILLO,"919,752","1,007,674","1,038,687","1,058,777","663,272","-1,276",,,,,,
32010,NEW MEXICO               ,CATRON,"-21,012","4,537",999,86,"-25,270","-42,575",,,,,,
32020,NEW MEXICO               ,CHAVES,"-100,434","-99,915","-175,794","-157,096","-144,457","-1,979",,,,,,
32025,NEW MEXICO               ,CIBOLA,-543,"3,463","-33,001","13,656","21,717","-2,638",,,,,,
32030,NEW MEXICO               ,COLFAX,"-2,205","-6,131","-4,095","2,459","1,237","-3,624",,,,,,
32040,NEW MEXICO               ,CURRY,"-24,067","-6,409","14,674","-9,274","-4,178","-2,496",,,,,,
32050,NEW MEXICO               ,DEBACA,-166,-680,"1,555","1,849","-1,166",-147,,,,,,
