DISABLED -- REPRICING ADJUSTMENTS TO THE 2009-2013 REIMSBURSEMENT DATA FOR FEE-FOR-SERVICE DURABLE MEDICAL EQUIPMENT,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,,,,
,,,2009,2010,2011,2012,2013,,,,,,,,
03110,ARIZONA                  ,SANTA CRUZ,"-1,362",-642,-139,-407,-69,,,,,,,,
03120,ARIZONA                  ,YAVAPAI,-134,-124,0,-45,0,,,,,,,,
03130,ARIZONA                  ,YUMA,0,0,0,-598,0,,,,,,,,
04000,ARKANSAS                 ,ARKANSAS,0,0,-50,0,0,,,,,,,,
04010,ARKANSAS                 ,ASHLEY,0,0,0,0,0,,,,,,,,
04020,ARKANSAS                 ,BAXTER,0,0,0,0,0,,,,,,,,
04030,ARKANSAS                 ,BENTON,0,0,0,0,0,,,,,,,,
04040,ARKANSAS                 ,BOONE,0,0,0,0,0,,,,,,,,
04050,ARKANSAS                 ,BRADLEY,0,0,0,0,0,,,,,,,,
04060,ARKANSAS                 ,CALHOUN,0,0,0,0,0,,,,,,,,
04070,ARKANSAS                 ,CARROLL,0,0,0,0,0,,,,,,,,
04080,ARKANSAS                 ,CHICOT,0,0,0,0,0,,,,,,,,
04090,ARKANSAS                 ,CLARK,0,0,0,0,0,,,,,,,,
04100,ARKANSAS                 ,CLAY,0,0,0,0,0,,,,,,,,
04110,ARKANSAS                 ,CLEBURNE,0,-111,-149,-103,0,,,,,,,,
04120,ARKANSAS                 ,CLEVELAND,0,0,0,0,0,,,,,,,,
04130,ARKANSAS                 ,COLUMBIA,0,0,0,0,0,,,,,,,,
04140,ARKANSAS                 ,CONWAY,-222,0,0,0,0,,,,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,-98,-160,0,0,0,,,,,,,,
04160,ARKANSAS                 ,CRAWFORD,0,0,0,0,0,,,,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-82,049","-75,251","-68,285","-64,042","-35,975",,,,,,,,
04180,ARKANSAS                 ,CROSS,0,0,0,0,0,,,,,,,,
04190,ARKANSAS                 ,DALLAS,0,0,0,0,0,,,,,,,,
04200,ARKANSAS                 ,DESHA,0,0,0,0,0,,,,,,,,
04210,ARKANSAS                 ,DREW,-749,-791,-246,0,0,,,,,,,,
04220,ARKANSAS                 ,FAULKNER,"-144,605","-148,639","-150,303","-174,631","-89,621",,,,,,,,
04230,ARKANSAS                 ,FRANKLIN,0,0,0,0,0,,,,,,,,
04240,ARKANSAS                 ,FULTON,0,0,0,0,0,,,,,,,,
04250,ARKANSAS                 ,GARLAND,"-2,750","-1,658","-1,963","-1,999","-2,166",,,,,,,,
04260,ARKANSAS                 ,GRANT,"-35,238","-38,900","-45,362","-51,748","-23,246",,,,,,,,
04270,ARKANSAS                 ,GREENE,0,0,0,0,0,,,,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,0,0,0,0,0,,,,,,,,
04290,ARKANSAS                 ,HOT SPRING,0,0,0,0,0,,,,,,,,
04300,ARKANSAS                 ,HOWARD,0,0,0,0,0,,,,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,0,0,0,0,0,,,,,,,,
04320,ARKANSAS                 ,IZARD,0,0,0,0,0,,,,,,,,
04330,ARKANSAS                 ,JACKSON,"-5,205","-10,487","-2,684","-1,534",-768,,,,,,,,
04340,ARKANSAS                 ,JEFFERSON,0,0,-91,-826,-292,,,,,,,,
04350,ARKANSAS                 ,JOHNSON,0,-343,-309,-392,-4,,,,,,,,
04360,ARKANSAS                 ,LAFAYETTE,0,0,0,0,0,,,,,,,,
04370,ARKANSAS                 ,LAWRENCE,0,0,0,0,0,,,,,,,,
04380,ARKANSAS                 ,LEE,0,0,0,0,0,,,,,,,,
04390,ARKANSAS                 ,LINCOLN,0,0,0,0,0,,,,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,0,0,0,0,0,,,,,,,,
04410,ARKANSAS                 ,LOGAN,0,0,0,0,0,,,,,,,,
04420,ARKANSAS                 ,LONOKE,"-119,467","-106,357","-118,297","-116,464","-62,080",,,,,,,,
04430,ARKANSAS                 ,MADISON,0,0,0,0,0,,,,,,,,
04440,ARKANSAS                 ,MARION,-137,0,0,0,0,,,,,,,,
04450,ARKANSAS                 ,MILLER,0,0,0,0,0,,,,,,,,
04460,ARKANSAS                 ,MISSISSIPPI,0,0,0,0,0,,,,,,,,
04470,ARKANSAS                 ,MONROE,-300,-136,0,0,0,,,,,,,,
04480,ARKANSAS                 ,MONTGOMERY,0,0,0,0,0,,,,,,,,
04490,ARKANSAS                 ,NEVADA,0,0,0,0,0,,,,,,,,
04500,ARKANSAS                 ,NEWTON,0,0,0,0,0,,,,,,,,
04510,ARKANSAS                 ,OUACHITA,0,0,0,0,0,,,,,,,,
04520,ARKANSAS                 ,PERRY,"-26,387","-32,639","-37,345","-33,732","-12,661",,,,,,,,
04530,ARKANSAS                 ,PHILLIPS,0,-41,-400,-74,-11,,,,,,,,
04540,ARKANSAS                 ,PIKE,0,0,0,0,0,,,,,,,,
04550,ARKANSAS                 ,POINSETT,-286,0,0,0,0,,,,,,,,
04560,ARKANSAS                 ,POLK,0,0,0,0,0,,,,,,,,
04570,ARKANSAS                 ,POPE,"-1,431","-2,948","-3,379","-4,110","-2,156",,,,,,,,
04580,ARKANSAS                 ,PRAIRIE,-310,-178,0,0,0,,,,,,,,
04590,ARKANSAS                 ,PULASKI,"-654,549","-635,995","-680,476","-753,862","-343,781",,,,,,,,
04600,ARKANSAS                 ,RANDOLPH,0,0,0,0,0,,,,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,0,0,0,0,0,,,,,,,,
04620,ARKANSAS                 ,SALINE,"-131,690","-129,414","-103,441","-114,173","-53,932",,,,,,,,
04630,ARKANSAS                 ,SCOTT,0,0,0,0,0,,,,,,,,
04640,ARKANSAS                 ,SEARCY,0,0,0,0,0,,,,,,,,
04650,ARKANSAS                 ,SEBASTIAN,0,0,0,0,0,,,,,,,,
04660,ARKANSAS                 ,SEVIER,0,0,0,0,0,,,,,,,,
04670,ARKANSAS                 ,SHARP,0,0,0,0,0,,,,,,,,
04680,ARKANSAS                 ,STONE,0,0,0,0,0,,,,,,,,
04690,ARKANSAS                 ,UNION,0,0,0,0,0,,,,,,,,
04700,ARKANSAS                 ,VAN BUREN,0,0,-526,0,0,,,,,,,,
04710,ARKANSAS                 ,WASHINGTON,0,0,0,0,0,,,,,,,,
04720,ARKANSAS                 ,WHITE,0,0,0,-305,-270,,,,,,,,
04730,ARKANSAS                 ,WOODRUFF,0,0,-112,"-1,048",-381,,,,,,,,
04740,ARKANSAS                 ,YELL,0,0,0,0,0,,,,,,,,
05000,CALIFORNIA               ,ALAMEDA,"-648,077","-683,082","-691,678","-717,093","-297,882",,,,,,,,
05010,CALIFORNIA               ,ALPINE,0,0,0,0,0,,,,,,,,
05020,CALIFORNIA               ,AMADOR,-918,"-1,411",-360,-267,-224,,,,,,,,
05030,CALIFORNIA               ,BUTTE,-90,-133,-476,-584,-300,,,,,,,,
05040,CALIFORNIA               ,CALAVERAS,0,0,0,0,0,,,,,,,,
05050,CALIFORNIA               ,COLUSA,-90,-96,0,-162,-274,,,,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"-403,768","-418,653","-423,597","-410,248","-192,618",,,,,,,,
05070,CALIFORNIA               ,DEL NORTE,0,0,0,-37,0,,,,,,,,
05080,CALIFORNIA               ,EL DORADO,"-128,760","-129,494","-148,810","-156,323","-82,026",,,,,,,,
05090,CALIFORNIA               ,FRESNO,"-886,360","-962,592","-1,035,687","-1,064,384","-449,222",,,,,,,,
05100,CALIFORNIA               ,GLENN,0,0,0,0,0,,,,,,,,
05110,CALIFORNIA               ,HUMBOLDT,0,0,0,0,-92,,,,,,,,
05120,CALIFORNIA               ,IMPERIAL,-395,0,0,0,-21,,,,,,,,
05130,CALIFORNIA               ,INYO,0,-15,-10,0,0,,,,,,,,
05140,CALIFORNIA               ,KERN,"-829,444","-938,334","-1,034,814","-893,448","-313,914",,,,,,,,
05150,CALIFORNIA               ,KINGS,-533,"-1,260",0,-46,0,,,,,,,,
05160,CALIFORNIA               ,LAKE,0,0,0,0,0,,,,,,,,
05170,CALIFORNIA               ,LASSEN,0,0,0,0,0,,,,,,,,
05200,CALIFORNIA               ,LOS ANGELES,"-4,339,782","-4,369,948","-4,512,005","-4,346,431","-1,896,811",,,,,,,,
05300,CALIFORNIA               ,MADERA,0,0,-333,-731,-843,,,,,,,,
05310,CALIFORNIA               ,MARIN,"-80,694","-77,623","-89,587","-81,796","-39,477",,,,,,,,
05320,CALIFORNIA               ,MARIPOSA,-280,-739,"-1,179",-809,-344,,,,,,,,
05330,CALIFORNIA               ,MENDOCINO,-35,0,0,-722,-132,,,,,,,,
05340,CALIFORNIA               ,MERCED,0,"-1,204","-3,485","-4,327","-1,691",,,,,,,,
05350,CALIFORNIA               ,MODOC,0,0,0,0,0,,,,,,,,
05360,CALIFORNIA               ,MONO,0,0,0,0,0,,,,,,,,
05370,CALIFORNIA               ,MONTEREY,"-3,194",0,-41,0,0,,,,,,,,
05380,CALIFORNIA               ,NAPA,-311,-40,-510,-125,-56,,,,,,,,
05390,CALIFORNIA               ,NEVADA,0,0,0,0,0,,,,,,,,
05400,CALIFORNIA               ,ORANGE,"-1,210,188","-1,244,631","-1,286,307","-1,225,472","-534,802",,,,,,,,
05410,CALIFORNIA               ,PLACER,"-138,067","-146,383","-166,958","-190,394","-91,048",,,,,,,,
05420,CALIFORNIA               ,PLUMAS,0,0,0,0,0,,,,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"-1,296,145","-1,406,491","-707,871","-647,673","-541,706",,,,,,,,
05440,CALIFORNIA               ,SACRAMENTO,"-774,886","-803,959","-931,454","-966,765","-429,141",,,,,,,,
05450,CALIFORNIA               ,SAN BENITO,"-26,517","-33,573","-31,972","-38,773","-13,508",,,,,,,,
05460,CALIFORNIA               ,SAN BERNARDINO,"-1,469,284","-1,633,969","-866,080","-792,137","-594,846",,,,,,,,
05470,CALIFORNIA               ,SAN DIEGO,"-1,384,627","-1,515,489","-1,571,469","-1,552,295","-693,106",,,,,,,,
05480,CALIFORNIA               ,SAN FRANCISCO,"-257,702","-256,173","-266,450","-292,622","-138,152",,,,,,,,
05490,CALIFORNIA               ,SAN JOAQUIN,"-556,825","-606,498","-676,847","-631,516","-267,257",,,,,,,,
05500,CALIFORNIA               ,SAN LUIS OBISPO,-359,-225,-566,-295,0,,,,,,,,
05510,CALIFORNIA               ,SAN MATEO,"-108,728","-122,718","-122,235","-110,463","-58,015",,,,,,,,
05520,CALIFORNIA               ,SANTA BARBARA,-613,-349,-135,0,0,,,,,,,,
05530,CALIFORNIA               ,SANTA CLARA,"-468,421","-569,795","-645,313","-651,554","-258,456",,,,,,,,
05540,CALIFORNIA               ,SANTA CRUZ,-385,-112,-813,-216,-44,,,,,,,,
05550,CALIFORNIA               ,SHASTA,0,0,0,0,0,,,,,,,,
05560,CALIFORNIA               ,SIERRA,0,-37,0,0,0,,,,,,,,
05570,CALIFORNIA               ,SISKIYOU,0,-38,0,0,0,,,,,,,,
05580,CALIFORNIA               ,SOLANO,"-3,629","-2,897","-2,712","-3,351","-1,013",,,,,,,,
05590,CALIFORNIA               ,SONOMA,"-16,956","-8,750","-9,771","-17,860","-5,297",,,,,,,,
05600,CALIFORNIA               ,STANISLAUS,"-1,673","-2,968","-2,164","-1,193","-1,064",,,,,,,,
05610,CALIFORNIA               ,SUTTER,-884,-742,0,0,0,,,,,,,,
05620,CALIFORNIA               ,TEHAMA,0,0,0,-344,-120,,,,,,,,
05630,CALIFORNIA               ,TRINITY,0,0,0,0,0,,,,,,,,
05640,CALIFORNIA               ,TULARE,"-600,200","-673,957","-626,466","-669,802","-300,914",,,,,,,,
05650,CALIFORNIA               ,TUOLUMNE,-151,-138,-219,-585,-307,,,,,,,,
05660,CALIFORNIA               ,VENTURA,"-444,083","-447,035","-482,859","-487,400","-210,697",,,,,,,,
05670,CALIFORNIA               ,YOLO,"-76,852","-71,084","-66,970","-71,127","-26,908",,,,,,,,
05680,CALIFORNIA               ,YUBA,0,0,0,0,0,,,,,,,,
06000,COLORADO                 ,ADAMS,"-332,192","-346,556","-369,128","-365,765","-169,401",,,,,,,,
06010,COLORADO                 ,ALAMOSA,-30,0,0,0,0,,,,,,,,
06020,COLORADO                 ,ARAPAHOE,"-360,072","-416,502","-435,892","-426,798","-207,004",,,,,,,,
06030,COLORADO                 ,ARCHULETA,0,0,0,0,0,,,,,,,,
06040,COLORADO                 ,BACA,-656,-451,-641,0,0,,,,,,,,
06050,COLORADO                 ,BENT,0,0,0,0,-209,,,,,,,,
06060,COLORADO                 ,BOULDER,"-31,097","-29,735","-32,333","-30,466","-12,835",,,,,,,,
06070,COLORADO                 ,CHAFFEE,0,0,0,0,0,,,,,,,,
06080,COLORADO                 ,CHEYENNE,0,0,-356,"-1,190",-884,,,,,,,,
06090,COLORADO                 ,CLEAR CREEK,0,0,0,0,0,,,,,,,,
06100,COLORADO                 ,CONEJOS,-470,-97,0,0,0,,,,,,,,
06110,COLORADO                 ,COSTILLA,0,0,-130,0,0,,,,,,,,
06120,COLORADO                 ,CROWLEY,-384,"-3,184","-2,066","-1,383",0,,,,,,,,
06130,COLORADO                 ,CUSTER,0,0,0,0,0,,,,,,,,
06140,COLORADO                 ,DELTA,0,0,0,0,0,,,,,,,,
06150,COLORADO                 ,DENVER,"-470,775","-468,567","-472,229","-469,214","-218,901",,,,,,,,
06160,COLORADO                 ,DOLORES,0,0,0,0,0,,,,,,,,
06170,COLORADO                 ,DOUGLAS,"-68,729","-51,640","-58,648","-52,574","-24,895",,,,,,,,
06180,COLORADO                 ,EAGLE,0,0,0,0,0,,,,,,,,
06190,COLORADO                 ,ELBERT,"-2,709","-3,525","-10,189","-5,563","-1,910",,,,,,,,
06200,COLORADO                 ,EL PASO,"-632,504","-677,032","-741,369","-772,182","-366,392",,,,,,,,
06210,COLORADO                 ,FREMONT,0,0,0,0,0,,,,,,,,
06220,COLORADO                 ,GARFIELD,"-1,661",-186,0,0,0,,,,,,,,
06230,COLORADO                 ,GILPIN,"-4,702","-7,836","-6,364","-3,801","-3,166",,,,,,,,
06240,COLORADO                 ,GRAND,0,0,0,0,0,,,,,,,,
06250,COLORADO                 ,GUNNISON,0,0,0,0,0,,,,,,,,
06260,COLORADO                 ,HINSDALE,0,0,0,0,0,,,,,,,,
06270,COLORADO                 ,HUERFANO,-67,0,0,0,0,,,,,,,,
06280,COLORADO                 ,JACKSON,0,0,0,0,0,,,,,,,,
06290,COLORADO                 ,JEFFERSON,"-358,772","-385,683","-382,197","-380,708","-185,208",,,,,,,,
06300,COLORADO                 ,KIOWA,0,0,0,0,0,,,,,,,,
06310,COLORADO                 ,KIT CARSON,0,0,0,0,0,,,,,,,,
06320,COLORADO                 ,LAKE,0,0,0,0,-133,,,,,,,,
06330,COLORADO                 ,LA PLATA,0,0,0,0,0,,,,,,,,
06340,COLORADO                 ,LARIMER,-102,0,0,0,0,,,,,,,,
06350,COLORADO                 ,LAS ANIMAS,0,0,0,0,0,,,,,,,,
06360,COLORADO                 ,LINCOLN,0,0,0,0,0,,,,,,,,
06370,COLORADO                 ,LOGAN,0,0,0,0,0,,,,,,,,
06380,COLORADO                 ,MESA,0,0,0,0,0,,,,,,,,
06390,COLORADO                 ,MINERAL,0,0,0,0,0,,,,,,,,
06400,COLORADO                 ,MOFFAT,0,0,0,0,0,,,,,,,,
06410,COLORADO                 ,MONTEZUMA,-223,0,0,0,0,,,,,,,,
06420,COLORADO                 ,MONTROSE,-434,0,0,0,-246,,,,,,,,
06430,COLORADO                 ,MORGAN,0,0,0,0,0,,,,,,,,
06440,COLORADO                 ,OTERO,0,0,0,0,0,,,,,,,,
06450,COLORADO                 ,OURAY,0,0,0,0,0,,,,,,,,
06460,COLORADO                 ,PARK,0,0,0,0,0,,,,,,,,
06470,COLORADO                 ,PHILLIPS,0,0,0,0,0,,,,,,,,
06480,COLORADO                 ,PITKIN,0,0,0,0,0,,,,,,,,
06490,COLORADO                 ,PROWERS,0,0,0,0,0,,,,,,,,
06500,COLORADO                 ,PUEBLO,0,-64,"-1,230","-1,541",-134,,,,,,,,
06510,COLORADO                 ,RIO BLANCO,0,0,0,0,0,,,,,,,,
06520,COLORADO                 ,RIO GRANDE,0,0,0,0,0,,,,,,,,
06530,COLORADO                 ,ROUTT,0,0,0,0,0,,,,,,,,
06540,COLORADO                 ,SAGUACHE,0,0,0,0,0,,,,,,,,
06550,COLORADO                 ,SAN JUAN,0,0,0,0,0,,,,,,,,
06560,COLORADO                 ,SAN MIGUEL,0,0,0,0,0,,,,,,,,
06570,COLORADO                 ,SEDGWICK,0,0,0,0,0,,,,,,,,
06580,COLORADO                 ,SUMMIT,0,0,0,0,0,,,,,,,,
06590,COLORADO                 ,TELLER,"-43,839","-45,280","-56,712","-52,530","-30,639",,,,,,,,
06600,COLORADO                 ,WASHINGTON,0,0,0,0,0,,,,,,,,
06610,COLORADO                 ,WELD,-730,0,0,0,0,,,,,,,,
06620,COLORADO                 ,YUMA,0,0,0,0,0,,,,,,,,
06630,COLORADO                 ,BROOMFIELD,"-19,200","-26,124","-24,554","-21,120","-12,840",,,,,,,,
07000,CONNECTICUT              ,FAIRFIELD,"-405,402","-438,206","-489,586","-496,283","-225,803",,,,,,,,
07010,CONNECTICUT              ,HARTFORD,"-710,739","-719,242","-734,323","-860,055","-447,722",,,,,,,,
07020,CONNECTICUT              ,LITCHFIELD,"-1,650","-1,215","-1,919",-192,-4,,,,,,,,
07030,CONNECTICUT              ,MIDDLESEX,"-94,844","-98,667","-117,907","-120,084","-65,037",,,,,,,,
07040,CONNECTICUT              ,NEW HAVEN,"-686,333","-722,980","-745,248","-763,082","-343,284",,,,,,,,
07050,CONNECTICUT              ,NEW LONDON,"-2,037","-2,746","-3,118","-1,009","-1,282",,,,,,,,
07060,CONNECTICUT              ,TOLLAND,"-69,158","-73,456","-89,679","-98,176","-44,758",,,,,,,,
07070,CONNECTICUT              ,WINDHAM,"-3,546","-9,099","-12,809","-10,969","-6,129",,,,,,,,
08000,DELAWARE                 ,KENT,-186,-210,-834,-320,0,,,,,,,,
