AGED -- REPRICING ADJUSTMENTS TO THE 2009-2013 PHYSICIAN REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT GEOGRAPHIC PRACTICE COST INDEX,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,,
04140,ARKANSAS                 ,CONWAY,"54,186","-96,896","-103,349","21,351","22,621",,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"186,576","-338,247","-369,365","77,631","76,810",,,,,
04160,ARKANSAS                 ,CRAWFORD,"93,639","-161,802","-162,530","40,490","40,369",,,,,
04170,ARKANSAS                 ,CRITTENDEN,"43,290","-161,928","-172,343","17,534","18,321",,,,,
04180,ARKANSAS                 ,CROSS,"31,157","-70,918","-77,773","13,060","12,509",,,,,
04190,ARKANSAS                 ,DALLAS,"21,694","-38,133","-40,175","9,024","8,024",,,,,
04200,ARKANSAS                 ,DESHA,"29,821","-56,899","-59,188","12,062","11,519",,,,,
04210,ARKANSAS                 ,DREW,"49,626","-91,926","-98,551","19,993","19,058",,,,,
04220,ARKANSAS                 ,FAULKNER,"202,608","-376,154","-389,592","80,596","85,829",,,,,
04230,ARKANSAS                 ,FRANKLIN,"35,074","-59,224","-62,707","14,483","14,422",,,,,
04240,ARKANSAS                 ,FULTON,"35,027","-56,106","-62,810","9,208","9,395",,,,,
04250,ARKANSAS                 ,GARLAND,"381,915","-686,459","-741,981","162,325","156,954",,,,,
04260,ARKANSAS                 ,GRANT,"47,630","-88,451","-89,400","17,495","17,400",,,,,
04270,ARKANSAS                 ,GREENE,"80,619","-137,958","-154,605","34,129","32,701",,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"38,913","-73,208","-63,845","18,501","16,106",,,,,
04290,ARKANSAS                 ,HOT SPRING,"81,058","-147,435","-156,026","32,560","34,017",,,,,
04300,ARKANSAS                 ,HOWARD,"33,382","-51,474","-54,536","13,758","13,957",,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"106,275","-190,313","-202,626","44,316","43,066",,,,,
04320,ARKANSAS                 ,IZARD,"46,938","-70,879","-73,682","15,917","14,370",,,,,
04330,ARKANSAS                 ,JACKSON,"58,816","-104,560","-104,497","22,311","19,937",,,,,
04340,ARKANSAS                 ,JEFFERSON,"151,469","-291,758","-323,373","61,806","57,888",,,,,
04350,ARKANSAS                 ,JOHNSON,"38,522","-65,146","-72,866","17,395","15,821",,,,,
04360,ARKANSAS                 ,LAFAYETTE,"20,288","-29,115","-28,690","11,957","10,541",,,,,
04370,ARKANSAS                 ,LAWRENCE,"48,463","-82,716","-86,802","19,176","17,980",,,,,
04380,ARKANSAS                 ,LEE,"12,281","-30,939","-35,395","4,866","4,377",,,,,
04390,ARKANSAS                 ,LINCOLN,"27,704","-49,901","-53,009","11,450","10,363",,,,,
