"ESRD -- 2013 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) 
FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE 
BENEFICIARIES ENROLLED IN PARTS A AND/OR B 
REIMBURSEMENTS FOR HOSPICE AND COST CONTRATCS EXCLUDED",,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL REIMBURSEMENT,PART A TOTAL PER CAPITA,PART A REIMBURSEMENT W/O IME/DSH/GME,PART A PER CAPITA W/O IME/DSH/GME,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL REIMBURSEMENT,PART B PER CAPITA
1540,ALABAMA,PIKE,80,"2,193,010",2284.39,"1,939,584","2,020.40","61,954","180,586","10,886",79,"3,184,532",3359.21
1550,ALABAMA,RANDOLPH,44,"1,181,151",2237.03,"1,068,731","2,024.11","29,848","78,663","3,909",42,"1,938,462",3846.15
1560,ALABAMA,RUSSELL,146,"2,610,743",1490.15,"2,291,965","1,308.20","48,264","252,394","18,120",141,"5,151,166",3044.42
1570,ALABAMA,ST. CLAIR,92,"937,202",848.91,"829,662",751.51,"35,869","50,713","20,958",88,"3,053,636",2891.7
1580,ALABAMA,SHELBY,94,"1,509,181",1337.93,"1,344,272","1,191.73","40,078","109,129","15,702",85,"2,883,371",2826.83
1590,ALABAMA,SUMTER,39,"439,772",939.68,"374,442",800.09,"14,545","47,340","3,445",36,"1,372,788",3177.75
1600,ALABAMA,TALLADEGA,183,"3,468,029",1579.25,"2,996,959","1,364.74","88,465","353,227","29,378",178,"7,342,879",3437.68
1610,ALABAMA,TALLAPOOSA,98,"1,903,436",1618.57,"1,676,212","1,425.35","56,800","160,455","9,969",96,"3,609,245",3133.03
1620,ALABAMA,TUSCALOOSA,331,"7,630,567",1921.09,"6,532,812","1,644.72","283,382","742,977","71,396",323,"12,131,698",3129.95
1630,ALABAMA,WALKER,79,"2,215,074",2336.58,"1,921,574","2,026.98","133,839","111,545","48,116",77,"2,749,740",2975.91
1640,ALABAMA,WASHINGTON,35,"445,329",1060.31,"375,972",895.17,"27,677","34,465","7,215",32,"1,247,369",3248.36
1650,ALABAMA,WILCOX,43,"1,001,660",1941.2,"844,898","1,637.40","31,214","116,177","9,371",43,"1,715,116",3323.87
1660,ALABAMA,WINSTON,28,"374,016",1113.14,"331,640",987.02,"11,478","24,563","6,335",26,"1,111,927",3563.87
2010,ALASKA,ALEUTIANS ISLANDS,2,"154,749",6447.88,"130,262","5,427.58","3,077","21,089",321,1,"77,824",6485.33
2020,ALASKA,ANCHORAGE,349,"7,384,724",1763.31,"6,519,551","1,556.72","151,592","678,281","35,300",322,"13,124,302",3396.56
2040,ALASKA,BARROW DIVISION,1,"46,986",3915.5,"39,136","3,261.33",0,"7,850",0,1,"70,977",5914.75
2050,ALASKA,BETHEL,4,"104,605",2179.27,"90,887","1,893.48","1,575","11,822",321,4,"144,966",3020.13
2060,ALASKA,BRISTOL BAY BOROUGH,2,"75,311",3137.96,"71,720","2,988.33",868,"2,616",107,2,"108,094",4503.92
2070,ALASKA,DILLINGHAM,2,0,0,0,0,0,0,0,1,"64,279",5356.58
2080,ALASKA,CORDOVA-MC CARTHY,1,"67,025",5585.42,"60,669","5,055.75","1,024","5,011",321,1,"56,250",4687.5
2090,ALASKA,FAIRBANKS NORTH STAR,56,"909,966",1354.12,"795,286","1,183.46","29,093","78,424","7,163",53,"1,891,570",2974.17
2100,ALASKA,HAINES,1,"14,489",1207.42,"11,677",973.08,400,"2,305",107,1,"38,472",3206
2110,ALASKA,JUNEAU,18,"618,443",2863.16,"579,477","2,682.76","13,438","23,980","1,548",17,"700,094",3431.83
2120,ALASKA,KENAI-COOK INLET DIVISION,41,"894,416",1817.92,"771,003","1,567.08","28,945","87,481","6,987",40,"1,523,787",3174.56
2130,ALASKA,KETCHIKAN GATEWAY,7,"139,013",1654.92,"127,417","1,516.87","1,741","9,001",854,7,"467,804",5569.1
2140,ALASKA,KOBUK,1,0,0,0,0,0,0,0,1,0,0
2150,ALASKA,KODIAK ISLAND BOROUGH,7,"353,148",4204.14,"331,724","3,949.10","3,357","17,175",892,7,"515,819",6140.7
2160,ALASKA,KUSKOKWIN,1,0,0,0,0,0,0,0,1,"59,518",4959.83
2170,ALASKA,MATANUSKA-SUSITNA,45,"1,348,921",2498,"1,234,332","2,285.80","28,617","80,706","5,266",42,"1,461,066",2898.94
2180,ALASKA,NOME,1,"29,407",2450.58,"28,492","2,374.33",0,915,0,1,"36,978",3081.5
2190,ALASKA,OUTER KETCHIKAN DIVISION,1,"60,991",5082.58,"55,616","4,634.67",167,"5,200",8,1,"37,091",3090.92
2200,ALASKA,PRINCE OF WALES,1,0,0,0,0,0,0,0,1,0,0
2210,ALASKA,SEWARD,3,"112,258",3118.28,"93,431","2,595.31","2,835","15,349",643,3,"80,162",2226.72
2220,ALASKA,SITKA BOROUGH,3,"113,483",3152.31,"109,763","3,048.97",628,"2,878",214,3,"114,159",3171.08
2230,ALASKA,SKAGWAY-YAKUTAT,1,0,0,0,0,0,0,0,1,0,0
2240,ALASKA,SOUTHEAST FAIRBANKS,3,"24,116",669.89,"23,367",649.08,0,749,0,3,"135,431",3761.97
2250,ALASKA,UPPER YUKON,1,"11,740",978.33,"10,614",884.5,0,"1,126",0,1,"35,289",2940.75
2260,ALASKA,VALDEZ-CHITNA-WHITIER DIVISION,4,"119,193",2483.19,"103,671","2,159.81","2,874","12,112",536,4,"194,717",4056.6
2270,ALASKA,WADE HAMPTON,1,"94,506",7875.5,"93,360","7,780.00",0,"1,146",0,1,"51,287",4273.92
2280,ALASKA,WRANGELL-PETERSBURG CENSUS AREA,2,"115,400",4808.33,"109,102","4,545.92",692,"5,499",107,2,"58,677",2444.88
2290,ALASKA,YUKON-KOYUKUK,1,"30,823",2568.58,"30,823","2,568.58",0,0,0,1,"41,461",3455.08
3000,ARIZONA,APACHE,187,"4,630,980",2063.72,"4,018,942","1,790.97","91,720","481,616","38,702",170,"7,315,941",3586.25
3010,ARIZONA,COCHISE,128,"2,560,736",1667.15,"2,138,415","1,392.20","151,659","212,425","58,237",125,"4,567,117",3044.74
3020,ARIZONA,COCONINO,180,"5,180,655",2398.45,"4,597,330","2,128.39","46,913","519,783","16,629",167,"7,203,632",3594.63
3030,ARIZONA,GILA,119,"2,853,737",1998.42,"2,599,418","1,820.32","51,597","181,414","21,308",112,"4,499,656",3347.96
3040,ARIZONA,GRAHAM,46,"834,513",1511.8,"685,257","1,241.41","45,317","89,324","14,615",43,"1,628,512",3156.03
3050,ARIZONA,GREENLEE,10,"270,552",2254.6,"232,170","1,934.75","18,253","14,738","5,391",9,"241,129",2232.68
3055,ARIZONA,LAPAZ,46,"1,399,729",2535.74,"1,292,531","2,341.54","20,401","76,172","10,625",40,"1,712,751",3568.23
3060,ARIZONA,MARICOPA,3349,"77,292,952",1923.28,"67,178,189","1,671.60","2,072,351","6,909,758","1,132,654",3100,"115,963,635",3117.3
3070,ARIZONA,MOHAVE,300,"6,578,927",1827.48,"5,993,709","1,664.92","163,716","364,690","56,813",283,"10,243,288",3016.28
3080,ARIZONA,NAVAJO,259,"6,141,110",1975.9,"5,472,364","1,760.73","96,248","531,916","40,582",248,"10,852,760",3646.76
3090,ARIZONA,PIMA,974,"19,808,439",1694.77,"16,462,279","1,408.48","1,138,683","1,829,224","378,253",910,"33,239,814",3043.94
3100,ARIZONA,PINAL,524,"13,923,127",2214.24,"12,424,678","1,975.93","247,899","1,149,675","100,875",487,"19,974,616",3417.97
3110,ARIZONA,SANTA CRUZ,47,"551,023",976.99,"453,997",804.96,"26,493","61,697","8,836",45,"1,657,008",3068.53
3120,ARIZONA,YAVAPAI,179,"3,528,789",1642.83,"3,280,308","1,527.15","93,529","126,930","28,022",170,"6,333,353",3104.58
3130,ARIZONA,YUMA,220,"3,283,621",1243.8,"3,044,395","1,153.18","20,272","212,389","6,565",212,"7,962,181",3129.79
4000,ARKANSAS,ARKANSAS,40,"464,465",967.64,"418,855",872.61,"6,581","35,541","3,488",35,"1,217,167",2898.02
4010,ARKANSAS,ASHLEY,55,"707,570",1072.08,"625,226",947.31,"15,006","61,385","5,953",55,"1,769,865",2681.61
4020,ARKANSAS,BAXTER,44,"1,017,124",1926.37,"970,976","1,838.97","8,243","34,553","3,352",44,"1,689,939",3200.64
4030,ARKANSAS,BENTON,169,"3,609,716",1779.94,"3,405,437","1,679.21","36,971","155,533","11,775",166,"5,617,569",2820.06
4040,ARKANSAS,BOONE,49,"719,834",1224.21,"648,028","1,102.09","19,348","47,988","4,470",46,"1,474,018",2670.32
4050,ARKANSAS,BRADLEY,30,"382,100",1061.39,"341,015",947.26,"8,157","29,861","3,067",30,"1,095,166",3042.13
4060,ARKANSAS,CALHOUN,6,"233,142",3238.08,"216,505","3,007.01","2,661","13,025",951,5,"197,681",3294.68
4070,ARKANSAS,CARROLL,12,"139,463",968.49,"127,448",885.06,"3,949","6,590","1,476",11,"238,984",1810.48
4080,ARKANSAS,CHICOT,29,"787,568",2263.13,"672,018","1,931.09","12,438","101,287","1,825",28,"834,433",2483.43
4090,ARKANSAS,CLARK,47,"931,881",1652.27,"878,564","1,557.74",440,"52,733",144,45,"1,584,497",2934.25
4100,ARKANSAS,CLAY,15,"199,148",1106.38,"176,698",981.66,866,"21,089",495,15,"616,140",3423
4110,ARKANSAS,CLEBURNE,15,"334,278",1857.1,"303,451","1,685.84","4,070","25,782",975,15,"422,957",2349.76
