AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 HOME HEALTH  REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,
01640,ALABAMA                  ,WASHINGTON,"-18,629","-20,862","-8,140","-8,398","-6,444",,"-41,722","-45,032","-20,529","-17,639","-9,680",
01650,ALABAMA                  ,WILCOX,"-10,685","-12,267","-5,330","-7,591","-3,066",,"-16,426","-21,268","-9,098","-10,027","-6,407",
01660,ALABAMA                  ,WINSTON,"-30,088","-41,843","-16,015","-18,169","-8,499",,"-43,916","-53,954","-21,765","-31,071","-13,345",
02010,ALASKA                   ,ALEUTIANS ISLANDS,528,155,57,181,85,,99,17,31,0,21,
02020,ALASKA                   ,ANCHORAGE,"44,616","46,849","31,121","34,140","16,090",,"36,272","42,578","32,098","38,433","15,503",
02040,ALASKA                   ,BARROW DIVISION,"-10,111",0,38,-53,-1,,-599,"-12,168","-19,103",35,82,
02050,ALASKA                   ,BETHEL,120,67,-22,138,22,,497,141,223,249,0,
02060,ALASKA                   ,BRISTOL BAY,-224,-38,-146,11,-276,,63,191,-32,-27,90,
02070,ALASKA                   ,DILLINGHAM,179,79,196,301,60,,"2,617",129,0,182,30,
02080,ALASKA                   ,CORDOVA-MC CARTHY,0,159,6,51,54,,0,-23,59,0,0,
02090,ALASKA                   ,FAIRBANKS NORTH STAR,"1,530","-3,955",59,"-1,282","-6,620",,-158,"-6,902","-2,204","-1,981","-10,233",
02100,ALASKA                   ,HAINES,344,85,-19,128,104,,794,"1,427",35,0,0,
02110,ALASKA                   ,JUNEAU,"15,331","21,136","15,755","9,611","8,642",,"21,500","14,966","31,565","15,298","12,633",
02120,ALASKA                   ,KENAI-COOK INLET DIVISION,"64,862","62,595","57,710","34,314","23,979",,"54,574","49,689","39,257","23,145","21,813",
02130,ALASKA                   ,KETCHIKAN GATEWAY,"23,923","29,429","35,046","23,236","10,228",,"38,175","45,059","45,900","23,130","14,073",
02140,ALASKA                   ,KOBUK,0,213,90,313,88,,0,0,201,117,0,
02150,ALASKA                   ,KODIAK ISLAND,"1,769","3,897","7,463","2,276","1,831",,"3,503","6,375","11,523","2,257","2,484",
02160,ALASKA                   ,KUSKOKWIN DIVISION,185,26,63,217,-46,,0,204,0,0,0,
02170,ALASKA                   ,MATANUSKA-SUSITNA,"16,640","14,885","10,819","12,435","4,742",,"10,196","10,097","10,245","11,700","4,344",
02180,ALASKA                   ,NOME,563,848,477,282,82,,443,"1,010",145,0,83,
02190,ALASKA                   ,OUTER KETCHIKAN DIVISION,"1,651","1,959",44,203,229,,0,0,0,0,177,
02200,ALASKA                   ,PRINCE OF WALES DIVISION,46,-28,"1,877",403,522,,-93,0,"4,554","2,536","1,907",
02210,ALASKA                   ,SEWARD,"1,075",345,125,866,61,,"2,625",129,897,-94,-126,
