IPPS and OPPS Wage Indices by Fiscal Year ,,,,,,,,,,,
"Note: ""A"" and ""B"" designation indicate that there was a mid-year change in the index due to change in claims processor during the year.",,,,,,,,,,,
County code,State,County name,CBSA 2014,IPPS Wage 2008,IPPS Wage 2009,IPPS Wage 2010 A,IPPS Wage 2010 B,IPPS Wage 2011,IPPS Wage 2012,IPPS Wage 2013,IPPS Wage 2014
03120,AZ,YAVAPAI,39140,0.9961,1.0160,1.0169,1.0169,1.2257,1.2316,1.1804,1.0907
03130,AZ,YUMA,49740,1.0086,0.9866,0.9284,0.9284,0.9408,0.9477,1.0569,0.9667
03999,AZ,STATEWIDE,NA,0.8855,0.8824,0.8801,0.8801,0.9088,0.8821,n/a ,0.9133
04000,AR,ARKANSAS,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04010,AR,ASHLEY,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04020,AR,BAXTER,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04030,AR,BENTON,22220,0.8872,0.9097,0.8787,0.8787,0.8604,0.9207,0.9284,0.8936
04040,AR,BOONE,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04050,AR,BRADLEY,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04060,AR,CALHOUN,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04070,AR,CARROLL,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04080,AR,CHICOT,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04090,AR,CLARK,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04100,AR,CLAY,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04110,AR,CLEBURNE,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04120,AR,CLEVELAND,38220,0.8152,0.8243,0.7767,0.7767,0.8269,0.7937,0.8009,0.8117
04130,AR,COLUMBIA,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04140,AR,CONWAY,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04150,AR,CRAIGHEAD,27860,0.8503,0.8423,0.7796,0.7796,0.7794,0.7695,0.8125,0.8022
04160,AR,CRAWFORD,22900,0.8053,0.7814,0.7994,0.7994,0.7713,0.7451,0.7923,0.7620
04170,AR,CRITTENDEN,32820,0.9314,0.9294,0.9265,0.9265,0.9244,0.9202,0.8967,0.8981
04180,AR,CROSS,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04190,AR,DALLAS,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04200,AR,DESHA,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04210,AR,DREW,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
04220,AR,FAULKNER,30780,0.8961,0.8766,0.8683,0.8683,0.8650,0.8651,0.8566,0.8571
04230,AR,FRANKLIN,22900,0.8053,0.7814,0.7994,0.7994,0.7713,0.7451,0.7923,0.7620
04240,AR,FULTON,NA,0.7516,0.7645,0.7559,0.7559,0.7479,0.7451,0.7501,0.7441
