DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 OUTPATIENT REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART B REIMBURSEMENT,,,,,,,,
06090,COLORADO                 ,CLEAR CREEK,-665,"-1,264","-1,537","-1,263",-818,,,,
06100,COLORADO                 ,CONEJOS,727,298,-856,"-1,684","-2,583",,,,
06110,COLORADO                 ,COSTILLA,323,195,-665,"-1,324","-2,444",,,,
06120,COLORADO                 ,CROWLEY,593,238,-677,"-1,001","-1,930",,,,
06130,COLORADO                 ,CUSTER,270,113,-266,-207,"-1,230",,,,
06140,COLORADO                 ,DELTA,72,409,"-4,236","-5,843","-9,002",,,,
06150,COLORADO                 ,DENVER,"-71,849","-75,193","-121,457","-133,861","-105,991",,,,
06160,COLORADO                 ,DOLORES,51,303,-133,-327,-484,,,,
06170,COLORADO                 ,DOUGLAS,"-6,151","-7,479","-13,153","-16,515","-12,028",,,,
06180,COLORADO                 ,EAGLE,"-1,776","-3,203","-3,026","-3,177","-4,551",,,,
06190,COLORADO                 ,ELBERT,"-1,275","-1,618","-4,132","-3,243","-2,428",,,,
06200,COLORADO                 ,EL PASO,"23,039","-49,296","-62,480","-70,128","-84,491",,,,
06210,COLORADO                 ,FREMONT,"5,851",938,"-6,892","-10,312","-20,453",,,,
06220,COLORADO                 ,GARFIELD,"-10,563","-14,617","-17,122","-13,619","-11,880",,,,
06230,COLORADO                 ,GILPIN,-580,-671,"-1,012",-636,-923,,,,
06240,COLORADO                 ,GRAND,-191,"-1,024",-901,"-1,634","-1,886",,,,
06250,COLORADO                 ,GUNNISON,-93,-123,-435,-964,-634,,,,
06260,COLORADO                 ,HINSDALE,26,-15,-105,-61,-102,,,,
06270,COLORADO                 ,HUERFANO,174,-316,-777,-947,"-3,350",,,,
06280,COLORADO                 ,JACKSON,176,-237,-143,-159,-173,,,,
06290,COLORADO                 ,JEFFERSON,"-45,302","-42,040","-77,048","-77,892","-72,907",,,,
06300,COLORADO                 ,KIOWA,-195,37,-94,-154,-208,,,,
06310,COLORADO                 ,KIT CARSON,-514,-875,-629,-763,"-1,133",,,,
06320,COLORADO                 ,LAKE,-203,-449,"-1,137",-711,"-1,045",,,,
06330,COLORADO                 ,LA PLATA,"2,029","2,187","-1,777","-3,118","-12,560",,,,
06340,COLORADO                 ,LARIMER,"-17,396","-17,399","-34,206","-25,693","-59,916",,,,
06350,COLORADO                 ,LAS ANIMAS,"1,352",684,"-1,535","-1,796","-5,528",,,,
06360,COLORADO                 ,LINCOLN,-143,-617,-606,"-1,035",-769,,,,
06370,COLORADO                 ,LOGAN,"1,005",233,"-2,868","-4,682","-7,969",,,,
06380,COLORADO                 ,MESA,"-34,245","-20,317","-41,384","-50,163","-41,619",,,,
06390,COLORADO                 ,MINERAL,-105,-9,-35,-167,-690,,,,
06400,COLORADO                 ,MOFFAT,-996,-483,-947,"-1,250","-1,982",,,,
06410,COLORADO                 ,MONTEZUMA,"2,103","2,025",-798,-858,"-4,098",,,,
06420,COLORADO                 ,MONTROSE,"2,332",855,"-5,849","-7,092","-15,378",,,,
06430,COLORADO                 ,MORGAN,"-1,191",-353,"-3,034","-3,861","-7,250",,,,
