Physician Geographic Practice Cost Indices by Calendar Year,,,,,,,,,,,,,,,,,,,,,,,,,
County Code,State,County Name,Locality 2014,Carrier 2014,GPCI WK 2008,GPCI WK 2009,GPCI WK 2010,GPCI WK 2011,GPCI WK 2012,GPCI WK 2013,GPCI WK 2014,GPCI PE 2008,GPCI PE 2009,GPCI PE 2010,GPCI PE 2011,GPCI PE 2012,GPCI PE 2013,GPCI PE 2014,GPCI MP 2008,GPCI MP 2009,GPCI MP 2010,GPCI MP 2011,GPCI MP 2012,GPCI MP 2013,GPCI MP 2014
01380,ALABAMA,Lauderdale,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01390,ALABAMA,Lawrence,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01400,ALABAMA,Lee,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01410,ALABAMA,Limestone,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01420,ALABAMA,Lowndes,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01430,ALABAMA,Macon,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01440,ALABAMA,Madison,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01450,ALABAMA,Marengo,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01460,ALABAMA,Marion,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01470,ALABAMA,Marshall,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01480,ALABAMA,Mobile,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01490,ALABAMA,Monroe,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01500,ALABAMA,Montgomery,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01510,ALABAMA,Morgan,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01520,ALABAMA,Perry,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01530,ALABAMA,Pickens,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01540,ALABAMA,Pike,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
01550,ALABAMA,Randolph,10102,00,1.000,1.000,1.000,1.000,1.000,1.000,1.000,0.850,0.853,0.927,0.928,0.878,0.878,0.882,0.617,0.496,0.496,0.484,0.474,0.474,0.543
