DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER DIVISION,123,0,66,-53,0,,,,,,
02270,ALASKA                   ,WADE HAMPTON,0,0,0,0,0,,,,,,
02280,ALASKA                   ,WRANGELL-PETERSBURG CENSUS AREA,162,0,"1,419",3,0,,,,,,
02290,ALASKA                   ,YUKON-KOYUKUK,0,196,0,0,0,,,,,,
03000,ARIZONA                  ,APACHE,"4,078","8,074","6,962",482,-964,,,,,,
03010,ARIZONA                  ,COCHISE,"9,926","8,773","1,693","-3,870","3,147",,,,,,
03020,ARIZONA                  ,COCONINO,"15,133","9,130","3,797","1,078","1,602",,,,,,
03030,ARIZONA                  ,GILA,"18,427","17,605","4,878",981,"4,734",,,,,,
03040,ARIZONA                  ,GRAHAM,-32,798,383,-131,"-1,164",,,,,,
03050,ARIZONA                  ,GREENLEE,0,-148,-419,-206,-739,,,,,,
03055,ARIZONA                  ,LA PAZ,872,-510,"-1,478",-820,"-1,247",,,,,,
03060,ARIZONA                  ,MARICOPA,"73,170","15,608","-85,781","-99,960","-42,914",,,,,,
03070,ARIZONA                  ,MOHAVE,"15,937","-2,416","-34,773","-18,123","-4,812",,,,,,
03080,ARIZONA                  ,NAVAJO,"20,209","12,137","3,789","2,149","2,644",,,,,,
03090,ARIZONA                  ,PIMA,"-31,479","-40,487","-77,037","-81,601","-40,230",,,,,,
03100,ARIZONA                  ,PINAL,"7,216",255,"-13,964","-10,333","-4,905",,,,,,
03110,ARIZONA                  ,SANTA CRUZ,417,"-1,749","-2,214",-468,-299,,,,,,
03120,ARIZONA                  ,YAVAPAI,"10,676","4,364","-18,523","-79,378","-55,580",,,,,,
03130,ARIZONA                  ,YUMA,"6,306","10,414","12,678","7,063","6,777",,,,,,
04000,ARKANSAS                 ,ARKANSAS,217,-143,42,852,379,,,,,,
04010,ARKANSAS                 ,ASHLEY,-677,"1,030",308,"1,588","1,061",,,,,,
04020,ARKANSAS                 ,BAXTER,"-1,289","-1,664",314,"2,192","1,063",,,,,,
04030,ARKANSAS                 ,BENTON,"4,572","-1,451","9,879","11,673","-15,322",,,,,,
04040,ARKANSAS                 ,BOONE,"-1,868","-2,225",543,"1,884",170,,,,,,
04050,ARKANSAS                 ,BRADLEY,-901,-399,"1,359",293,"1,007",,,,,,
04060,ARKANSAS                 ,CALHOUN,-128,-129,10,382,260,,,,,,
04070,ARKANSAS                 ,CARROLL,454,-197,785,"2,586","-1,546",,,,,,
04080,ARKANSAS                 ,CHICOT,-310,-619,572,"1,271",516,,,,,,
04090,ARKANSAS                 ,CLARK,"-1,360",-166,-599,-691,-245,,,,,,
04100,ARKANSAS                 ,CLAY,-156,-292,751,520,529,,,,,,
04110,ARKANSAS                 ,CLEBURNE,-318,-518,278,"1,612","1,389",,,,,,
04120,ARKANSAS                 ,CLEVELAND,"1,274","2,102","1,506",739,"1,061",,,,,,
04130,ARKANSAS                 ,COLUMBIA,-106,"-1,513","-4,491",794,781,,,,,,
04140,ARKANSAS                 ,CONWAY,-833,-692,745,368,"1,115",,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"5,733","5,902","17,731","10,930","8,942",,,,,,
04160,ARKANSAS                 ,CRAWFORD,"-5,837","-1,833","-4,757",-900,"-3,070",,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-2,917","-3,311","-5,383","-5,750","-5,394",,,,,,
04180,ARKANSAS                 ,CROSS,148,-141,-74,605,80,,,,,,
04190,ARKANSAS                 ,DALLAS,-43,-289,"1,124",324,345,,,,,,
04200,ARKANSAS                 ,DESHA,-783,19,811,"1,828",791,,,,,,
04210,ARKANSAS                 ,DREW,-350,-275,502,"1,907",943,,,,,,
04220,ARKANSAS                 ,FAULKNER,"-3,820",-147,"1,978","2,360","1,910",,,,,,
04230,ARKANSAS                 ,FRANKLIN,"-1,806",-526,-180,762,"-1,955",,,,,,
04240,ARKANSAS                 ,FULTON,-399,-484,129,759,119,,,,,,
04250,ARKANSAS                 ,GARLAND,"-32,343","-22,182","-22,850","-38,132","-30,508",,,,,,
04260,ARKANSAS                 ,GRANT,-218,409,705,242,-896,,,,,,
04270,ARKANSAS                 ,GREENE,"-1,409","-1,635",884,"2,922","1,836",,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-1,386","-2,774",-158,804,-253,,,,,,
04290,ARKANSAS                 ,HOT SPRING,-531,"-1,875",-126,"-1,058","-2,098",,,,,,
04300,ARKANSAS                 ,HOWARD,-438,-266,-162,"1,418",-502,,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,-990,"-2,599",733,"4,758","1,686",,,,,,
04320,ARKANSAS                 ,IZARD,-823,-445,123,353,868,,,,,,
04330,ARKANSAS                 ,JACKSON,"-1,243","-1,861",962,"2,568","2,225",,,,,,
04340,ARKANSAS                 ,JEFFERSON,"4,912","9,178","8,753","5,393","8,256",,,,,,
04350,ARKANSAS                 ,JOHNSON,"-1,412",-354,210,-286,848,,,,,,
04360,ARKANSAS                 ,LAFAYETTE,-283,-583,71,"1,055","-2,319",,,,,,
04370,ARKANSAS                 ,LAWRENCE,476,-467,"1,275","1,564","1,202",,,,,,
04380,ARKANSAS                 ,LEE,-21,361,-77,341,-110,,,,,,
04390,ARKANSAS                 ,LINCOLN,"1,202",356,"3,133",-361,88,,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"-1,464",-937,-649,"-1,324",-56,,,,,,
04410,ARKANSAS                 ,LOGAN,-736,-564,572,478,-86,,,,,,
04420,ARKANSAS                 ,LONOKE,"-2,811",-729,590,"2,457","1,847",,,,,,
04430,ARKANSAS                 ,MADISON,339,30,"1,847","1,367","-2,810",,,,,,
04440,ARKANSAS                 ,MARION,-184,-469,230,962,584,,,,,,
04450,ARKANSAS                 ,MILLER,"-10,755","-15,825","-10,704","-4,796","-8,121",,,,,,
04460,ARKANSAS                 ,MISSISSIPPI,-508,-861,971,"3,590","2,665",,,,,,
04470,ARKANSAS                 ,MONROE,-85,-94,5,105,-7,,,,,,
04480,ARKANSAS                 ,MONTGOMERY,-318,"-1,555",-203,0,"-1,296",,,,,,
04490,ARKANSAS                 ,NEVADA,-224,-322,71,426,157,,,,,,
04500,ARKANSAS                 ,NEWTON,-317,-208,5,285,-80,,,,,,
04510,ARKANSAS                 ,OUACHITA,-513,-591,"1,195","2,945","2,751",,,,,,
04520,ARKANSAS                 ,PERRY,-748,-56,581,236,480,,,,,,
04530,ARKANSAS                 ,PHILLIPS,20,-310,72,392,152,,,,,,
04540,ARKANSAS                 ,PIKE,-430,-725,550,"1,168","1,217",,,,,,
04550,ARKANSAS                 ,POINSETT,"3,046","1,706","4,148","4,411","3,437",,,,,,
04560,ARKANSAS                 ,POLK,"1,112","-1,547",-374,846,511,,,,,,
04570,ARKANSAS                 ,POPE,"-1,046","-1,460",-65,"2,968","2,401",,,,,,
04580,ARKANSAS                 ,PRAIRIE,-540,"-1,020",317,"1,917","1,571",,,,,,
04590,ARKANSAS                 ,PULASKI,"-13,252","-5,319","8,689","12,571","8,091",,,,,,
04600,ARKANSAS                 ,RANDOLPH,365,14,595,"1,769","1,312",,,,,,
04610,ARKANSAS                 ,ST. FRANCIS,"-1,064",-457,-835,-545,-332,,,,,,
04620,ARKANSAS                 ,SALINE,"-2,601",-512,"1,505","2,490",421,,,,,,
04630,ARKANSAS                 ,SCOTT,"-1,071",-878,122,-113,69,,,,,,
04640,ARKANSAS                 ,SEARCY,-203,-298,17,552,759,,,,,,
04650,ARKANSAS                 ,SEBASTIAN,"-16,131","-10,563","-13,227","-3,198","-8,594",,,,,,
04660,ARKANSAS                 ,SEVIER,-100,-170,356,-105,-191,,,,,,
04670,ARKANSAS                 ,SHARP,-845,-382,523,"2,393",629,,,,,,
04680,ARKANSAS                 ,STONE,-93,-334,156,275,"1,315",,,,,,
04690,ARKANSAS                 ,UNION,"-1,126","-3,837","1,051","3,817","2,057",,,,,,
04700,ARKANSAS                 ,VAN BUREN,-236,230,-168,189,429,,,,,,
04710,ARKANSAS                 ,WASHINGTON,"8,000","-1,688","20,210","20,442","-27,825",,,,,,
04720,ARKANSAS                 ,WHITE,"-2,016","-2,375","2,314","7,500","6,212",,,,,,
04730,ARKANSAS                 ,WOODRUFF,-341,-542,285,325,505,,,,,,
04740,ARKANSAS                 ,YELL,-815,-414,-144,660,182,,,,,,
05000,CALIFORNIA               ,ALAMEDA,"539,173","458,073","356,513","519,665","483,149",,,,,,
05010,CALIFORNIA               ,ALPINE,0,0,0,364,0,,,,,,
05020,CALIFORNIA               ,AMADOR,"14,119","12,436","8,389","14,386","23,404",,,,,,
05030,CALIFORNIA               ,BUTTE,"67,571","72,670","71,025","45,657","67,162",,,,,,
05040,CALIFORNIA               ,CALAVERAS,"30,339","17,673","16,724","23,872","14,711",,,,,,
05050,CALIFORNIA               ,COLUSA,"4,918","1,923","10,095","3,982","2,815",,,,,,
05060,CALIFORNIA               ,CONTRA COSTA,"317,571","225,189","197,612","298,681","263,243",,,,,,
05070,CALIFORNIA               ,DEL NORTE,"7,725","3,167","1,688","5,132","2,168",,,,,,
05080,CALIFORNIA               ,EL DORADO,"56,553","57,229","57,385","54,383","65,680",,,,,,
05090,CALIFORNIA               ,FRESNO,"160,778","187,118","148,211","136,192","130,500",,,,,,
05100,CALIFORNIA               ,GLENN,"7,402","3,392","6,821","9,750","6,945",,,,,,
05110,CALIFORNIA               ,HUMBOLDT,"57,118","45,589","49,400","53,305","41,148",,,,,,
05120,CALIFORNIA               ,IMPERIAL,"15,880","23,504","12,642","1,756","-2,797",,,,,,
05130,CALIFORNIA               ,INYO,"3,237","3,848","4,766","3,141","7,344",,,,,,
05140,CALIFORNIA               ,KERN,"85,628","85,092","66,761","-20,433","-18,339",,,,,,
05150,CALIFORNIA               ,KINGS,"9,701","9,520","1,453","-4,821","3,545",,,,,,
05160,CALIFORNIA               ,LAKE,"24,385","28,544","22,357","24,797","27,548",,,,,,
05170,CALIFORNIA               ,LASSEN,"2,129","3,170","9,828","2,555","2,552",,,,,,
05200,CALIFORNIA               ,LOS ANGELES,"2,074,448","1,171,991","1,959,503","1,672,424","884,462",,,,,,
05300,CALIFORNIA               ,MADERA,"16,989","21,045","12,543","22,370","13,660",,,,,,
05310,CALIFORNIA               ,MARIN,"90,008","85,350","72,252","94,110","43,796",,,,,,
05320,CALIFORNIA               ,MARIPOSA,"12,289","2,212","5,393",756,"4,154",,,,,,
05330,CALIFORNIA               ,MENDOCINO,"26,490","40,337","37,352","41,073","23,384",,,,,,
05340,CALIFORNIA               ,MERCED,"70,901","59,694","56,119","49,520","42,205",,,,,,
05350,CALIFORNIA               ,MODOC,"4,851","5,953","2,264","1,291",203,,,,,,
05360,CALIFORNIA               ,MONO,8,850,"2,365","1,146",-61,,,,,,
05370,CALIFORNIA               ,MONTEREY,"100,997","108,800","74,850","33,275","21,922",,,,,,
05380,CALIFORNIA               ,NAPA,"71,713","48,978","41,590","45,858","19,688",,,,,,
05390,CALIFORNIA               ,NEVADA,"25,605","32,151","50,681","39,587","36,058",,,,,,
05400,CALIFORNIA               ,ORANGE,"274,257","125,742","136,905","41,355","89,286",,,,,,
05410,CALIFORNIA               ,PLACER,"83,144","105,788","107,286","109,382","181,899",,,,,,
05420,CALIFORNIA               ,PLUMAS,"7,391","7,271","5,754","5,431","1,714",,,,,,
05430,CALIFORNIA               ,RIVERSIDE,"209,059","65,506","111,970","-7,558","64,256",,,,,,
05440,CALIFORNIA               ,SACRAMENTO,"810,846","747,847","622,864","789,064","807,650",,,,,,
