HHA Wage Indices by Fiscal Year,,,,,,,,,,
County code,State,County name,CBSA 2014,HHA Wage 2008,HHA Wage 2009,HHA Wage 2010,HHA Wage 2011,HHA Wage 2012,HHA Wage 2013,HHA Wage 2014
04060,AR,CALHOUN,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04070,AR,CARROLL,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04080,AR,CHICOT,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04090,AR,CLARK,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04100,AR,CLAY,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04110,AR,CLEBURNE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04120,AR,CLEVELAND,38220,0.7839,0.7926,0.7281,0.8012,0.7700,0.7864,0.8103
04130,AR,COLUMBIA,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04140,AR,CONWAY,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04150,AR,CRAIGHEAD,27860,0.7790,0.7916,0.7722,0.7757,0.7718,0.8102,0.8017
04160,AR,CRAWFORD,22900,0.7933,0.7697,0.7861,0.7599,0.7620,0.7865,0.7588
04170,AR,CRITTENDEN,32820,0.9250,0.9232,0.9268,0.9268,0.9275,0.9048,0.9075
04180,AR,CROSS,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04190,AR,DALLAS,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04200,AR,DESHA,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04210,AR,DREW,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04220,AR,FAULKNER,30780,0.8863,0.8672,0.8559,0.8546,0.8558,0.8614,0.8661
04230,AR,FRANKLIN,22900,0.7933,0.7697,0.7861,0.7599,0.7620,0.7865,0.7588
04240,AR,FULTON,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04250,AR,GARLAND,26300,0.9109,0.9113,0.9004,0.9151,0.9076,0.8964,0.8510
04260,AR,GRANT,30780,0.8863,0.8672,0.8559,0.8546,0.8558,0.8614,0.8661
04270,AR,GREENE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04280,AR,HEMPSTEAD,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04290,AR,HOT SPRING,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04300,AR,HOWARD,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04310,AR,INDEPENDENCE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04320,AR,IZARD,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04330,AR,JACKSON,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04340,AR,JEFFERSON,38220,0.7839,0.7926,0.7281,0.8012,0.7700,0.7864,0.8103
04350,AR,JOHNSON,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04360,AR,LAFAYETTE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
04370,AR,LAWRENCE,NA,0.7371,0.7473,0.7332,0.7222,0.7194,0.7357,0.7374
