"ESRD - HOSPICE - 2012 ENROLLMENT, REIMBURSEMENT, PER CAPITA COST (MONTHLY) FOR HOSPITAL AND SUPPLEMENTARY MEDICAL INSURANCE BY STATE AND COUNTY OF RESIDENCE",,,,,,,,,,,,,,
CODE,STATE,COUNTY,PART A ENROLLMENT,PART A TOTAL,PART A TOTAL,PART A REIMBURSEMENT,PART A PER CAPITA,PART A IME,PART A DSH,PART A GME,PART B ENROLLMENT,PART B TOTAL,PART B PER CAPITA,
02140,ALASKA                   ,KOBUK                  ,1,0,0,0,0,0,0,0,1,0,0,
02150,ALASKA                   ,KODIAK ISLAND          ,9,0,0,0,0,0,0,0,9,0,0,
02160,ALASKA                   ,KUSKOKWIN              ,1,0,0,0,0,0,0,0,1,0,0,
02170,ALASKA                   ,MATANUSKA-SUSITNA      ,42,0,0,0,0,0,0,0,40,0,0,
02180,ALASKA                   ,NOME                   ,1,0,0,0,0,0,0,0,1,0,0,
02190,ALASKA                   ,OUTER KETCHIKAN        ,1,0,0,0,0,0,0,0,1,0,0,
02200,ALASKA                   ,PRINCE OF WALES        ,1,0,0,0,0,0,0,0,1,0,0,
02210,ALASKA                   ,SEWARD                 ,3,0,0,0,0,0,0,0,3,0,0,
02220,ALASKA                   ,SITKA                  ,1,0,0,0,0,0,0,0,1,0,0,
02230,ALASKA                   ,SKAGWAY-YAKUTAT        ,1,0,0,0,0,0,0,0,1,0,0,
02240,ALASKA                   ,SOUTHEAST FAIRBANKS    ,3,0,0,0,0,0,0,0,3,0,0,
02250,ALASKA                   ,UPPER YUKON            ,1,0,0,0,0,0,0,0,1,0,0,
02260,ALASKA                   ,VALDEZ-CHITNA-WHITIER  ,4,0,0,0,0,0,0,0,4,0,0,
02270,ALASKA                   ,WADE HAMPTON           ,1,0,0,0,0,0,0,0,1,0,0,
02280,ALASKA                   ,WRANGELL-PETERSBURG    ,3,0,0,0,0,0,0,0,2,0,0,
02290,ALASKA                   ,YUKON-KOYUKUK          ,1,0,0,0,0,0,0,0,1,0,0,
03000,ARIZONA                  ,APACHE                 ,195,7791,39.95,7791,39.95,0,0,0,178,0,0,
03010,ARIZONA                  ,COCHISE                ,138,20292,147.04,20291,147.04,0,0,0,135,0,0,
03020,ARIZONA                  ,COCONINO               ,173,14181,81.97,14180,81.97,0,0,0,162,0,0,
03030,ARIZONA                  ,GILA                   ,119,43134,362.47,43134,362.47,0,0,0,113,0,0,
03040,ARIZONA                  ,GRAHAM                 ,50,2312,46.24,2313,46.26,0,0,0,46,0,0,
03050,ARIZONA                  ,GREENLEE               ,9,6525,725,6525,725,0,0,0,9,0,0,
03055,ARIZONA                  ,LA PAZ                 ,46,0,0,0,0,0,0,0,41,0,0,
03060,ARIZONA                  ,MARICOPA               ,3303,2377110,719.68,2377109,719.68,0,0,0,3082,0,0,
03070,ARIZONA                  ,MOHAVE                 ,315,140909,447.33,140909,447.33,0,0,0,302,0,0,
03080,ARIZONA                  ,NAVAJO                 ,248,4004,16.15,4004,16.15,0,0,0,239,0,0,
03090,ARIZONA                  ,PIMA                   ,997,362732,363.82,362731,363.82,0,0,0,928,0,0,
03100,ARIZONA                  ,PINAL                  ,507,135588,267.43,135589,267.43,0,0,0,476,0,0,
03110,ARIZONA                  ,SANTA CRUZ             ,49,7595,155,7596,155.02,0,0,0,46,0,0,
03120,ARIZONA                  ,YAVAPAI                ,198,85186,430.23,85186,430.23,0,0,0,187,0,0,
03130,ARIZONA                  ,YUMA                   ,211,31904,151.2,31905,151.21,0,0,0,204,0,0,
04000,ARKANSAS                 ,ARKANSAS               ,39,132,3.38,132,3.38,0,0,0,34,0,0,
04010,ARKANSAS                 ,ASHLEY                 ,52,17608,338.62,17608,338.62,0,0,0,52,0,0,
04020,ARKANSAS                 ,BAXTER                 ,49,13361,272.67,13360,272.65,0,0,0,49,0,0,
04030,ARKANSAS                 ,BENTON                 ,167,16063,96.19,16064,96.19,0,0,0,161,0,0,
04040,ARKANSAS                 ,BOONE                  ,50,1302,26.04,1302,26.04,0,0,0,47,0,0,
04050,ARKANSAS                 ,BRADLEY                ,30,7160,238.67,7160,238.67,0,0,0,30,0,0,
04060,ARKANSAS                 ,CALHOUN                ,9,7374,819.33,7374,819.33,0,0,0,8,0,0,
04070,ARKANSAS                 ,CARROLL                ,10,0,0,0,0,0,0,0,9,0,0,
04080,ARKANSAS                 ,CHICOT                 ,21,23711,1129.1,23710,1129.05,0,0,0,21,0,0,
04090,ARKANSAS                 ,CLARK                  ,51,19507,382.49,19507,382.49,0,0,0,49,0,0,
04100,ARKANSAS                 ,CLAY                   ,18,0,0,0,0,0,0,0,18,0,0,
04110,ARKANSAS                 ,CLEBURNE               ,16,261,16.31,261,16.31,0,0,0,16,0,0,
04120,ARKANSAS                 ,CLEVELAND              ,10,0,0,0,0,0,0,0,10,0,0,
04130,ARKANSAS                 ,COLUMBIA               ,38,2104,55.37,2104,55.37,0,0,0,38,0,0,
04140,ARKANSAS                 ,CONWAY                 ,22,0,0,0,0,0,0,0,22,0,0,
04150,ARKANSAS                 ,CRAIGHEAD              ,116,5869,50.59,5868,50.59,0,0,0,111,0,0,
04160,ARKANSAS                 ,CRAWFORD               ,45,12767,283.71,12767,283.71,0,0,0,43,0,0,
04170,ARKANSAS                 ,CRITTENDEN             ,156,20995,134.58,20995,134.58,0,0,0,154,0,0,
04180,ARKANSAS                 ,CROSS                  ,26,260,10,261,10.04,0,0,0,26,0,0,
04190,ARKANSAS                 ,DALLAS                 ,17,0,0,0,0,0,0,0,16,0,0,
04200,ARKANSAS                 ,DESHA                  ,31,0,0,0,0,0,0,0,31,0,0,
04210,ARKANSAS                 ,DREW                   ,27,3909,144.78,3909,144.78,0,0,0,27,0,0,
04220,ARKANSAS                 ,FAULKNER               ,108,5975,55.32,5975,55.32,0,0,0,105,0,0,
04230,ARKANSAS                 ,FRANKLIN               ,14,0,0,0,0,0,0,0,13,0,0,
04240,ARKANSAS                 ,FULTON                 ,10,0,0,0,0,0,0,0,10,0,0,
04250,ARKANSAS                 ,GARLAND                ,137,17599,128.46,17599,128.46,0,0,0,136,0,0,
04260,ARKANSAS                 ,GRANT                  ,13,811,62.38,812,62.46,0,0,0,13,0,0,
04270,ARKANSAS                 ,GREENE                 ,43,5761,133.98,5761,133.98,0,0,0,42,0,0,
04280,ARKANSAS                 ,HEMPSTEAD              ,45,2479,55.09,2479,55.09,0,0,0,43,0,0,
