AGED -- REPRICING ADJUSTMENTS TO THE 2008-2012 SKILLED NURSING FACILITY REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,
04010,ARKANSAS                 ,ASHLEY,"-2,295","-7,208","4,850","12,850","15,944",,,,,,
04020,ARKANSAS                 ,BAXTER,"-23,925","-37,016","21,173","48,388","36,741",,,,,,
04030,ARKANSAS                 ,BENTON,"106,897","19,259","190,252","175,561","-221,071",,,,,,
04040,ARKANSAS                 ,BOONE,"-18,177","-29,896","11,622","49,262","30,559",,,,,,
04050,ARKANSAS                 ,BRADLEY,"-4,959","-13,257","5,351","13,208","10,762",,,,,,
04060,ARKANSAS                 ,CALHOUN,"-1,884","-3,087","1,769","6,880","5,935",,,,,,
04070,ARKANSAS                 ,CARROLL,"-4,844","-8,051","8,219","11,813","4,756",,,,,,
04080,ARKANSAS                 ,CHICOT,"-4,627","-6,332","2,828","6,126","7,145",,,,,,
04090,ARKANSAS                 ,CLARK,"-10,104","-17,004","3,303","10,888","10,887",,,,,,
04100,ARKANSAS                 ,CLAY,"-9,793","-14,832","9,147","21,222","15,341",,,,,,
04110,ARKANSAS                 ,CLEBURNE,"-12,866","-18,808","7,258","25,433","17,486",,,,,,
04120,ARKANSAS                 ,CLEVELAND,"5,564","10,800","28,526","7,445","11,954",,,,,,
04130,ARKANSAS                 ,COLUMBIA,"-10,918","-19,287","7,587","22,181","15,138",,,,,,
04140,ARKANSAS                 ,CONWAY,"-7,024","-8,221","6,459","17,047","9,995",,,,,,
04150,ARKANSAS                 ,CRAIGHEAD,"50,420","50,140","126,167","139,930","75,955",,,,,,
04160,ARKANSAS                 ,CRAWFORD,"-80,913","-44,694","-47,535","-10,447","-35,204",,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-34,628","-43,619","-51,655","-45,057","-34,864",,,,,,
04180,ARKANSAS                 ,CROSS,"-4,481","-6,168","5,450","15,432","8,580",,,,,,
04190,ARKANSAS                 ,DALLAS,"-3,487","-5,286","3,200","7,957","4,740",,,,,,
04200,ARKANSAS                 ,DESHA,"-4,826","-3,290","11,966","12,414","6,592",,,,,,
04210,ARKANSAS                 ,DREW,"-8,870","-12,931","8,655","20,418","18,128",,,,,,
04220,ARKANSAS                 ,FAULKNER,"-72,549","-13,781","31,019","35,947","27,205",,,,,,
04230,ARKANSAS                 ,FRANKLIN,"-20,522","-11,777","-14,041",809,"-5,650",,,,,,
04240,ARKANSAS                 ,FULTON,"-6,487","-10,532","3,668","12,452","6,911",,,,,,
04250,ARKANSAS                 ,GARLAND,"-423,653","-438,213","-412,228","-530,049","-407,090",,,,,,
04260,ARKANSAS                 ,GRANT,"-12,661","-4,588","12,215","9,501","5,714",,,,,,
04270,ARKANSAS                 ,GREENE,"-4,476","-13,604","19,091","38,717","30,730",,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-10,409","-23,584",-784,"10,199",624,,,,,,
