DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",,,,,,,,,,,
28480,NEBRASKA                 ,JOHNSON,-763,924,"-1,382","-1,618","-1,097",,,,,,,,,,,
28490,NEBRASKA                 ,KEARNEY,"-1,991","-2,693","-2,958","-10,458","-4,814",,,,,,,,,,,
28500,NEBRASKA                 ,KEITH,567,"5,369","-1,110",-644,"-1,394",,,,,,,,,,,
28510,NEBRASKA                 ,KEYA PAHA,607,0,0,0,0,,,,,,,,,,,
28520,NEBRASKA                 ,KIMBALL,0,"2,190",452,"-2,430","-2,019",,,,,,,,,,,
28530,NEBRASKA                 ,KNOX,"-3,762","-1,251",-303,"-5,605","-6,636",,,,,,,,,,,
28540,NEBRASKA                 ,LANCASTER,"38,047","-60,845","-86,121","-171,873","-91,959",,,,,,,,,,,
28550,NEBRASKA                 ,LINCOLN,"-3,525","-10,890","-10,306","-10,929","-23,024",,,,,,,,,,,
28560,NEBRASKA                 ,LOGAN,0,0,0,"-2,337",0,,,,,,,,,,,
28570,NEBRASKA                 ,LOUP,-370,0,-688,0,0,,,,,,,,,,,
28580,NEBRASKA                 ,MCPHERSON,0,0,0,0,0,,,,,,,,,,,
28590,NEBRASKA                 ,MADISON,"-7,279","-2,783","-9,285","-5,297","-4,030",,,,,,,,,,,
28600,NEBRASKA                 ,MERRICK,-218,"-6,001","1,110","-1,834",167,,,,,,,,,,,
28610,NEBRASKA                 ,MORRILL,"-9,021","5,410",335,4,-174,,,,,,,,,,,
28620,NEBRASKA                 ,NANCE,"-6,666","-1,787","-2,449",-499,"-2,089",,,,,,,,,,,
28630,NEBRASKA                 ,NEMAHA,-942,"-3,123","-5,449","4,145","-4,059",,,,,,,,,,,
28640,NEBRASKA                 ,NUCKOLLS,188,"-4,792","-4,141","-1,121","-1,374",,,,,,,,,,,
28650,NEBRASKA                 ,OTOE,"-5,438","-8,163","-5,050","-9,167","-4,395",,,,,,,,,,,
28660,NEBRASKA                 ,PAWNEE,-648,-562,-894,-610,"-1,172",,,,,,,,,,,
28670,NEBRASKA                 ,PERKINS,-595,370,0,"1,609",-929,,,,,,,,,,,
28680,NEBRASKA                 ,PHELPS,"-5,450","-2,987","-6,719",-193,632,,,,,,,,,,,
28690,NEBRASKA                 ,PIERCE,"-1,584",-579,"-1,273",185,"-1,325",,,,,,,,,,,
28700,NEBRASKA                 ,PLATTE,"-7,345","-8,088","-1,888","-26,137","-2,902",,,,,,,,,,,
28710,NEBRASKA                 ,POLK,"-2,373",-325,"-4,419","-4,615","-5,766",,,,,,,,,,,
28720,NEBRASKA                 ,RED WILLOW,"-3,698","-8,472","-2,181","-9,068",851,,,,,,,,,,,
28730,NEBRASKA                 ,RICHARDSON,"-3,526","-3,121",-423,"-20,903","-1,732",,,,,,,,,,,
28740,NEBRASKA                 ,ROCK,0,0,498,-726,0,,,,,,,,,,,
28750,NEBRASKA                 ,SALINE,"-6,489","1,928","-3,233","-3,802","-2,994",,,,,,,,,,,
28760,NEBRASKA                 ,SARPY,"31,127","70,792","39,537","71,966","114,563",,,,,,,,,,,
28770,NEBRASKA                 ,SAUNDERS,"5,391","-9,410","-7,144","-4,038","-3,835",,,,,,,,,,,
28780,NEBRASKA                 ,SCOTTS BLUFF,"-15,186","5,773","14,385","4,734","-6,675",,,,,,,,,,,
28790,NEBRASKA                 ,SEWARD,"-7,057","-2,056","-9,029","-25,523","-3,504",,,,,,,,,,,
28800,NEBRASKA                 ,SHERIDAN,-239,-314,811,"2,747",883,,,,,,,,,,,
28810,NEBRASKA                 ,SHERMAN,"-2,248",-825,"-1,712",206,-417,,,,,,,,,,,
28820,NEBRASKA                 ,SIOUX,0,0,0,-514,0,,,,,,,,,,,
28830,NEBRASKA                 ,STANTON,100,0,0,276,0,,,,,,,,,,,
28840,NEBRASKA                 ,THAYER,"-2,915","-2,715","-5,500",-760,"-1,008",,,,,,,,,,,
28850,NEBRASKA                 ,THOMAS,0,-71,0,0,0,,,,,,,,,,,
28860,NEBRASKA                 ,THURSTON,"-12,326","-12,216","-2,989","3,083","13,569",,,,,,,,,,,
28870,NEBRASKA                 ,VALLEY,"-2,342",613,-724,-250,-441,,,,,,,,,,,
28880,NEBRASKA                 ,WASHINGTON,"1,802","-3,114","-6,463",-25,"-1,392",,,,,,,,,,,
28890,NEBRASKA                 ,WAYNE,"1,277",336,"-2,219",43,"1,296",,,,,,,,,,,
28900,NEBRASKA                 ,WEBSTER,237,419,"1,403",729,912,,,,,,,,,,,
28910,NEBRASKA                 ,WHEELER,0,-56,0,0,0,,,,,,,,,,,
28920,NEBRASKA                 ,YORK,-926,"-4,335","-5,618","-5,122","-18,909",,,,,,,,,,,
29000,NEVADA                   ,CHURCHILL,"10,289","5,165","-37,386","-6,244","-3,438",,,,,,,,,,,
29010,NEVADA                   ,CLARK,"1,394,722","1,461,436","997,666","1,399,800","1,708,263",,,,,,,,,,,
29020,NEVADA                   ,DOUGLAS,"-1,290","-21,521","-4,669","-7,156","-17,280",,,,,,,,,,,
29030,NEVADA                   ,ELKO,"10,384","-15,081","22,654","20,404","-1,589",,,,,,,,,,,
29040,NEVADA                   ,ESMERALDA,"1,233",28,"-1,927",432,-640,,,,,,,,,,,
29050,NEVADA                   ,EUREKA,968,-249,449,"2,150","1,121",,,,,,,,,,,
29060,NEVADA                   ,HUMBOLDT,"4,988","2,558","-21,349","-4,486","-3,653",,,,,,,,,,,
29070,NEVADA                   ,LANDER,"1,867","-1,758",-356,-316,"2,502",,,,,,,,,,,
29080,NEVADA                   ,LINCOLN,"3,846","14,799","24,209","25,379","54,819",,,,,,,,,,,
29090,NEVADA                   ,LYON,"-3,188","-4,598","1,472","-14,332","1,768",,,,,,,,,,,
29100,NEVADA                   ,MINERAL,"5,898","-1,573","3,475","-13,804","-4,533",,,,,,,,,,,
29110,NEVADA                   ,NYE,"68,560","17,822","7,508","30,044","-6,088",,,,,,,,,,,
29120,NEVADA                   ,CARSON CITY,"10,424",-441,"6,901","10,813","-47,018",,,,,,,,,,,
29130,NEVADA                   ,PERSHING,"10,242","-3,500","3,182","-2,285","-7,763",,,,,,,,,,,
29140,NEVADA                   ,STOREY,481,"-2,305","-2,536",824,"-4,451",,,,,,,,,,,
29150,NEVADA                   ,WASHOE,"368,885","174,520","107,666","35,078","73,144",,,,,,,,,,,
29160,NEVADA                   ,WHITE PINE,"-7,755","17,364","1,141","5,855","16,878",,,,,,,,,,,
30000,NEW HAMPSHIRE            ,BELKNAP,"-2,734","-56,329","-1,176","-23,102","-17,417",,,,,,,,,,,
30010,NEW HAMPSHIRE            ,CARROLL,929,"-3,993","-9,535","-28,604","-36,096",,,,,,,,,,,
30020,NEW HAMPSHIRE            ,CHESHIRE,"10,744","1,129","1,676","7,731","15,177",,,,,,,,,,,
30030,NEW HAMPSHIRE            ,COOS,"-17,377","-4,564","-6,345","-45,429","-30,335",,,,,,,,,,,
30040,NEW HAMPSHIRE            ,GRAFTON,"-7,041","-15,475","-18,827","-34,549","-28,918",,,,,,,,,,,
30050,NEW HAMPSHIRE            ,HILLSBOROUGH,"212,428","95,355","159,574","11,209","-22,522",,,,,,,,,,,
30060,NEW HAMPSHIRE            ,MERRIMACK,"6,062","-28,696","-19,129","-44,944","-37,807",,,,,,,,,,,
30070,NEW HAMPSHIRE            ,ROCKINGHAM,"20,870","-32,049","-45,502","-113,913","-156,357",,,,,,,,,,,
30080,NEW HAMPSHIRE            ,STRAFFORD,"82,798","87,463","33,948","-29,071","-4,550",,,,,,,,,,,
30090,NEW HAMPSHIRE            ,SULLIVAN,"5,087","-14,555","6,135","-26,905","-25,819",,,,,,,,,,,
31000,NEW JERSEY               ,ATLANTIC,"-349,353","-211,105","50,568","331,890","146,817",,,,,,,,,,,
31100,NEW JERSEY               ,BERGEN,"612,819","569,659","738,505","626,574","652,907",,,,,,,,,,,
31150,NEW JERSEY               ,BURLINGTON,"281,701","247,527","286,668","273,509","241,343",,,,,,,,,,,
31160,NEW JERSEY               ,CAMDEN,"88,909","13,371","171,680","289,082","13,209",,,,,,,,,,,
31180,NEW JERSEY               ,CAPE MAY,"-82,329","-42,411","1,851","25,236","-29,240",,,,,,,,,,,
31190,NEW JERSEY               ,CUMBERLAND,"-307,204","-287,165","-395,791","-326,453","-470,190",,,,,,,,,,,
31200,NEW JERSEY               ,ESSEX,"-1,056,302","-480,139","9,289","957,790","1,577,961",,,,,,,,,,,
31220,NEW JERSEY               ,GLOUCESTER,"164,192","134,572","201,226","225,781","61,880",,,,,,,,,,,
31230,NEW JERSEY               ,HUDSON,"-1,296,075","-919,398","-519,142","-259,992","-286,785",,,,,,,,,,,
31250,NEW JERSEY               ,HUNTERDON,"-13,904","-19,967","-56,347","9,163","-45,834",,,,,,,,,,,
31260,NEW JERSEY               ,MERCER,"25,578","97,540","100,388","188,575","6,439",,,,,,,,,,,
31270,NEW JERSEY               ,MIDDLESEX,"-180,508","-58,813","-181,116","473,257","320,741",,,,,,,,,,,
31290,NEW JERSEY               ,MONMOUTH,"-76,781","11,018","51,080","299,934","150,228",,,,,,,,,,,
31300,NEW JERSEY               ,MORRIS,"-22,099","-36,799","61,221","15,592","62,285",,,,,,,,,,,
31310,NEW JERSEY               ,OCEAN,"-229,801","-154,068","-98,873","20,034","109,012",,,,,,,,,,,
31320,NEW JERSEY               ,PASSAIC,"-825,949","-288,741","-481,045","-152,044","-316,837",,,,,,,,,,,
31340,NEW JERSEY               ,SALEM,"-65,415","-68,695","-101,861","-80,380","-77,034",,,,,,,,,,,
31350,NEW JERSEY               ,SOMERSET,"30,757","36,131","-30,017","74,751","58,716",,,,,,,,,,,
31360,NEW JERSEY               ,SUSSEX,"-21,556","-88,383","-20,905","-49,869","5,152",,,,,,,,,,,
31370,NEW JERSEY               ,UNION,"-595,534","-478,969","-262,362","-233,696","87,889",,,,,,,,,,,
31390,NEW JERSEY               ,WARREN,"-2,012","-12,200","16,687","-2,783","6,448",,,,,,,,,,,
32000,NEW MEXICO               ,BERNALILLO,"1,578,696","1,716,160","1,794,155","1,932,977","2,002,345",,,,,,,,,,,
32010,NEW MEXICO               ,CATRON,"-1,690","-20,447","6,322","3,851","2,567",,,,,,,,,,,
32020,NEW MEXICO               ,CHAVES,"-70,534","-41,761","-42,231","-117,920","-90,351",,,,,,,,,,,
32025,NEW MEXICO               ,CIBOLA,"52,195","41,956","24,194","-1,887","30,385",,,,,,,,,,,
32030,NEW MEXICO               ,COLFAX,"-3,273","3,847","1,456","1,589","15,946",,,,,,,,,,,
32040,NEW MEXICO               ,CURRY,"84,170","51,388","81,099","99,825","84,830",,,,,,,,,,,
32050,NEW MEXICO               ,DEBACA,"2,287","1,369",-250,"2,266","7,241",,,,,,,,,,,
32060,NEW MEXICO               ,DONA ANA,"72,539","64,287","-73,233","-29,425","-98,631",,,,,,,,,,,
32070,NEW MEXICO               ,EDDY,"-2,064","-18,337","-32,946","-57,985","-50,042",,,,,,,,,,,
32080,NEW MEXICO               ,GRANT,"-31,370","-12,978","-62,734","-38,457","-50,665",,,,,,,,,,,
32090,NEW MEXICO               ,GUADALUPE,"10,261","-25,909","15,598","4,197","3,442",,,,,,,,,,,
32100,NEW MEXICO               ,HARDING,-39,0,-614,0,"-1,626",,,,,,,,,,,
32110,NEW MEXICO               ,HIDALGO,"-3,528","-11,501",-523,"-3,968","-10,592",,,,,,,,,,,
32120,NEW MEXICO               ,LEA,"-42,012","-28,874","-39,911","-42,651","-61,168",,,,,,,,,,,
32130,NEW MEXICO               ,LINCOLN,"-7,893","-26,984","2,153","-1,019","17,264",,,,,,,,,,,
32131,NEW MEXICO               ,LOS ALAMOS,"-5,565",-736,"3,232","2,771","5,298",,,,,,,,,,,
32140,NEW MEXICO               ,LUNA,-353,"-15,249","-39,580","-16,279","-44,259",,,,,,,,,,,
32150,NEW MEXICO               ,MCKINLEY,"131,085","152,504","167,054","216,186","164,163",,,,,,,,,,,
32160,NEW MEXICO               ,MORA,753,588,"4,820","3,928","3,310",,,,,,,,,,,
32170,NEW MEXICO               ,OTERO,"8,052","9,610","11,403","-48,271","-31,224",,,,,,,,,,,
32180,NEW MEXICO               ,QUAY,"-7,004","-37,554","-3,580","-13,419","11,342",,,,,,,,,,,
32190,NEW MEXICO               ,RIO ARRIBA,"7,608","29,897","-2,336","28,705",-187,,,,,,,,,,,
32200,NEW MEXICO               ,ROOSEVELT,"6,547",810,"24,807","6,726","-10,746",,,,,,,,,,,
32210,NEW MEXICO               ,SANDOVAL,"148,477","120,841","111,965","157,625","63,448",,,,,,,,,,,
32220,NEW MEXICO               ,SAN JUAN,"122,199","171,971","167,598","185,266","189,836",,,,,,,,,,,
32230,NEW MEXICO               ,SAN MIGUEL,"7,982","18,528","40,515","49,480","23,898",,,,,,,,,,,
32240,NEW MEXICO               ,SANTA FE,"52,584","50,086","29,244","59,421","100,662",,,,,,,,,,,
32250,NEW MEXICO               ,SIERRA,"12,124","-7,207","-1,477","4,797","-17,005",,,,,,,,,,,
32260,NEW MEXICO               ,SOCORRO,"-11,424","1,733","5,236","33,603","28,980",,,,,,,,,,,
32270,NEW MEXICO               ,TAOS,"-28,438",507,"3,138","9,079","-10,967",,,,,,,,,,,
32280,NEW MEXICO               ,TORRANCE,"24,049","15,507","51,167","36,852","61,164",,,,,,,,,,,
32290,NEW MEXICO               ,UNION,"-1,163","-10,312","2,784","-23,306","-2,948",,,,,,,,,,,
32300,NEW MEXICO               ,VALENCIA,"103,927","141,747","114,711","145,606","180,521",,,,,,,,,,,
33000,NEW YORK                 ,ALBANY,"569,231","649,853","648,935","734,791","681,282",,,,,,,,,,,
33010,NEW YORK                 ,ALLEGANY,"14,371","40,674",-740,"67,282","51,210",,,,,,,,,,,
33020,NEW YORK                 ,BRONX,"1,853,586","2,714,436","4,930,205","5,412,323","5,955,943",,,,,,,,,,,
33030,NEW YORK                 ,BROOME,"88,841","131,753","48,850","55,019","-41,685",,,,,,,,,,,
33040,NEW YORK                 ,CATTARAUGUS,"34,908","81,106","69,367","134,542","226,306",,,,,,,,,,,
33050,NEW YORK                 ,CAYUGA,"1,512","30,494","-19,930","-29,039","-16,061",,,,,,,,,,,
33060,NEW YORK                 ,CHAUTAUQUA,"82,900","99,263","198,178","200,542","317,729",,,,,,,,,,,
33070,NEW YORK                 ,CHEMUNG,"153,682","165,433","144,178","157,442","155,465",,,,,,,,,,,
33080,NEW YORK                 ,CHENANGO,"29,433","40,964","6,035","11,976","-29,290",,,,,,,,,,,
33090,NEW YORK                 ,CLINTON,"-23,799","-45,522","-51,832","-36,851","-36,012",,,,,,,,,,,
33200,NEW YORK                 ,COLUMBIA,"6,505","30,258","41,495","84,933","-20,746",,,,,,,,,,,
33210,NEW YORK                 ,CORTLAND,"23,298","15,079","-8,240","2,727","-12,061",,,,,,,,,,,
33220,NEW YORK                 ,DELAWARE,"16,834","15,447","6,454","2,822","-13,428",,,,,,,,,,,
33230,NEW YORK                 ,DUTCHESS,"-208,132","-182,675","-182,047","-30,447","21,737",,,,,,,,,,,
33240,NEW YORK                 ,ERIE,"1,433,273","1,535,372","2,023,164","2,189,232","2,571,151",,,,,,,,,,,
33260,NEW YORK                 ,ESSEX,"-13,509","-2,722","-39,127","-16,855","-11,966",,,,,,,,,,,
33270,NEW YORK                 ,FRANKLIN,"-27,450","-40,975","-38,141","-33,893","-52,504",,,,,,,,,,,
33280,NEW YORK                 ,FULTON,"66,828","41,285","31,847","71,229","18,321",,,,,,,,,,,
33290,NEW YORK                 ,GENESEE,"60,104","111,373","176,739","158,582","229,198",,,,,,,,,,,
33300,NEW YORK                 ,GREENE,"37,396","48,740","44,555","25,120","34,655",,,,,,,,,,,
33310,NEW YORK                 ,HAMILTON,"3,052","-7,292","7,280","2,270","2,659",,,,,,,,,,,
33320,NEW YORK                 ,HERKIMER,"34,477","42,466","44,566","40,310","19,828",,,,,,,,,,,
33330,NEW YORK                 ,JEFFERSON,"-51,384","-60,818","-90,732","-132,776","-33,769",,,,,,,,,,,
33331,NEW YORK                 ,KINGS,"-3,660,656","-1,338,163","413,689","1,599,438","2,034,505",,,,,,,,,,,
33340,NEW YORK                 ,LEWIS,"11,048","4,914","2,623","-24,327",-670,,,,,,,,,,,
33350,NEW YORK                 ,LIVINGSTON,"13,780","100,438","128,397","141,639","145,884",,,,,,,,,,,
33360,NEW YORK                 ,MADISON,"52,256","38,093","48,436","23,497","54,420",,,,,,,,,,,
33370,NEW YORK                 ,MONROE,"2,022,976","2,093,044","2,970,555","3,330,741","3,243,186",,,,,,,,,,,
33380,NEW YORK                 ,MONTGOMERY,"33,958","33,217","6,044","20,351","27,077",,,,,,,,,,,
33400,NEW YORK                 ,NASSAU,"998,463","1,329,991","1,463,036","1,064,516","1,102,138",,,,,,,,,,,
33420,NEW YORK                 ,NEW YORK,"-1,811,980","-828,224","848,649","1,741,342","1,393,446",,,,,,,,,,,
33500,NEW YORK                 ,NIAGARA,"242,955","321,944","525,037","874,012","890,808",,,,,,,,,,,
33510,NEW YORK                 ,ONEIDA,"267,652","336,040","280,050","289,221","175,770",,,,,,,,,,,
33520,NEW YORK                 ,ONONDAGA,"918,172","1,017,843","683,241","712,059","579,418",,,,,,,,,,,
33530,NEW YORK                 ,ONTARIO,"189,437","222,717","249,858","244,855","297,855",,,,,,,,,,,
33540,NEW YORK                 ,ORANGE,"-242,478","-62,350","-313,936","-457,890","-276,027",,,,,,,,,,,
33550,NEW YORK                 ,ORLEANS,"25,222","37,746","69,925","53,690","105,622",,,,,,,,,,,
33560,NEW YORK                 ,OSWEGO,"48,086","104,519","51,482","49,848","8,836",,,,,,,,,,,
33570,NEW YORK                 ,OTSEGO,"7,052","7,503","5,196","26,398","22,704",,,,,,,,,,,
33580,NEW YORK                 ,PUTNAM,"13,019","37,592","-36,747","26,774","-14,959",,,,,,,,,,,
33590,NEW YORK                 ,QUEENS,"-1,382,205","-846,840","759,112","1,083,228","1,225,351",,,,,,,,,,,
33600,NEW YORK                 ,RENSSELAER,"184,179","216,577","235,877","187,258","262,299",,,,,,,,,,,
33610,NEW YORK                 ,RICHMOND,"-323,935","-100,100","354,649","291,368","158,925",,,,,,,,,,,
33620,NEW YORK                 ,ROCKLAND,"-348,304","-265,700","-218,355","-384,793","-396,448",,,,,,,,,,,
33630,NEW YORK                 ,ST. LAWRENCE,"-102,636","-79,010","-76,674","-66,470","-94,567",,,,,,,,,,,
33640,NEW YORK                 ,SARATOGA,"244,359","210,324","276,019","256,499","251,807",,,,,,,,,,,
33650,NEW YORK                 ,SCHENECTADY,"410,827","408,676","422,559","482,258","495,931",,,,,,,,,,,
33660,NEW YORK                 ,SCHOHARIE,"26,521","22,677","12,923","31,729","23,483",,,,,,,,,,,
33670,NEW YORK                 ,SCHUYLER,"-3,790","9,949","1,253","3,594","15,451",,,,,,,,,,,
33680,NEW YORK                 ,SENECA,"38,984","68,001","24,834","53,435","60,181",,,,,,,,,,,
33690,NEW YORK                 ,STEUBEN,"87,631","135,210","153,306","233,126","277,236",,,,,,,,,,,
33700,NEW YORK                 ,SUFFOLK,"610,420","464,465","423,574","597,626","474,259",,,,,,,,,,,
33710,NEW YORK                 ,SULLIVAN,"-115,901","-2,967","-92,602","-75,433","-57,279",,,,,,,,,,,
33720,NEW YORK                 ,TIOGA,"66,613","56,572","60,885","27,944","26,387",,,,,,,,,,,
33730,NEW YORK                 ,TOMPKINS,"-5,319","21,093","3,444","-25,696","9,520",,,,,,,,,,,
33740,NEW YORK                 ,ULSTER,"-107,232","-22,366","-192,556","-293,118","27,397",,,,,,,,,,,
33750,NEW YORK                 ,WARREN,"105,476","136,635","111,923","90,725","124,531",,,,,,,,,,,
33760,NEW YORK                 ,WASHINGTON,"83,497","78,792","60,341","50,189","75,585",,,,,,,,,,,
33770,NEW YORK                 ,WAYNE,"205,268","220,687","327,416","294,152","358,527",,,,,,,,,,,
33800,NEW YORK                 ,WESTCHESTER,"329,668","296,756","542,532","599,180","586,997",,,,,,,,,,,
33900,NEW YORK                 ,WYOMING,"15,615","28,149","53,450","60,809","57,842",,,,,,,,,,,
33910,NEW YORK                 ,YATES,"19,570","11,764","18,878","28,352","23,619",,,,,,,,,,,
34000,NORTH CAROLINA           ,ALAMANCE,"44,854","60,252","46,105","76,932","32,058",,,,,,,,,,,
34010,NORTH CAROLINA           ,ALEXANDER,"-71,076","-51,622","-66,575","-41,711","-21,804",,,,,,,,,,,
34020,NORTH CAROLINA           ,ALLEGHANY,"-4,061","-21,557","3,174","3,295","9,568",,,,,,,,,,,
34030,NORTH CAROLINA           ,ANSON,"-147,698","-91,122","-115,484","-126,056","-53,648",,,,,,,,,,,
34040,NORTH CAROLINA           ,ASHE,"-42,796","-43,839","-44,999","-4,973","-10,077",,,,,,,,,,,
34050,NORTH CAROLINA           ,AVERY,"-21,760","-33,759","-33,945","-9,751","-6,454",,,,,,,,,,,
34060,NORTH CAROLINA           ,BEAUFORT,"-188,138","-186,665","-265,840","-249,957","-293,305",,,,,,,,,,,
34070,NORTH CAROLINA           ,BERTIE,"-113,593","-146,144","-129,099","-142,634","-247,524",,,,,,,,,,,
34080,NORTH CAROLINA           ,BLADEN,"-147,382","-186,334","-153,664","-158,911","-163,432",,,,,,,,,,,
34090,NORTH CAROLINA           ,BRUNSWICK,"-384,025","-449,389","-348,758","-415,434","-449,320",,,,,,,,,,,
34100,NORTH CAROLINA           ,BUNCOMBE,"-343,297","-455,567","-397,747","-373,052","-418,834",,,,,,,,,,,
34110,NORTH CAROLINA           ,BURKE,"-115,446","-140,842","-165,616","-208,782","-190,331",,,,,,,,,,,
34120,NORTH CAROLINA           ,CABARRUS,"13,184","65,259","86,389","-15,354","-31,567",,,,,,,,,,,
34130,NORTH CAROLINA           ,CALDWELL,"-165,505","-150,770","-119,047","-84,460","-62,164",,,,,,,,,,,
34140,NORTH CAROLINA           ,CAMDEN,"-3,291","-5,462","1,182","-26,584","-24,501",,,,,,,,,,,
34150,NORTH CAROLINA           ,CARTERET,"-63,773","-83,755","-77,415","-56,366","-55,116",,,,,,,,,,,
34160,NORTH CAROLINA           ,CASWELL,"-17,792","-37,114","-24,497","-15,826","8,004",,,,,,,,,,,
34170,NORTH CAROLINA           ,CATAWBA,"-141,924","-179,512","-230,221","-211,813","-228,495",,,,,,,,,,,
34180,NORTH CAROLINA           ,CHATHAM,"-1,575","26,861","37,333","14,477","5,240",,,,,,,,,,,
34190,NORTH CAROLINA           ,CHEROKEE,"-87,316","-80,417","-61,218","-52,967","-38,230",,,,,,,,,,,
34200,NORTH CAROLINA           ,CHOWAN,"-33,179","-51,629","-27,407","-46,936","-56,210",,,,,,,,,,,
34210,NORTH CAROLINA           ,CLAY,"-27,178","-29,603","-16,412",343,"-21,204",,,,,,,,,,,
34220,NORTH CAROLINA           ,CLEVELAND,"-282,473","-373,663","-471,665","-444,562","-322,785",,,,,,,,,,,
34230,NORTH CAROLINA           ,COLUMBUS,"-591,034","-580,128","-587,976","-702,944","-573,198",,,,,,,,,,,
34240,NORTH CAROLINA           ,CRAVEN,"-51,286","-98,085","-123,076","-162,340","-147,748",,,,,,,,,,,
34250,NORTH CAROLINA           ,CUMBERLAND,"-280,520","-244,876","-543,411","-513,667","-539,562",,,,,,,,,,,
34251,NORTH CAROLINA           ,CURRITUCK,-29,"5,834","13,448","5,133","1,836",,,,,,,,,,,
34270,NORTH CAROLINA           ,DARE,"-1,518","-16,354","-34,093","-28,735","-7,809",,,,,,,,,,,
34280,NORTH CAROLINA           ,DAVIDSON,"2,522","14,025","30,988","24,762","47,198",,,,,,,,,,,
34290,NORTH CAROLINA           ,DAVIE,"48,997","38,352","31,421","31,643","41,055",,,,,,,,,,,
34300,NORTH CAROLINA           ,DUPLIN,"-192,739","-152,315","-137,626","-128,219","-173,403",,,,,,,,,,,
34310,NORTH CAROLINA           ,DURHAM,"43,784","-53,263","167,967","28,884","106,061",,,,,,,,,,,
34320,NORTH CAROLINA           ,EDGECOMBE,"-490,978","-402,160","-370,960","-282,917","-388,241",,,,,,,,,,,
34330,NORTH CAROLINA           ,FORSYTH,"621,795","446,716","601,137","758,046","828,868",,,,,,,,,,,
34340,NORTH CAROLINA           ,FRANKLIN,"-129,563","-92,634","-84,082","-83,124","-111,019",,,,,,,,,,,
34350,NORTH CAROLINA           ,GASTON,"-339,491","-571,565","-787,747","-739,509","-565,064",,,,,,,,,,,
34360,NORTH CAROLINA           ,GATES,"-26,571","-14,555","-10,258","-20,017","-20,927",,,,,,,,,,,
34370,NORTH CAROLINA           ,GRAHAM,"-33,575","-19,996","-17,093","-21,419","-17,641",,,,,,,,,,,
34380,NORTH CAROLINA           ,GRANVILLE,"-65,276","-39,110","-61,748","-49,458","-26,632",,,,,,,,,,,
34390,NORTH CAROLINA           ,GREENE,"-111,874","-94,777","-31,306","-106,852","-109,190",,,,,,,,,,,
34400,NORTH CAROLINA           ,GUILFORD,"-11,572","-16,958","153,551","310,374","375,013",,,,,,,,,,,
34410,NORTH CAROLINA           ,HALIFAX,"-275,735","-309,595","-254,305","-245,775","-431,255",,,,,,,,,,,
34420,NORTH CAROLINA           ,HARNETT,"-483,192","-388,603","-348,659","-464,526","-457,090",,,,,,,,,,,
34430,NORTH CAROLINA           ,HAYWOOD,"-50,496","-89,559","-44,907","-70,138","-91,010",,,,,,,,,,,
34440,NORTH CAROLINA           ,HENDERSON,"-88,635","-72,865","-83,738","-151,417","-120,698",,,,,,,,,,,
34450,NORTH CAROLINA           ,HERTFORD,"-148,564","-156,014","-172,826","-209,937","-176,116",,,,,,,,,,,
34460,NORTH CAROLINA           ,HOKE,"4,784","-11,695","-79,885","-65,908","-40,433",,,,,,,,,,,
34470,NORTH CAROLINA           ,HYDE,"-1,363","-5,023","-6,960","-39,952","-33,034",,,,,,,,,,,
34480,NORTH CAROLINA           ,IREDELL,"-79,974","-76,308","-97,900","-74,771","24,626",,,,,,,,,,,
34490,NORTH CAROLINA           ,JACKSON,"-73,220","-29,662","-32,243","-35,080","-49,210",,,,,,,,,,,
34500,NORTH CAROLINA           ,JOHNSTON,"-646,472","-573,587","-467,172","-578,083","-544,183",,,,,,,,,,,
34510,NORTH CAROLINA           ,JONES,"-27,751","-27,017","-10,371","-21,764","-14,663",,,,,,,,,,,
34520,NORTH CAROLINA           ,LEE,"-46,008","-21,600","-76,075","-142,742","-29,622",,,,,,,,,,,
34530,NORTH CAROLINA           ,LENOIR,"-516,136","-500,601","-365,611","-351,053","-381,948",,,,,,,,,,,
34540,NORTH CAROLINA           ,LINCOLN,"-45,222","-133,472","-128,222","-94,221","-43,523",,,,,,,,,,,
34550,NORTH CAROLINA           ,MCDOWELL,"-200,997","-133,344","-105,066","-117,289","-112,270",,,,,,,,,,,
34560,NORTH CAROLINA           ,MACON,"-102,387","-35,356","-51,957","-67,358","-40,702",,,,,,,,,,,
34570,NORTH CAROLINA           ,MADISON,"-52,631","-29,395","-43,440","-27,821","-29,891",,,,,,,,,,,
34580,NORTH CAROLINA           ,MARTIN,"-205,642","-246,715","-142,845","-187,709","-252,288",,,,,,,,,,,
34590,NORTH CAROLINA           ,MECKLENBURG,"434,446","337,127","307,842","491,129","792,979",,,,,,,,,,,
34600,NORTH CAROLINA           ,MITCHELL,"-46,085","-68,967","-53,183","-73,466","-50,973",,,,,,,,,,,
34610,NORTH CAROLINA           ,MONTGOMERY,"-55,020","-25,379","-32,596","-32,510","-40,054",,,,,,,,,,,
