DISABLED -- REPRICING ADJUSTMENTS TO THE 2008-2012 UNCOMPENSATED CARE REIMBURSEMENT DATA TO REFLECT THE MOST CURRENT WAGE INDEX,,,,,,,,,,,,,,,,,,
CODE,STATE,COUNTY,ADJUSTMENT TO PART A REIMBURSEMENT,,,,,,,,,,,,,,,
,,,"2,008","2,009","2,010","2,011","2,012",,,,,,,,,,,
04170,ARKANSAS                 ,CRITTENDEN,"-188,557","-105,950","-122,363","-73,223","-22,770",,,,,,,,,,,
04180,ARKANSAS                 ,CROSS,"-27,500","-44,111","-22,275","-43,363","-41,596",,,,,,,,,,,
04190,ARKANSAS                 ,DALLAS,"8,496",-956,"-1,497","2,561",-478,,,,,,,,,,,
04200,ARKANSAS                 ,DESHA,"-4,415","-29,044","-30,503","-8,684",-155,,,,,,,,,,,
04210,ARKANSAS                 ,DREW,"-23,766","-9,977","-11,419","-22,994","-34,453",,,,,,,,,,,
04220,ARKANSAS                 ,FAULKNER,"-55,962","-29,186","-43,064","-32,466","-65,465",,,,,,,,,,,
04230,ARKANSAS                 ,FRANKLIN,"-12,883","-11,381","-6,271","-7,859","-20,684",,,,,,,,,,,
04240,ARKANSAS                 ,FULTON,"-21,128","-38,027","-27,915","-49,496","-25,035",,,,,,,,,,,
04250,ARKANSAS                 ,GARLAND,"-221,980","-205,290","-96,272","-182,012","-107,993",,,,,,,,,,,
04260,ARKANSAS                 ,GRANT,"-13,220","-17,998","-11,643","-8,751","-3,599",,,,,,,,,,,
04270,ARKANSAS                 ,GREENE,"-88,678","-97,743","-138,013","-100,271","-114,306",,,,,,,,,,,
04280,ARKANSAS                 ,HEMPSTEAD,"-20,809","-20,406","-19,494","-23,102","-4,971",,,,,,,,,,,
04290,ARKANSAS                 ,HOT SPRING,"-48,133","-82,140","-39,349","-110,591","-59,137",,,,,,,,,,,
04300,ARKANSAS                 ,HOWARD,"-5,295",-642,"-7,433","-26,167","-24,255",,,,,,,,,,,
04310,ARKANSAS                 ,INDEPENDENCE,"-219,346","-125,522","-262,094","-204,138","-95,967",,,,,,,,,,,
04320,ARKANSAS                 ,IZARD,"-39,493","-26,192","-36,324","-34,306","-27,611",,,,,,,,,,,
04330,ARKANSAS                 ,JACKSON,"-55,414","-78,291","-69,083","-83,781","-39,487",,,,,,,,,,,
04340,ARKANSAS                 ,JEFFERSON,"10,400","-15,686","-42,713","-29,891","11,377",,,,,,,,,,,
04350,ARKANSAS                 ,JOHNSON,"-42,122","-41,609","-30,418","-34,760","-19,493",,,,,,,,,,,
04360,ARKANSAS                 ,LAFAYETTE,"-7,887",-587,"-4,116","-20,500","-4,386",,,,,,,,,,,
04370,ARKANSAS                 ,LAWRENCE,"-81,243","-63,145","-89,779","-50,609","-63,154",,,,,,,,,,,
04380,ARKANSAS                 ,LEE,"15,122","19,845","17,832","15,112","-4,461",,,,,,,,,,,
04390,ARKANSAS                 ,LINCOLN,"-1,415","7,087","5,150","1,747","-5,684",,,,,,,,,,,
04400,ARKANSAS                 ,LITTLE RIVER,"-1,348","-13,704","-14,215","-35,118","-31,370",,,,,,,,,,,
04410,ARKANSAS                 ,LOGAN,"-18,712","-29,781","-23,496","-18,557","-4,609",,,,,,,,,,,
04420,ARKANSAS                 ,LONOKE,"-56,076","-43,274","-54,370","-8,335","-59,323",,,,,,,,,,,
04430,ARKANSAS                 ,MADISON,-352,-436,"-5,553","8,280","6,997",,,,,,,,,,,
04440,ARKANSAS                 ,MARION,"-23,232","-28,549","-22,218","-15,003","-23,924",,,,,,,,,,,
04450,ARKANSAS                 ,MILLER,"-19,300","-29,903","-20,593","-62,464","-68,974",,,,,,,,,,,
04460,ARKANSAS                 ,MISSISSIPPI,-113,"-10,310","13,590","-140,000","-100,282",,,,,,,,,,,
04470,ARKANSAS                 ,MONROE,"-6,676","-6,205","-10,977","-1,547","-2,140",,,,,,,,,,,
04480,ARKANSAS                 ,MONTGOMERY,"-12,116","-16,759","-12,226","-14,163","-6,540",,,,,,,,,,,
